+ Add Milestone,+ Voeg mylpaal by
+ Create Task,+ Skep taak
+ Log Time,+ Teken tyd aan
-- Select a project --,-- Kies 'n projek --
0m,0m
1 day,1 dag
1 day ago,1 dag gelede
1 dependency,1 afhanklikheid
1 entry,1 inskrywing
1 file,1 lêer
1 hour ago,1 uur gelede
1 member,1 lid
1 milestone,1 mylpaal
1 month,1 maand
1 task,1 taak
< 1m,< 1m
"A clear, actionable title for the task","'n Duidelike, uitvoerbare titel vir die taak"
A client with email {0} already exists: {1},'n Kliënt met e-posadres {0} bestaan reeds: {1}
A key deliverable or checkpoint for the project,'n Belangrike aflewering of kontrolepunt vir die projek
Accept,Aanvaar
Accepted,Aanvaar
Acknowledge,Bevestig
across,oor
Action,Aksie
Actions,Aksies
Active,Aktief
Active Assignments,Aktiewe toekennings
Active Projects,Aktiewe projekte
Activity,Aktiwiteit
Activity data deleted successfully,Aktiwiteitsdata suksesvol verwyder
Activity Info,Aktiwiteitsinligting
Activity Stats,Aktiwiteitsstatistieke
Activity will appear here as you work on tasks and projects.,Aktiwiteit sal hier verskyn soos u aan take en projekte werk.
Actual,Werklik
Actual Cost,Werklike koste
Actual cost cannot be negative,Werklike koste kan nie negatief wees nie
Actual end date cannot be before actual start date,Die werklike einddatum kan nie voor die werklike begindatum wees nie
Actual Hours,Werklike ure
Add,Voeg by
Add a checklist item...,Voeg 'n kontrolelysitem by...
Add a comment...,Voeg 'n opmerking by...
Add a comment... (Ctrl+Enter to send),Voeg 'n opmerking by... (Ctrl+Enter om te stuur)
Add a description...,Voeg 'n beskrywing by...
Add a milestone description...,Voeg 'n mylpaalbeskrywing by...
Add a note below to annotate this activity.,Voeg 'n nota hieronder by om hierdie aktiwiteit te annoteer.
Add a note...,Voeg 'n nota by...
Add a project description...,Voeg 'n projekbeskrywing by...
Add a task description...,Voeg 'n taakbeskrywing by...
Add checklist item...,Voeg kontrolelysitem by...
Add Contact,Voeg kontak by
Add contacts via the Desk interface or clear filters,Voeg kontakte by via die Desk-koppelvlak of maak filters skoon
Add Dependency,Voeg afhanklikheid by
Add details about this event...,Voeg besonderhede oor hierdie geleentheid by...
Add details about this milestone...,Voeg besonderhede oor hierdie mylpaal by...
Add details about this task...,Voeg besonderhede oor hierdie taak by...
Add details or acceptance criteria for this milestone,Voeg besonderhede of aanvaardingskriteria vir hierdie mylpaal by
"Add details, context, or acceptance criteria","Voeg besonderhede, konteks of aanvaardingskriteria by"
Add first dependency,Voeg eerste afhanklikheid by
Add item,Voeg item by
Add items below to track progress.,Voeg items hieronder by om vordering na te spoor.
Add items below to track subtasks,Voeg items hieronder by om subtake na te spoor
Add Milestone,Voeg mylpaal by
Add Milestone (Shift+M),Voeg mylpaal by (Shift+M)
Add milestones to track key deliverables.,Voeg mylpale by om belangrike aflewerings na te spoor.
Add New Contact,Voeg nuwe kontak by
Add Note,Voeg nota by
Add note,Voeg nota by
Add notes about this contact...,Voeg notas oor hierdie kontak by...
Add reaction,Voeg reaksie by
Add Skill,Voeg vaardigheid by
Add start and due dates to tasks to see them on the Gantt chart,Voeg begin- en sperdatums by take by om hulle op die Gantt-grafiek te sien
Add Task,Voeg taak by
Add Task (Shift+T),Voeg taak by (Shift+T)
Added Finish-to-Start dependency,Einde-na-Begin-afhanklikheid bygevoeg
