+ Add Milestone,+ ምዕራፍ ጨምር
+ Create Task,+ ተግባር ፍጠር
+ Log Time,+ ጊዜ መዝግብ
-- Select a project --,-- ፕሮጀክት ይምረጡ --
0m,0ደ
1 day,1 ቀን
1 day ago,ከ1 ቀን በፊት
1 dependency,1 ጥገኛ
1 entry,1 ግቤት
1 file,1 ፋይል
1 hour ago,ከ1 ሰዓት በፊት
1 member,1 አባል
1 milestone,1 ምዕራፍ
1 month,1 ወር
1 task,1 ተግባር
< 1m,< 1ደ
"A clear, actionable title for the task",ለተግባሩ ግልጽና ተግባራዊ ርዕስ
A client with email {0} already exists: {1},ኢሜይል {0} ያለው ደንበኛ ቀድሞ አለ: {1}
A key deliverable or checkpoint for the project,ለፕሮጀክቱ ቁልፍ ውጤት ወይም ማረጋገጫ ነጥብ
Accept,ተቀበል
Accepted,ተቀባይነት አግኝቷል
Acknowledge,አረጋግጥ
across,በሁሉም
Action,ተግባር
Actions,ተግባራት
Active,ንቁ
Active Assignments,ንቁ ምድባዎች
Active Projects,ንቁ ፕሮጀክቶች
Activity,እንቅስቃሴ
Activity data deleted successfully,የእንቅስቃሴ ውሂብ በተሳካ ሁኔታ ተሰርዟል
Activity Info,የእንቅስቃሴ መረጃ
Activity Stats,የእንቅስቃሴ ስታቲስቲክስ
Activity will appear here as you work on tasks and projects.,በተግባራትና ፕሮጀክቶች ላይ ሲሰሩ እንቅስቃሴ እዚህ ይታያል።
Actual,ትክክለኛ
Actual Cost,ትክክለኛ ወጪ
Actual cost cannot be negative,ትክክለኛ ወጪ አሉታዊ ሊሆን አይችልም
Actual end date cannot be before actual start date,ትክክለኛ የማጠናቀቂያ ቀን ከትክክለኛ የመጀመሪያ ቀን በፊት ሊሆን አይችልም
Actual Hours,ትክክለኛ ሰዓታት
Add,ጨምር
Add a checklist item...,የማረጋገጫ ዝርዝር ንጥል ጨምር...
Add a comment...,አስተያየት ጨምር...
Add a comment... (Ctrl+Enter to send),አስተያየት ጨምር... (Ctrl+Enter ለመላክ)
Add a description...,መግለጫ ጨምር...
Add a milestone description...,የምዕራፍ መግለጫ ጨምር...
Add a note below to annotate this activity.,ይህን እንቅስቃሴ ለማብራራት ከታች ማስታወሻ ጨምር።
Add a note...,ማስታወሻ ጨምር...
Add a project description...,የፕሮጀክት መግለጫ ጨምር...
Add a task description...,የተግባር መግለጫ ጨምር...
Add checklist item...,የማረጋገጫ ዝርዝር ንጥል ጨምር...
Add Contact,ግንኙነት ጨምር
Add contacts via the Desk interface or clear filters,ግንኙነቶችን በDesk በኩል ጨምሩ ወይም ማጣሪያዎችን ያጽዱ
Add Dependency,ጥገኝነት ጨምር
Add details about this event...,ስለዚህ ክስተት ዝርዝሮችን ጨምር...
Add details about this milestone...,ስለዚህ ምዕራፍ ዝርዝሮችን ጨምር...
Add details about this task...,ስለዚህ ተግባር ዝርዝሮችን ጨምር...
Add details or acceptance criteria for this milestone,ለዚህ ምዕራፍ ዝርዝሮች ወይም የተቀባይነት መስፈርቶች ጨምር
"Add details, context, or acceptance criteria",ዝርዝሮች፣ አውድ ወይም የተቀባይነት መስፈርቶች ጨምር
Add first dependency,የመጀመሪያ ጥገኝነት ጨምር
Add item,ንጥል ጨምር
Add items below to track progress.,ሂደትን ለመከታተል ከታች ንጥሎችን ጨምር።
Add items below to track subtasks,ንዑስ ተግባራትን ለመከታተል ከታች ንጥሎችን ጨምር
Add Milestone,ምዕራፍ ጨምር
Add Milestone (Shift+M),ምዕራፍ ጨምር (Shift+M)
Add milestones to track key deliverables.,ቁልፍ ውጤቶችን ለመከታተል ምዕራፎችን ጨምር።
Add New Contact,አዲስ ግንኙነት ጨምር
Add Note,ማስታወሻ ጨምር
Add note,ማስታወሻ ጨምር
Add notes about this contact...,ስለዚህ ግንኙነት ማስታወሻዎችን ጨምር...
Add reaction,ምላሽ ጨምር
Add Skill,ክህሎት ጨምር
Add start and due dates to tasks to see them on the Gantt chart,ተግባራትን በGantt ሰንጠረዥ ላይ ለማየት የመጀመሪያና የመጨረሻ ቀናትን ጨምር
Add Task,ተግባር ጨምር
Add Task (Shift+T),ተግባር ጨምር (Shift+T)
Added Finish-to-Start dependency,ከመጨረሻ-ወደ-መጀመሪያ ጥገኝነት ተጨምሯል
Adding this dependency would create a circular reference: {0},ይህን ጥገኝነት መጨመር ክብ ማጣቀሻ ይፈጥራል: {0}
Adding...,በመጨመር ላይ...
Address,አድራሻ
Advanced,የላቀ
All,ሁሉም
All Active,ሁሉም ንቁ
All Assignees,ሁሉም ተመዳቢዎች
All Categories,ሁሉም ምድቦች
All caught up!,ሁሉም ተከታትለሃል!
All Contexts,ሁሉም አውዶች
All day,ሙሉ ቀን
All day event,የሙሉ ቀን ክስተት
All fields,ሁሉም መስኮች
All Priorities,ሁሉም ቅድሚያዎች
All Projects,ሁሉም ፕሮጀክቶች
All Status,ሁሉም ሁኔታዎች
All Statuses,ሁሉም ሁኔታዎች
All task dependencies & relative dates,ሁሉም የተግባር ጥገኝነቶች እና አንጻራዊ ቀናት
All Tasks,ሁሉም ተግባራት
All tasks across all projects.,በሁሉም ፕሮጀክቶች ውስጥ ያሉ ሁሉም ተግባራት።
