+ Add Milestone,+ Добавяне на етап
+ Create Task,+ Създаване на задача
+ Log Time,+ Записване на време
-- Select a project --,-- Изберете проект --
0m,0м
1 day,1 ден
1 day ago,преди 1 ден
1 dependency,1 зависимост
1 entry,1 запис
1 file,1 файл
1 hour ago,преди 1 час
1 member,1 член
1 milestone,1 етап
1 month,1 месец
1 task,1 задача
< 1m,< 1м
"A clear, actionable title for the task",Ясно и конкретно заглавие за задачата
A client with email {0} already exists: {1},Клиент с имейл {0} вече съществува: {1}
A key deliverable or checkpoint for the project,Ключен резултат или контролна точка за проекта
Accept,Приемане
Accepted,Прието
Acknowledge,Потвърждаване
across,в
Action,Действие
Actions,Действия
Active,Активен
Active Assignments,Активни назначения
Active Projects,Активни проекти
Activity,Дейност
Activity data deleted successfully,Данните за дейността са изтрити успешно
Activity Info,Информация за дейността
Activity Stats,Статистика на дейността
Activity will appear here as you work on tasks and projects.,"Дейността ще се показва тук, докато работите по задачи и проекти."
Actual,Действителен
Actual Cost,Действителна цена
Actual cost cannot be negative,Действителната цена не може да бъде отрицателна
Actual end date cannot be before actual start date,Действителната крайна дата не може да бъде преди действителната начална дата
Actual Hours,Действителни часове
Add,Добавяне
Add a checklist item...,Добавяне на елемент от списъка...
Add a comment...,Добавяне на коментар...
Add a comment... (Ctrl+Enter to send),Добавяне на коментар... (Ctrl+Enter за изпращане)
Add a description...,Добавяне на описание...
Add a milestone description...,Добавяне на описание на етап...
Add a note below to annotate this activity.,"Добавете бележка по-долу, за да отбележите тази дейност."
Add a note...,Добавяне на бележка...
Add a project description...,Добавяне на описание на проект...
Add a task description...,Добавяне на описание на задача...
Add checklist item...,Добавяне на елемент от списъка...
Add Contact,Добавяне на контакт
Add contacts via the Desk interface or clear filters,Добавете контакти чрез интерфейса Desk или изчистете филтрите
Add Dependency,Добавяне на зависимост
Add details about this event...,Добавяне на подробности за това събитие...
Add details about this milestone...,Добавяне на подробности за този етап...
Add details about this task...,Добавяне на подробности за тази задача...
Add details or acceptance criteria for this milestone,Добавяне на подробности или критерии за приемане на този етап
"Add details, context, or acceptance criteria","Добавяне на подробности, контекст или критерии за приемане"
Add first dependency,Добавяне на първа зависимост
Add item,Добавяне на елемент
Add items below to track progress.,Добавете елементи по-долу за проследяване на напредъка.
Add items below to track subtasks,Добавете елементи по-долу за проследяване на подзадачи
Add Milestone,Добавяне на етап
Add Milestone (Shift+M),Добавяне на етап (Shift+M)
Add milestones to track key deliverables.,Добавете етапи за проследяване на ключови резултати.
Add New Contact,Добавяне на нов контакт
Add Note,Добавяне на бележка
Add note,Добавяне на бележка
Add notes about this contact...,Добавяне на бележки за този контакт...
Add reaction,Добавяне на реакция
Add Skill,Добавяне на умение
Add start and due dates to tasks to see them on the Gantt chart,Добавете начални дати и крайни срокове на задачите за показване в Gantt диаграмата
Add Task,Добавяне на задача
Add Task (Shift+T),Добавяне на задача (Shift+T)
Added Finish-to-Start dependency,Добавена зависимост край-начало
Adding this dependency would create a circular reference: {0},Добавянето на тази зависимост ще създаде кръгова препратка: {0}
Adding...,Добавяне...
Address,Адрес
Advanced,Разширени
All,Всички
All Active,Всички активни
All Assignees,Всички назначени
All Categories,Всички категории
All caught up!,Всичко е актуално!
All Contexts,Всички контексти
All day,Цял ден
All day event,Целодневно събитие
All fields,Всички полета
All Priorities,Всички приоритети
All Projects,Всички проекти
All Status,Всички състояния
All Statuses,Всички състояния
All task dependencies & relative dates,Всички зависимости на задачи и относителни дати
All Tasks,Всички задачи
All tasks across all projects.,Всички задачи от всички проекти.
All tasks are already linked,Всички задачи вече са свързани
All team members,Всички членове на екипа
All Types,Всички видове
All Users,Всички потребители
Allocated,Разпределено
allocated,разпределено
Allow users to log time against tasks,Разрешаване на потребителите да записват време за задачи
Already exported to timesheet {0},Вече изнесено към справка за времето {0}
Already Migrated,Вече мигрирано
Anyone with access,Всеки с достъп
anytime to show this help,по всяко време за показване на тази помощ
App Updates,App Updates
Appearance,Външен вид
Apply,Прилагане
Apply cascade?,Прилагане на каскада?
Apply Changes,Прилагане на промени
Apply failed,Прилагането не успя
Apply Template,Прилагане на шаблон
Applying...,Прилагане...
Appointment,Среща
Appointment and resource are required,Срещата и ресурсът са задължителни
Appointment name is required,Името на срещата е задължително
Appointment not found,Срещата не е намерена
Appointment {0} not found,Среща {0} не е намерена
Apps,Приложения
Archive,Архивиране
Archive Activity,Архивиране на дейност
Archived,Архивирано
Are you sure you want to delete this activity data? This cannot be undone.,"Сигурни ли сте, че искате да изтриете тези данни за дейността? Това не може да бъде отменено."
Are you sure you want to delete this comment?,"Сигурни ли сте, че искате да изтриете този коментар?"
Are you sure you want to delete this project?,"Сигурни ли сте, че искате да изтриете този проект?"
Are you sure?,Сигурни ли сте?
Ascending -- click to reverse,Възходящо -- щракнете за обратен ред
Assign To,Назначаване на
Assign to Me,Назначаване на мен
Assigned Contact,Назначен контакт
Assigned To,Назначено на
Assigned to,Назначено на
Assigned to Me,Назначено на мен
Assignee,Назначен
Assignment,Назначение
Assignment History,История на назначенията
Assignment name is required,Името на назначението е задължително
Assignment {0} not found,Назначение {0} не е намерено
Assignments,Назначения
At least one action is required,Необходимо е поне едно действие
At least one event is required,Необходимо е поне едно събитие
At least one event must be selected,Трябва да бъде избрано поне едно събитие
Attachment,Прикачен файл
Attachments,Прикачени файлове
Attendees,Участници
"Audit trail, assignments, version history","Одитна следа, назначения, история на версиите"
Auto,Автоматично
Auto Calculate Progress,Автоматично изчисляване на напредъка
Auto Set Missed Milestones,Автоматично маркиране на пропуснати етапи
Auto-shift dependents when dates change,Автоматично изместване на зависимите при промяна на дати
Auto-Trail Start,Автоматично плъзгащо начало
Auto-Trail updated,Автоматичното плъзгащо начало е обновено
Automatically calculate project progress from task completion,Автоматично изчисляване на напредъка на проекта от завършването на задачите
Automatically mark milestones as missed when overdue,Автоматично маркиране на етапите като пропуснати при закъснение
Automation rule {0} not found,Правило за автоматизация {0} не е намерено
Automation: {0},Автоматизация: {0}
Availability,Наличност
Available,Наличен
Avatar updated successfully,Снимката на профила е обновена успешно
Avg Progress,Среден напредък
Back,Назад
Back to Portal,Назад към портала
Back to Projects,Назад към проектите
Beginner,Начинаещ
Best regards,С уважение
Billable,За фактуриране
Billable Amount,Сума за фактуриране
Billable Hours,Часове за фактуриране
Billable Rate,Ставка за фактуриране
Billing Rate,Ставка за фактуриране
Blocked,Блокирано
Both dates are needed to display task as a bar in Gantt chart,И двете дати са необходими за показване на задачата като лента в Gantt диаграмата
Both doctype and docname are required,И doctype и docname са задължителни
Both proposed start and end times are required,И предложеното начално и крайно време са задължителни
Both task_name and depends_on are required,И task_name и depends_on са задължителни
Breadcrumb,Навигационна пътека
Brief description of the defect or damage,Кратко описание на дефекта или повредата
Brief description of this template,Кратко описание на този шаблон
Brief description of your request,Кратко описание на вашата заявка
Brief project description,Кратко описание на проекта
Budget,Бюджет
Budget at risk,Бюджетът е застрашен
Budget Burn Rate,Скорост на изразходване на бюджета
Budget Status,Състояние на бюджета
Budget updated,Бюджетът е обновен
Budget:,Бюджет:
Bug,Грешка
Burn Rate,Скорост на изразходване
Busy,Зает
By,От
By Assignee,По назначен
By Group,По група
By Milestone,По етап
By Priority,По приоритет
By Status,По състояние
Cancel,Отмяна
Cancelled,Отменено
cannot be undone,не може да бъде отменено
Cannot delete client with {0} linked projects. Unlink projects first.,Не може да се изтрие клиент с {0} свързани проекта. Първо разкачете проектите.
Cannot delete project with {0} linked tasks. Delete tasks first.,Не може да се изтрие проект с {0} свързани задачи. Първо изтрийте задачите.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Не може да се изтрие ресурс с {0} активни назначения. Първо ги завършете или отменете.
Cannot delete task with {0} subtasks. Delete subtasks first.,Не може да се изтрие задача с {0} подзадачи. Първо изтрийте подзадачите.
Capacity,Капацитет
capacity,капацитет
Capacity & Rates,Капацитет и ставки
Capture project structure for reuse,Запазване на структурата на проекта за повторна употреба
Cascade,Каскада
Cascade Preview,Преглед на каскадата
Category,Категория
Celebrate,Поздравления
Change,Промяна
Change History,История на промените
Change Priority,Промяна на приоритет
Change Status,Промяна на състояние
Changes,Промени
Changes appear when fields are modified.,Промените се показват при промяна на полетата.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Контролен списък
Checklist item name is required,Името на елемента от контролния списък е задължително
Checklist item not found,Елементът от контролния списък не е намерен
Checklist item title is required,Заглавието на елемента от контролния списък е задължително
Checklist item {0} not found,Елемент от контролния списък {0} не е намерен
Checklist item {0} not found in task,Елемент от контролния списък {0} не е намерен в задачата
Child,Подчинен
Choose file to upload,Изберете файл за качване
Circular dependency detected: {0},Открита кръгова зависимост: {0}
Circular parent-child relationship detected,Открито кръгово отношение родител-дете
Clear,Изчистване
Clear all read,Изчистване на всички прочетени
Clear date,Изчистване на дата
Click on an activity from the list to view and manage its details.,"Щракнете върху дейност от списъка, за да видите и управлявате подробностите."
Click the avatar to upload a new photo,Щракнете върху снимката на профила за качване на нова снимка
Click to add description...,Щракнете за добавяне на описание...
Click to add notes...,Щракнете за добавяне на бележки...
Click to assign contact,Щракнете за назначаване на контакт
Click to change status,Щракнете за промяна на състоянието
Click to change type,Щракнете за промяна на вида
Click to edit,Щракнете за редактиране
Click to edit budget,Щракнете за редактиране на бюджета
Click to edit description,Щракнете за редактиране на описанието
Click to edit end date,Щракнете за редактиране на крайната дата
Click to edit milestone name,Щракнете за редактиране на името на етапа
Click to edit rate,Щракнете за редактиране на ставката
Click to edit start date,Щракнете за редактиране на началната дата
Click to edit title,Щракнете за редактиране на заглавието
Click to load,Щракнете за зареждане
Click to set group dependency...,Щракнете за задаване на зависимост на групата...
Click to set group...,Щракнете за задаване на група...
