+ Add Milestone,+ মাইলস্টোন যোগ করুন
+ Create Task,+ টাস্ক তৈরি করুন
+ Log Time,+ সময় রেকর্ড করুন
-- Select a project --,-- একটি প্রকল্প নির্বাচন করুন --
0m,0m
1 day,১ দিন
1 day ago,১ দিন আগে
1 dependency,১টি নির্ভরতা
1 entry,১টি এন্ট্রি
1 file,১টি ফাইল
1 hour ago,১ ঘণ্টা আগে
1 member,১ জন সদস্য
1 milestone,১টি মাইলস্টোন
1 month,১ মাস
1 task,১টি টাস্ক
< 1m,< 1m
"A clear, actionable title for the task","টাস্কের জন্য একটি পরিষ্কার, কার্যকরী শিরোনাম"
A client with email {0} already exists: {1},{0} ইমেইল সহ একটি ক্লায়েন্ট ইতিমধ্যে বিদ্যমান: {1}
A key deliverable or checkpoint for the project,প্রকল্পের জন্য একটি গুরুত্বপূর্ণ ডেলিভারেবল বা চেকপয়েন্ট
Accept,গ্রহণ করুন
Accepted,গৃহীত
Acknowledge,স্বীকার করুন
across,জুড়ে
Action,অ্যাকশন
Actions,অ্যাকশনসমূহ
Active,সক্রিয়
Active Assignments,সক্রিয় অ্যাসাইনমেন্ট
Active Projects,সক্রিয় প্রকল্প
Activity,কার্যকলাপ
Activity data deleted successfully,কার্যকলাপের ডেটা সফলভাবে মুছে ফেলা হয়েছে
Activity Info,কার্যকলাপ তথ্য
Activity Stats,কার্যকলাপ পরিসংখ্যান
Activity will appear here as you work on tasks and projects.,আপনি টাস্ক এবং প্রকল্পে কাজ করার সাথে সাথে এখানে কার্যকলাপ দেখা যাবে।
Actual,প্রকৃত
Actual Cost,প্রকৃত খরচ
Actual cost cannot be negative,প্রকৃত খরচ ঋণাত্মক হতে পারে না
Actual end date cannot be before actual start date,প্রকৃত শেষ তারিখ প্রকৃত শুরুর তারিখের আগে হতে পারে না
Actual Hours,প্রকৃত ঘণ্টা
Add,যোগ করুন
Add a checklist item...,একটি চেকলিস্ট আইটেম যোগ করুন...
Add a comment...,একটি মন্তব্য যোগ করুন...
Add a comment... (Ctrl+Enter to send),একটি মন্তব্য যোগ করুন... (পাঠাতে Ctrl+Enter)
Add a description...,একটি বিবরণ যোগ করুন...
Add a milestone description...,একটি মাইলস্টোন বিবরণ যোগ করুন...
Add a note below to annotate this activity.,এই কার্যকলাপে টীকা যোগ করতে নিচে একটি নোট যোগ করুন।
Add a note...,একটি নোট যোগ করুন...
Add a project description...,একটি প্রকল্প বিবরণ যোগ করুন...
Add a task description...,একটি টাস্ক বিবরণ যোগ করুন...
Add checklist item...,চেকলিস্ট আইটেম যোগ করুন...
Add Contact,পরিচিতি যোগ করুন
Add contacts via the Desk interface or clear filters,ডেস্ক ইন্টারফেসের মাধ্যমে পরিচিতি যোগ করুন অথবা ফিল্টার মুছুন
Add Dependency,নির্ভরতা যোগ করুন
Add details about this event...,এই ইভেন্ট সম্পর্কে বিস্তারিত যোগ করুন...
Add details about this milestone...,এই মাইলস্টোন সম্পর্কে বিস্তারিত যোগ করুন...
Add details about this task...,এই টাস্ক সম্পর্কে বিস্তারিত যোগ করুন...
Add details or acceptance criteria for this milestone,এই মাইলস্টোনের জন্য বিস্তারিত বা গ্রহণযোগ্যতার মানদণ্ড যোগ করুন
"Add details, context, or acceptance criteria","বিস্তারিত, প্রসঙ্গ, বা গ্রহণযোগ্যতার মানদণ্ড যোগ করুন"
Add first dependency,প্রথম নির্ভরতা যোগ করুন
Add item,আইটেম যোগ করুন
Add items below to track progress.,অগ্রগতি ট্র্যাক করতে নিচে আইটেম যোগ করুন।
Add items below to track subtasks,সাব-টাস্ক ট্র্যাক করতে নিচে আইটেম যোগ করুন
Add Milestone,মাইলস্টোন যোগ করুন
Add Milestone (Shift+M),মাইলস্টোন যোগ করুন (Shift+M)
Add milestones to track key deliverables.,গুরুত্বপূর্ণ ডেলিভারেবল ট্র্যাক করতে মাইলস্টোন যোগ করুন।
Add New Contact,নতুন পরিচিতি যোগ করুন
Add Note,নোট যোগ করুন
Add note,নোট যোগ করুন
Add notes about this contact...,এই পরিচিতি সম্পর্কে নোট যোগ করুন...
Add reaction,প্রতিক্রিয়া যোগ করুন
Add Skill,দক্ষতা যোগ করুন
Add start and due dates to tasks to see them on the Gantt chart,গ্যান্ট চার্টে দেখতে টাস্কে শুরু ও শেষ তারিখ যোগ করুন
Add Task,টাস্ক যোগ করুন
Add Task (Shift+T),টাস্ক যোগ করুন (Shift+T)
Added Finish-to-Start dependency,সমাপ্তি-থেকে-শুরু নির্ভরতা যোগ করা হয়েছে
Adding this dependency would create a circular reference: {0},এই নির্ভরতা যোগ করলে একটি চক্রাকার রেফারেন্স তৈরি হবে: {0}
Adding...,যোগ করা হচ্ছে...
Address,ঠিকানা
Advanced,উন্নত
All,সব
All Active,সব সক্রিয়
All Assignees,সব অ্যাসাইনি
All Categories,সব বিভাগ
All caught up!,সব হালনাগাদ!
All Contexts,সব প্রসঙ্গ
All day,সারাদিন
All day event,সারাদিনের ইভেন্ট
All fields,সব ক্ষেত্র
All Priorities,সব অগ্রাধিকার
All Projects,সব প্রকল্প
All Status,সব স্ট্যাটাস
All Statuses,সব স্ট্যাটাস
All task dependencies & relative dates,সব টাস্ক নির্ভরতা ও আপেক্ষিক তারিখ
All Tasks,সব টাস্ক
All tasks across all projects.,সব প্রকল্প জুড়ে সব টাস্ক।
All tasks are already linked,সব টাস্ক ইতিমধ্যে সংযুক্ত
All team members,সব দলের সদস্য
All Types,সব ধরন
All Users,সব ব্যবহারকারী
Allocated,বরাদ্দকৃত
allocated,বরাদ্দকৃত
Allow users to log time against tasks,ব্যবহারকারীদের টাস্কের বিপরীতে সময় রেকর্ড করার অনুমতি দিন
Already exported to timesheet {0},ইতিমধ্যে টাইমশিট {0}-এ রপ্তানি করা হয়েছে
