+ Add Milestone,+ Tilfoej milepael
+ Create Task,+ Opret opgave
+ Log Time,+ Registrer tid
-- Select a project --,-- Vaelg et projekt --
0m,0m
1 day,1 dag
1 day ago,1 dag siden
1 dependency,1 afhaengighed
1 entry,1 post
1 file,1 fil
1 hour ago,1 time siden
1 member,1 medlem
1 milestone,1 milepael
1 month,1 maned
1 task,1 opgave
< 1m,< 1m
"A clear, actionable title for the task","En klar, handlingsorienteret titel for opgaven"
A client with email {0} already exists: {1},En klient med e-mail {0} eksisterer allerede: {1}
A key deliverable or checkpoint for the project,En vigtig leverance eller kontrolpunkt for projektet
Accept,Accepter
Accepted,Accepteret
Acknowledge,Bekraeft modtagelse
across,pa tvaers af
Action,Handling
Actions,Handlinger
Active,Aktiv
Active Assignments,Aktive tildelinger
Active Projects,Aktive projekter
Activity,Aktivitet
Activity data deleted successfully,Aktivitetsdata slettet
Activity Info,Aktivitetsinformation
Activity Stats,Aktivitetsstatistik
Activity will appear here as you work on tasks and projects.,"Aktivitet vises her, efterhanden som du arbejder med opgaver og projekter."
Actual,Faktisk
Actual Cost,Faktisk omkostning
Actual cost cannot be negative,Faktisk omkostning kan ikke vaere negativ
Actual end date cannot be before actual start date,Faktisk slutdato kan ikke vaere foer faktisk startdato
Actual Hours,Faktiske timer
Add,Tilfoej
Add a checklist item...,Tilfoej et tjeklistepunkt...
Add a comment...,Tilfoej en kommentar...
Add a comment... (Ctrl+Enter to send),Tilfoej en kommentar... (Ctrl+Enter for at sende)
Add a description...,Tilfoej en beskrivelse...
Add a milestone description...,Tilfoej en milepael-beskrivelse...
Add a note below to annotate this activity.,Tilfoej en note nedenfor for at kommentere denne aktivitet.
Add a note...,Tilfoej en note...
Add a project description...,Tilfoej en projektbeskrivelse...
Add a task description...,Tilfoej en opgavebeskrivelse...
Add checklist item...,Tilfoej tjeklistepunkt...
Add Contact,Tilfoej kontakt
Add contacts via the Desk interface or clear filters,Tilfoej kontakter via Desk-graensefladen eller ryd filtrene
Add Dependency,Tilfoej afhaengighed
Add details about this event...,Tilfoej detaljer om denne begivenhed...
Add details about this milestone...,Tilfoej detaljer om denne milepael...
Add details about this task...,Tilfoej detaljer om denne opgave...
