+ Add Milestone,+ Meilenstein hinzufügen
+ Create Task,+ Aufgabe erstellen
+ Log Time,+ Zeit erfassen
-- Select a project --,-- Projekt auswählen --
0m,0m
1 day,1 Tag
1 day ago,vor 1 Tag
1 dependency,1 Abhängigkeit
1 entry,1 Eintrag
1 file,1 Datei
1 hour ago,vor 1 Stunde
1 member,1 Mitglied
1 milestone,1 Meilenstein
1 month,1 Monat
1 task,1 Aufgabe
< 1m,< 1m
"A clear, actionable title for the task","Ein klarer, umsetzbarer Titel für die Aufgabe"
A client with email {0} already exists: {1},Ein Kunde mit der E-Mail-Adresse {0} existiert bereits: {1}
A key deliverable or checkpoint for the project,Ein wichtiges Ergebnis oder Prüfpunkt für das Projekt
Accept,Annehmen
Accepted,Angenommen
Acknowledge,Zur Kenntnis nehmen
across,über
Action,Aktion
Actions,Aktionen
Active,Aktiv
Active Assignments,Aktive Zuweisungen
Active Projects,Aktive Projekte
Activity,Aktivität
Activity data deleted successfully,Aktivitätsdaten erfolgreich gelöscht
Activity Info,Aktivitäts-Info
Activity Stats,Aktivitätsstatistiken
Activity will appear here as you work on tasks and projects.,"Aktivitäten werden hier angezeigt, wenn Sie an Aufgaben und Projekten arbeiten."
Actual,Tatsächlich
Actual Cost,Tatsächliche Kosten
Actual cost cannot be negative,Tatsächliche Kosten können nicht negativ sein
Actual end date cannot be before actual start date,Das tatsächliche Enddatum kann nicht vor dem tatsächlichen Startdatum liegen
Actual Hours,Tatsächliche Stunden
Add,Hinzufügen
Add a checklist item...,Checklistenelement hinzufügen...
Add a comment...,Kommentar hinzufügen...
Add a comment... (Ctrl+Enter to send),Kommentar hinzufügen... (Strg+Eingabe zum Senden)
Add a description...,Beschreibung hinzufügen...
Add a milestone description...,Meilensteinbeschreibung hinzufügen...
Add a note below to annotate this activity.,Fügen Sie unten eine Notiz hinzu um diese Aktivität zu kommentieren.
Add a note...,Notiz hinzufügen...
Add a project description...,Projektbeschreibung hinzufügen...
Add a task description...,Aufgabenbeschreibung hinzufügen...
Add checklist item...,Checklistenelement hinzufügen...
Add Contact,Kontakt hinzufügen
Add contacts via the Desk interface or clear filters,Kontakte über die Desk-Oberfläche hinzufügen oder Filter zurücksetzen
Add Dependency,Abhängigkeit hinzufügen
Add details about this event...,Details zu diesem Termin hinzufügen...
Add details about this milestone...,Details zu diesem Meilenstein hinzufügen...
Add details about this task...,Details zu dieser Aufgabe hinzufügen...
Add details or acceptance criteria for this milestone,Fügen Sie Details oder Abnahmekriterien für diesen Meilenstein hinzu
"Add details, context, or acceptance criteria","Fügen Sie Details, Kontext oder Abnahmekriterien hinzu"
Add first dependency,Erste Abhängigkeit hinzufügen
Add item,Element hinzufügen
Add items below to track progress.,Fügen Sie unten Elemente hinzu um den Fortschritt zu verfolgen.
Add items below to track subtasks,Fügen Sie unten Elemente hinzu um Teilaufgaben zu verfolgen
Add Milestone,Meilenstein hinzufügen
Add Milestone (Shift+M),Meilenstein hinzufügen (Umschalt+M)
Add milestones to track key deliverables.,Fügen Sie Meilensteine hinzu um wichtige Ergebnisse zu verfolgen.
Add New Contact,Neuen Kontakt hinzufügen
Add Note,Notiz hinzufügen
Add note,Notiz hinzufügen
Add notes about this contact...,Notizen zu diesem Kontakt hinzufügen...
Add reaction,Reaktion hinzufügen
Add Skill,Fähigkeit hinzufügen
Add start and due dates to tasks to see them on the Gantt chart,"Fügen Sie Start- und Fälligkeitsdaten zu Aufgaben hinzu, um sie im Gantt-Diagramm anzuzeigen"
Add Task,Aufgabe hinzufügen
Add Task (Shift+T),Aufgabe hinzufügen (Umschalt+T)
Added Finish-to-Start dependency,Ende-Anfang-Abhängigkeit hinzugefügt
Adding this dependency would create a circular reference: {0},Das Hinzufügen dieser Abhängigkeit würde einen Zirkelbezug erzeugen: {0}
Adding...,Wird hinzugefügt...
Address,Adresse
Advanced,Erweitert
All,Alle
All Active,Alle Aktiven
All Assignees,Alle Zugewiesenen
All Categories,Alle Kategorien
All caught up!,Alles erledigt!
All Contexts,Alle Kontexte
All day,Ganztägig
All day event,Ganztägiger Termin
All fields,Alle Felder
All Priorities,Alle Prioritäten
All Projects,Alle Projekte
All Status,Alle Status
All Statuses,Alle Status
All task dependencies & relative dates,Alle Aufgabenabhängigkeiten & relative Daten
All Tasks,Alle Aufgaben
All tasks across all projects.,Alle Aufgaben über alle Projekte hinweg.
All tasks are already linked,Alle Aufgaben sind bereits verknüpft
All team members,Alle Teammitglieder
All Types,Alle Typen
All Users,Alle Benutzer
Allocated,Zugewiesen
allocated,zugewiesen
Allow users to log time against tasks,"Benutzern erlauben, Zeit für Aufgaben zu erfassen"
Already exported to timesheet {0},Bereits in Zeiterfassung {0} exportiert
Already Migrated,Bereits migriert
Anyone with access,Jeder mit Zugriff
anytime to show this help,"jederzeit, um diese Hilfe anzuzeigen"
App Updates,App-Updates
Appearance,Darstellung
Apply,Anwenden
Apply cascade?,Kaskade anwenden?
Apply Changes,Änderungen anwenden
Apply failed,Anwenden fehlgeschlagen
Apply Template,Vorlage anwenden
Applying...,Wird angewendet...
Appointment,Termin
Appointment and resource are required,Termin und Ressource sind erforderlich
Appointment name is required,Terminname ist erforderlich
Appointment not found,Termin nicht gefunden
Appointment {0} not found,Termin {0} nicht gefunden
Apps,Apps
Archive,Archivieren
Archive Activity,Aktivität archivieren
Archived,Archiviert
Are you sure you want to delete this activity data? This cannot be undone.,"Sind Sie sicher, dass Sie diese Aktivitätsdaten löschen möchten? Dies kann nicht rückgängig gemacht werden."
