+ Add Milestone,+ Προσθήκη ορόσημου
+ Create Task,+ Δημιουργία εργασίας
+ Log Time,+ Καταγραφή χρόνου
-- Select a project --,-- Επιλέξτε ένα έργο --
0m,0λ
1 day,1 ημέρα
1 day ago,πριν 1 ημέρα
1 dependency,1 εξάρτηση
1 entry,1 καταχώρηση
1 file,1 αρχείο
1 hour ago,πριν 1 ώρα
1 member,1 μέλος
1 milestone,1 ορόσημο
1 month,1 μήνας
1 task,1 εργασία
< 1m,< 1λ
"A clear, actionable title for the task","Ένας σαφής, εφαρμόσιμος τίτλος για την εργασία"
A client with email {0} already exists: {1},Υπάρχει ήδη πελάτης με email {0}: {1}
A key deliverable or checkpoint for the project,Βασικό παραδοτέο ή σημείο ελέγχου για το έργο
Accept,Αποδοχή
Accepted,Αποδεκτό
Acknowledge,Επιβεβαίωση λήψης
across,σε
Action,Ενέργεια
Actions,Ενέργειες
Active,Ενεργό
Active Assignments,Ενεργές αναθέσεις
Active Projects,Ενεργά έργα
Activity,Δραστηριότητα
Activity data deleted successfully,Τα δεδομένα δραστηριότητας διαγράφηκαν
Activity Info,Πληροφορίες δραστηριότητας
Activity Stats,Στατιστικά δραστηριότητας
Activity will appear here as you work on tasks and projects.,Η δραστηριότητα θα εμφανίζεται εδώ καθώς εργάζεστε σε εργασίες και έργα.
Actual,Πραγματικό
Actual Cost,Πραγματικό κόστος
Actual cost cannot be negative,Το πραγματικό κόστος δεν μπορεί να είναι αρνητικό
Actual end date cannot be before actual start date,Η πραγματική ημερομηνία λήξης δεν μπορεί να είναι πριν την πραγματική ημερομηνία έναρξης
Actual Hours,Πραγματικές ώρες
Add,Προσθήκη
Add a checklist item...,Προσθήκη στοιχείου λίστας ελέγχου...
Add a comment...,Προσθήκη σχολίου...
Add a comment... (Ctrl+Enter to send),Προσθήκη σχολίου... (Ctrl+Enter για αποστολή)
Add a description...,Προσθήκη περιγραφής...
Add a milestone description...,Προσθήκη περιγραφής ορόσημου...
Add a note below to annotate this activity.,Προσθέστε μια σημείωση παρακάτω για να σχολιάσετε αυτή τη δραστηριότητα.
Add a note...,Προσθήκη σημείωσης...
Add a project description...,Προσθήκη περιγραφής έργου...
Add a task description...,Προσθήκη περιγραφής εργασίας...
