+ Add Milestone,+ Add Milestone
+ Create Task,+ Create Task
+ Log Time,+ Log Time
-- Select a project --,-- Select a project --
0m,0m
1 day,1 day
1 day ago,1 day ago
1 dependency,1 dependency
1 entry,1 entry
1 file,1 file
1 hour ago,1 hour ago
1 member,1 member
1 milestone,1 milestone
1 month,1 month
1 task,1 task
< 1m,< 1m
"A clear, actionable title for the task","A clear, actionable title for the task"
A client with email {0} already exists: {1},A client with email {0} already exists: {1}
A key deliverable or checkpoint for the project,A key deliverable or checkpoint for the project
Accept,Accept
Accepted,Accepted
Acknowledge,Acknowledge
across,across
Action,Action
Actions,Actions
Active,Active
Active Assignments,Active Assignments
Active Projects,Active Projects
Activity,Activity
Activity data deleted successfully,Activity data deleted successfully
Activity Info,Activity Info
Activity Stats,Activity Stats
Activity will appear here as you work on tasks and projects.,Activity will appear here as you work on tasks and projects.
Actual,Actual
Actual Cost,Actual Cost
Actual cost cannot be negative,Actual cost cannot be negative
Actual end date cannot be before actual start date,Actual end date cannot be before actual start date
Actual Hours,Actual Hours
Add,Add
Add a checklist item...,Add a checklist item...
Add a comment...,Add a comment...
Add a comment... (Ctrl+Enter to send),Add a comment... (Ctrl+Enter to send)
Add a description...,Add a description...
Add a milestone description...,Add a milestone description...
Add a note below to annotate this activity.,Add a note below to annotate this activity.
Add a note...,Add a note...
Add a project description...,Add a project description...
Add a task description...,Add a task description...
Add checklist item...,Add checklist item...
Add Contact,Add Contact
Add contacts via the Desk interface or clear filters,Add contacts via the Desk interface or clear filters
Add Dependency,Add Dependency
Add details about this event...,Add details about this event...
Add details about this milestone...,Add details about this milestone...
Add details about this task...,Add details about this task...
Add details or acceptance criteria for this milestone,Add details or acceptance criteria for this milestone
"Add details, context, or acceptance criteria","Add details, context, or acceptance criteria"
Add first dependency,Add first dependency
Add item,Add item
Add items below to track progress.,Add items below to track progress.
Add items below to track subtasks,Add items below to track subtasks
Add Milestone,Add Milestone
Add Milestone (Shift+M),Add Milestone (Shift+M)
Add milestones to track key deliverables.,Add milestones to track key deliverables.
Add New Contact,Add New Contact
Add Note,Add Note
Add note,Add note
Add notes about this contact...,Add notes about this contact...
Add reaction,Add reaction
Add Skill,Add Skill
Add start and due dates to tasks to see them on the Gantt chart,Add start and due dates to tasks to see them on the Gantt chart
Add Task,Add Task
Add Task (Shift+T),Add Task (Shift+T)
Added Finish-to-Start dependency,Added Finish-to-Start dependency
Adding this dependency would create a circular reference: {0},Adding this dependency would create a circular reference: {0}
Adding...,Adding...
Address,Address
Advanced,Advanced
All,All
All Active,All Active
All Assignees,All Assignees
All Categories,All Categories
All caught up!,All caught up!
All Contexts,All Contexts
All day,All day
All day event,All day event
All fields,All fields
All Priorities,All Priorities
All Projects,All Projects
All Status,All Status
All Statuses,All Statuses
All task dependencies & relative dates,All task dependencies & relative dates
All Tasks,All Tasks
All tasks across all projects.,All tasks across all projects.
All tasks are already linked,All tasks are already linked
All team members,All team members
All Types,All Types
All Users,All Users
Allocated,Allocated
allocated,allocated
Allow users to log time against tasks,Allow users to log time against tasks
Already exported to timesheet {0},Already exported to timesheet {0}
Already Migrated,Already Migrated
Anyone with access,Anyone with access
anytime to show this help,anytime to show this help
App Updates,App Updates
Appearance,Appearance
Apply,Apply
Apply cascade?,Apply cascade?
Apply Changes,Apply Changes
Apply failed,Apply failed
Apply Template,Apply Template
Applying...,Applying...
Appointment,Appointment
Appointment and resource are required,Appointment and resource are required
Appointment name is required,Appointment name is required
Appointment not found,Appointment not found
Appointment {0} not found,Appointment {0} not found
Apps,Apps
Archive,Archive
Archive Activity,Archive Activity
Archived,Archived
Are you sure you want to delete this activity data? This cannot be undone.,Are you sure you want to delete this activity data? This cannot be undone.
Are you sure you want to delete this comment?,Are you sure you want to delete this comment?
Are you sure you want to delete this project?,Are you sure you want to delete this project?
Are you sure?,Are you sure?
Ascending -- click to reverse,Ascending -- click to reverse
Assign To,Assign To
Assign to Me,Assign to Me
Assigned Contact,Assigned Contact
Assigned To,Assigned To
Assigned to,Assigned to
Assigned to Me,Assigned to Me
Assignee,Assignee
Assignment,Assignment
Assignment History,Assignment History
Assignment name is required,Assignment name is required
Assignment {0} not found,Assignment {0} not found
Assignments,Assignments
At least one action is required,At least one action is required
At least one event is required,At least one event is required
At least one event must be selected,At least one event must be selected
Attachment,Attachment
Attachments,Attachments
Attendees,Attendees
"Audit trail, assignments, version history","Audit trail, assignments, version history"
Auto,Auto
Auto Calculate Progress,Auto Calculate Progress
Auto Set Missed Milestones,Auto Set Missed Milestones
Auto-shift dependents when dates change,Auto-shift dependents when dates change
Auto-Trail Start,Auto-Trail Start
Auto-Trail updated,Auto-Trail updated
Automatically calculate project progress from task completion,Automatically calculate project progress from task completion
Automatically mark milestones as missed when overdue,Automatically mark milestones as missed when overdue
Automation rule {0} not found,Automation rule {0} not found
Automation: {0},Automation: {0}
Availability,Availability
Available,Available
Avatar updated successfully,Avatar updated successfully
Avg Progress,Avg Progress
Back,Back
Back to Portal,Back to Portal
Back to Projects,Back to Projects
Beginner,Beginner
Best regards,Best regards
Billable,Billable
Billable Amount,Billable Amount
Billable Hours,Billable Hours
Billable Rate,Billable Rate
Billing Rate,Billing Rate
Blocked,Blocked
Both dates are needed to display task as a bar in Gantt chart,Both dates are needed to display task as a bar in Gantt chart
Both doctype and docname are required,Both doctype and docname are required
Both proposed start and end times are required,Both proposed start and end times are required
Both task_name and depends_on are required,Both task_name and depends_on are required
Breadcrumb,Breadcrumb
Brief description of the defect or damage,Brief description of the defect or damage
Brief description of this template,Brief description of this template
Brief description of your request,Brief description of your request
Brief project description,Brief project description
Budget,Budget
Budget at risk,Budget at risk
Budget Burn Rate,Budget Burn Rate
Budget Status,Budget Status
Budget updated,Budget updated
Budget:,Budget:
Bug,Bug
Burn Rate,Burn Rate
Busy,Busy
By,By
By Assignee,By Assignee
By Group,By Group
By Milestone,By Milestone
By Priority,By Priority
By Status,By Status
Cancel,Cancel
Cancelled,Cancelled
cannot be undone,cannot be undone
Cannot delete client with {0} linked projects. Unlink projects first.,Cannot delete client with {0} linked projects. Unlink projects first.
