+ Add Milestone,+ Agregar hito
+ Create Task,+ Crear tarea
+ Log Time,+ Registrar tiempo
-- Select a project --,-- Seleccionar un proyecto --
0m,0m
1 day,1 día
1 day ago,hace 1 día
1 dependency,1 dependencia
1 entry,1 entrada
1 file,1 archivo
1 hour ago,hace 1 hora
1 member,1 miembro
1 milestone,1 hito
1 month,1 mes
1 task,1 tarea
< 1m,< 1m
"A clear, actionable title for the task",Un título claro y accionable para la tarea
A client with email {0} already exists: {1},Ya existe un cliente con el correo electrónico {0}: {1}
A key deliverable or checkpoint for the project,Un entregable clave o punto de control del proyecto
Accept,Aceptar
Accepted,Aceptado
Acknowledge,Confirmar recepción
across,en
Action,Acción
Actions,Acciones
Active,Activo
Active Assignments,Asignaciones activas
Active Projects,Proyectos activos
Activity,Actividad
Activity data deleted successfully,Datos de actividad eliminados correctamente
Activity Info,Información de la actividad
Activity Stats,Estadísticas de actividad
Activity will appear here as you work on tasks and projects.,La actividad aparecerá aquí a medida que trabaje en tareas y proyectos.
Actual,Real
Actual Cost,Costo real
Actual cost cannot be negative,El costo real no puede ser negativo
Actual end date cannot be before actual start date,La fecha de fin real no puede ser anterior a la fecha de inicio real
Actual Hours,Horas reales
Add,Agregar
Add a checklist item...,Agregar un elemento a la lista de verificación...
Add a comment...,Agregar un comentario...
Add a comment... (Ctrl+Enter to send),Agregar un comentario... (Ctrl+Enter para enviar)
Add a description...,Agregar una descripción...
Add a milestone description...,Agregar una descripción del hito...
Add a note below to annotate this activity.,Agregue una nota a continuación para anotar esta actividad.
Add a note...,Agregar una nota...
Add a project description...,Agregar una descripción del proyecto...
Add a task description...,Agregar una descripción de la tarea...
Add checklist item...,Agregar elemento a la lista de verificación...
Add Contact,Agregar contacto
Add contacts via the Desk interface or clear filters,Agregue contactos a través de la interfaz Desk o borre los filtros
Add Dependency,Agregar dependencia
Add details about this event...,Agregar detalles sobre este evento...
Add details about this milestone...,Agregar detalles sobre este hito...
Add details about this task...,Agregar detalles sobre esta tarea...
Add details or acceptance criteria for this milestone,Agregar detalles o criterios de aceptación para este hito
"Add details, context, or acceptance criteria","Agregar detalles, contexto o criterios de aceptación"
Add first dependency,Agregar primera dependencia
Add item,Agregar elemento
Add items below to track progress.,Agregue elementos a continuación para seguir el avance.
Add items below to track subtasks,Agregue elementos a continuación para seguir las subtareas
Add Milestone,Agregar hito
Add Milestone (Shift+M),Agregar hito (Shift+M)
Add milestones to track key deliverables.,Agregue hitos para seguir los entregables clave.
Add New Contact,Agregar nuevo contacto
Add Note,Agregar nota
Add note,Agregar nota
Add notes about this contact...,Agregar notas sobre este contacto...
Add reaction,Agregar reacción
Add Skill,Agregar habilidad
Add start and due dates to tasks to see them on the Gantt chart,Agregue fechas de inicio y vencimiento a las tareas para verlas en el diagrama de Gantt
Add Task,Agregar tarea
Add Task (Shift+T),Agregar tarea (Shift+T)
Added Finish-to-Start dependency,Dependencia Fin-a-Inicio agregada
Adding this dependency would create a circular reference: {0},Agregar esta dependencia crearía una referencia circular: {0}
Adding...,Agregando...
Address,Dirección
Advanced,Avanzado
All,Todos
All Active,Todos los activos
All Assignees,Todos los asignados
All Categories,Todas las categorías
All caught up!,¡Todo al día!
All Contexts,Todos los contextos
All day,Todo el día
All day event,Evento de todo el día
All fields,Todos los campos
All Priorities,Todas las prioridades
All Projects,Todos los proyectos
All Status,Todos los estados
All Statuses,Todos los estados
All task dependencies & relative dates,Todas las dependencias de tareas y fechas relativas
All Tasks,Todas las tareas
All tasks across all projects.,Todas las tareas de todos los proyectos.
All tasks are already linked,Todas las tareas ya están vinculadas
All team members,Todos los miembros del equipo
All Types,Todos los tipos
All Users,Todos los usuarios
Allocated,Asignado
allocated,asignado
Allow users to log time against tasks,Permitir a los usuarios registrar tiempo en las tareas
Already exported to timesheet {0},Ya exportado a la hoja de tiempo {0}
Already Migrated,Ya migrado
Anyone with access,Cualquier persona con acceso
anytime to show this help,en cualquier momento para mostrar esta ayuda
App Updates,Actualizaciones
Appearance,Apariencia
Apply,Aplicar
Apply cascade?,¿Aplicar la cascada?
Apply Changes,Aplicar cambios
Apply failed,Error al aplicar
Apply Template,Aplicar plantilla
Applying...,Aplicando...
Appointment,Cita
Appointment and resource are required,La cita y el recurso son obligatorios
Appointment name is required,El nombre de la cita es obligatorio
Appointment not found,Cita no encontrada
