+ Add Milestone,+ Lisa verstapost
+ Create Task,+ Loo ülesanne
+ Log Time,+ Kirjuta aeg
-- Select a project --,-- Vali projekt --
0m,0m
1 day,1 päev
1 day ago,1 päev tagasi
1 dependency,1 sõltuvus
1 entry,1 kirje
1 file,1 fail
1 hour ago,1 tund tagasi
1 member,1 liige
1 milestone,1 verstapost
1 month,1 kuu
1 task,1 ülesanne
< 1m,< 1m
"A clear, actionable title for the task",Selge ja teostatav pealkiri ülesandele
A client with email {0} already exists: {1},Klient e-posti aadressiga {0} on juba olemas: {1}
A key deliverable or checkpoint for the project,Projekti oluline tulemus või kontrollpunkt
Accept,Nõustu
Accepted,Nõustutud
Acknowledge,Kinnita
across,üle
Action,Tegevus
Actions,Tegevused
Active,Aktiivne
Active Assignments,Aktiivsed määramised
Active Projects,Aktiivsed projektid
Activity,Tegevused
Activity data deleted successfully,Tegevuse andmed edukalt kustutatud
Activity Info,Tegevuse info
Activity Stats,Tegevuse statistika
Activity will appear here as you work on tasks and projects.,Tegevused ilmuvad siia ülesannete ja projektidega töötades.
Actual,Tegelik
Actual Cost,Tegelik kulu
Actual cost cannot be negative,Tegelik kulu ei saa olla negatiivne
Actual end date cannot be before actual start date,Tegelik lõppkuupäev ei saa olla enne tegelikku alguskuupäeva
Actual Hours,Tegelikud tunnid
Add,Lisa
Add a checklist item...,Lisa kontrollnimekirja element...
Add a comment...,Lisa kommentaar...
Add a comment... (Ctrl+Enter to send),Lisa kommentaar... (Ctrl+Enter saatmiseks)
Add a description...,Lisa kirjeldus...
Add a milestone description...,Lisa verstapostile kirjeldus...
Add a note below to annotate this activity.,Lisage allpool märkus selle tegevuse kohta.
Add a note...,Lisa märkus...
Add a project description...,Lisa projekti kirjeldus...
Add a task description...,Lisa ülesande kirjeldus...
Add checklist item...,Lisa kontrollnimekirja element...
Add Contact,Lisa kontakt
Add contacts via the Desk interface or clear filters,Lisage kontakte Desk liidese kaudu või tühjendage filtrid
Add Dependency,Lisa sõltuvus
Add details about this event...,Lisa selle sündmuse üksikasjad...
Add details about this milestone...,Lisa selle verstapostile üksikasjad...
Add details about this task...,Lisa selle ülesande üksikasjad...
Add details or acceptance criteria for this milestone,Lisa üksikasjad või vastuvõtukriteeriumid selle verstapostile
"Add details, context, or acceptance criteria","Lisa üksikasjad, kontekst või vastuvõtukriteeriumid"
Add first dependency,Lisa esimene sõltuvus
Add item,Lisa element
Add items below to track progress.,Lisage allpool elemente edenemise jälgimiseks.
Add items below to track subtasks,Lisage allpool elemente alamülesannete jälgimiseks
Add Milestone,Lisa verstapost
Add Milestone (Shift+M),Lisa verstapost (Shift+M)
Add milestones to track key deliverables.,Lisage verstaposte oluliste tulemuste jälgimiseks.
Add New Contact,Lisa uus kontakt
Add Note,Lisa märkus
Add note,Lisa märkus
Add notes about this contact...,Lisa märkmeid selle kontakti kohta...
Add reaction,Lisa reaktsioon
Add Skill,Lisa oskus
Add start and due dates to tasks to see them on the Gantt chart,Lisage ülesannetele algus- ja tähtajad nende nägemiseks Gantt diagrammil
Add Task,Lisa ülesanne
Add Task (Shift+T),Lisa ülesanne (Shift+T)
Added Finish-to-Start dependency,Lõpp-algus sõltuvus lisatud
Adding this dependency would create a circular reference: {0},Selle sõltuvuse lisamine tekitaks ringviite: {0}
Adding...,Lisamine...
Address,Aadress
Advanced,Täpsem
All,Kõik
All Active,Kõik aktiivsed
All Assignees,Kõik määratud
All Categories,Kõik kategooriad
All caught up!,Kõik on tehtud!
All Contexts,Kõik kontekstid
All day,Terve päev
All day event,Kogu päeva sündmus
All fields,Kõik väljad
All Priorities,Kõik prioriteedid
All Projects,Kõik projektid
All Status,Kõik olekud
All Statuses,Kõik olekud
All task dependencies & relative dates,Kõik ülesannete sõltuvused ja suhtelised kuupäevad
All Tasks,Kõik ülesanded
All tasks across all projects.,Kõik ülesanded kõikides projektides.
All tasks are already linked,Kõik ülesanded on juba seotud
All team members,Kõik meeskonnaliikmed
All Types,Kõik tüübid
All Users,Kõik kasutajad
Allocated,Eraldatud
allocated,eraldatud
Allow users to log time against tasks,Luba kasutajatel ülesannete jaoks aega kirjutada
Already exported to timesheet {0},Juba eksporditud ajakaardile {0}
Already Migrated,Juba migreeritud
Anyone with access,Igaüks kellel on juurdepääs
anytime to show this help,igal ajal selle abi kuvamiseks
App Updates,App Updates
Appearance,Välimus
Apply,Rakenda
Apply cascade?,Rakendada kaskaad?
Apply Changes,Rakenda muudatused
Apply failed,Rakendamine ebaõnnestus
Apply Template,Rakenda mall
Applying...,Rakendamine...
Appointment,Kohtumine
Appointment and resource are required,Kohtumine ja ressurss on nõutavad
Appointment name is required,Kohtumise nimi on nõutav
Appointment not found,Kohtumist ei leitud
Appointment {0} not found,Kohtumist {0} ei leitud
Apps,Rakendused
Archive,Arhiveeri
Archive Activity,Arhiveeri tegevus
Archived,Arhiveeritud
Are you sure you want to delete this activity data? This cannot be undone.,"Kas olete kindel, et soovite need tegevuse andmed kustutada? Seda ei saa tagasi võtta."
Are you sure you want to delete this comment?,Kas olete kindel et soovite selle kommentaari kustutada?
Are you sure you want to delete this project?,Kas olete kindel et soovite selle projekti kustutada?
Are you sure?,Kas olete kindel?
Ascending -- click to reverse,Kasvav -- klõpsake ümberpööramiseks
Assign To,Määra
Assign to Me,Määra mulle
Assigned Contact,Määratud kontakt
Assigned To,Määratud
Assigned to,Määratud
Assigned to Me,Mulle määratud
Assignee,Määratud isik
Assignment,Määramine
Assignment History,Määramiste ajalugu
Assignment name is required,Määramise nimi on nõutav
Assignment {0} not found,Määramist {0} ei leitud
Assignments,Määramised
At least one action is required,Vähemalt üks tegevus on nõutav
At least one event is required,Vähemalt üks sündmus on nõutav
At least one event must be selected,Vähemalt üks sündmus peab olema valitud
Attachment,Manus
Attachments,Manused
Attendees,Osalejad
"Audit trail, assignments, version history","Muudatuste jälg, määramised, versioonide ajalugu"
Auto,Automaatne
Auto Calculate Progress,Arvuta edenemist automaatselt
Auto Set Missed Milestones,Märgi möödunud verstapostid automaatselt
Auto-shift dependents when dates change,Nihuta sõltuvaid automaatselt kuupäevade muutumisel
Auto-Trail Start,Automaatne nihkumine
Auto-Trail updated,Automaatne nihkumine uuendatud
Automatically calculate project progress from task completion,Arvuta projekti edenemine automaatselt ülesannete lõpetamise põhjal
Automatically mark milestones as missed when overdue,Märgi verstapostid automaatselt möödunuks kui tähtaeg on ületatud
Automation rule {0} not found,Automatiseerimise reeglit {0} ei leitud
Automation: {0},Automatiseerimine: {0}
Availability,Saadavus
Available,Saadaval
Avatar updated successfully,Profiilipilt edukalt uuendatud
Avg Progress,Keskmine edenemine
Back,Tagasi
Back to Portal,Tagasi portaali
Back to Projects,Tagasi projektide juurde
Beginner,Algaja
Best regards,Parimate soovidega
Billable,Arveldatav
Billable Amount,Arveldatav summa
Billable Hours,Arveldatavad tunnid
Billable Rate,Arveldatav määr
Billing Rate,Arveldusmäär
Blocked,Blokeeritud
Both dates are needed to display task as a bar in Gantt chart,Ülesande ribana kuvamiseks Gantt diagrammil on mõlemad kuupäevad vajalikud
Both doctype and docname are required,Nii doctype kui ka docname on nõutavad
Both proposed start and end times are required,Nii pakutud algus- kui lõppaeg on nõutavad
Both task_name and depends_on are required,Nii task_name kui depends_on on nõutavad
Breadcrumb,Teejuht
Brief description of the defect or damage,Lühikirjeldus defektist või kahjustusest
Brief description of this template,Selle malli lühikirjeldus
Brief description of your request,Teie taotluse lühikirjeldus
Brief project description,Projekti lühikirjeldus
Budget,Eelarve
