+ Add Milestone,+ Lisää välitavoite
+ Create Task,+ Luo tehtävä
+ Log Time,+ Kirjaa aika
-- Select a project --,-- Valitse projekti --
0m,0min
1 day,1 päivä
1 day ago,1 päivä sitten
1 dependency,1 riippuvuus
1 entry,1 merkintä
1 file,1 tiedosto
1 hour ago,1 tunti sitten
1 member,1 jäsen
1 milestone,1 välitavoite
1 month,1 kuukausi
1 task,1 tehtävä
< 1m,< 1min
"A clear, actionable title for the task","Selkeä, toteutettava otsikko tehtävälle"
A client with email {0} already exists: {1},Asiakas sähköpostilla {0} on jo olemassa: {1}
A key deliverable or checkpoint for the project,Projektin keskeinen tuotos tai tarkistuspiste
Accept,Hyväksy
Accepted,Hyväksytty
Acknowledge,Kuittaa
across,kaikissa
Action,Toiminto
Actions,Toiminnot
Active,Aktiivinen
Active Assignments,Aktiiviset toimeksiannot
Active Projects,Aktiiviset projektit
Activity,Toiminta
Activity data deleted successfully,Toimintatiedot poistettu onnistuneesti
Activity Info,Toimintatiedot
Activity Stats,Toimintatilastot
Activity will appear here as you work on tasks and projects.,Toiminta näkyy täällä sitä mukaa kun työskentelet tehtävien ja projektien parissa.
Actual,Toteutunut
Actual Cost,Toteutunut kustannus
Actual cost cannot be negative,Toteutunut kustannus ei voi olla negatiivinen
Actual end date cannot be before actual start date,Toteutunut päättymispäivä ei voi olla ennen toteutunutta aloituspäivää
Actual Hours,Toteutuneet tunnit
Add,Lisää
Add a checklist item...,Lisää tarkistuslistan kohta...
Add a comment...,Lisää kommentti...
Add a comment... (Ctrl+Enter to send),Lisää kommentti... (Ctrl+Enter lähettääksesi)
Add a description...,Lisää kuvaus...
Add a milestone description...,Lisää välitavoitteen kuvaus...
Add a note below to annotate this activity.,Lisää muistiinpano alle tämän toiminnan merkitsemiseksi.
Add a note...,Lisää muistiinpano...
Add a project description...,Lisää projektikuvaus...
Add a task description...,Lisää tehtävän kuvaus...
Add checklist item...,Lisää tarkistuslistan kohta...
Add Contact,Lisää yhteyshenkilö
Add contacts via the Desk interface or clear filters,Lisää yhteyshenkilöitä Desk-käyttöliittymän kautta tai tyhjennä suodattimet
Add Dependency,Lisää riippuvuus
Add details about this event...,Lisää tietoja tästä tapahtumasta...
Add details about this milestone...,Lisää tietoja tästä välitavoitteesta...
Add details about this task...,Lisää tietoja tästä tehtävästä...
Add details or acceptance criteria for this milestone,Lisää tietoja tai hyväksymiskriteerit tälle välitavoitteelle
