+ Add Milestone,+ Magdagdag ng Milestone
+ Create Task,+ Gumawa ng Gawain
+ Log Time,+ I-log ang Oras
-- Select a project --,-- Pumili ng proyekto --
0m,0m
1 day,1 araw
1 day ago,1 araw ang nakalipas
1 dependency,1 dependency
1 entry,1 entry
1 file,1 file
1 hour ago,1 oras ang nakalipas
1 member,1 miyembro
1 milestone,1 milestone
1 month,1 buwan
1 task,1 gawain
< 1m,< 1m
"A clear, actionable title for the task",Isang malinaw na pamagat para sa gawain
A client with email {0} already exists: {1},May kliyente na nang may email na {0}: {1}
A key deliverable or checkpoint for the project,Isang mahalagang output o checkpoint ng proyekto
Accept,Tanggapin
Accepted,Tinanggap
Acknowledge,Kilalanin
across,sa lahat ng
Action,Aksyon
Actions,Mga Aksyon
Active,Aktibo
Active Assignments,Mga Aktibong Takda
Active Projects,Mga Aktibong Proyekto
Activity,Aktibidad
Activity data deleted successfully,Matagumpay na nabura ang data ng aktibidad
Activity Info,Impormasyon ng Aktibidad
Activity Stats,Mga Istatistika ng Aktibidad
Activity will appear here as you work on tasks and projects.,Makikita dito ang aktibidad habang nagtatrabaho ka sa mga gawain at proyekto.
Actual,Aktwal
Actual Cost,Aktwal na Gastos
Actual cost cannot be negative,Hindi maaaring negatibo ang aktwal na gastos
Actual end date cannot be before actual start date,Ang aktwal na petsa ng pagtatapos ay hindi maaaring mauna sa aktwal na petsa ng pagsisimula
Actual Hours,Aktwal na Oras
Add,Magdagdag
Add a checklist item...,Magdagdag ng item sa checklist...
Add a comment...,Magdagdag ng komento...
Add a comment... (Ctrl+Enter to send),Magdagdag ng komento... (Ctrl+Enter para ipadala)
Add a description...,Magdagdag ng paglalarawan...
Add a milestone description...,Magdagdag ng paglalarawan ng milestone...
Add a note below to annotate this activity.,Magdagdag ng tala sa ibaba para sa aktibidad na ito.
Add a note...,Magdagdag ng tala...
Add a project description...,Magdagdag ng paglalarawan ng proyekto...
Add a task description...,Magdagdag ng paglalarawan ng gawain...
Add checklist item...,Magdagdag ng item sa checklist...
Add Contact,Magdagdag ng Kontak
Add contacts via the Desk interface or clear filters,Magdagdag ng mga kontak sa pamamagitan ng Desk o burahin ang mga filter
Add Dependency,Magdagdag ng Dependency
