+ Add Milestone,+ Ajouter un jalon
+ Create Task,+ Créer une tâche
+ Log Time,+ Enregistrer le temps
-- Select a project --,-- Sélectionner un projet --
0m,0m
1 day,1 jour
1 day ago,il y a 1 jour
1 dependency,1 dépendance
1 entry,1 entrée
1 file,1 fichier
1 hour ago,il y a 1 heure
1 member,1 membre
1 milestone,1 jalon
1 month,1 mois
1 task,1 tâche
< 1m,< 1m
"A clear, actionable title for the task",Un titre clair et exploitable pour la tâche
A client with email {0} already exists: {1},Un client avec l'adresse e-mail {0} existe déjà : {1}
A key deliverable or checkpoint for the project,Un livrable clé ou point de contrôle du projet
Accept,Accepter
Accepted,Accepté
Acknowledge,Accuser réception
across,dans
Action,Action
Actions,Actions
Active,Actif
Active Assignments,Affectations actives
Active Projects,Projets actifs
Activity,Activité
Activity data deleted successfully,Données d'activité supprimées avec succès
Activity Info,Informations sur l'activité
Activity Stats,Statistiques d'activité
Activity will appear here as you work on tasks and projects.,L'activité apparaîtra ici au fur et à mesure que vous travaillez sur les tâches et projets.
Actual,Réel
Actual Cost,Coût réel
Actual cost cannot be negative,Le coût réel ne peut pas être négatif
Actual end date cannot be before actual start date,La date de fin réelle ne peut pas être antérieure à la date de début réelle
Actual Hours,Heures réelles
Add,Ajouter
Add a checklist item...,Ajouter un élément à la liste de contrôle...
Add a comment...,Ajouter un commentaire...
Add a comment... (Ctrl+Enter to send),Ajouter un commentaire... (Ctrl+Entrée pour envoyer)
Add a description...,Ajouter une description...
Add a milestone description...,Ajouter une description de jalon...
Add a note below to annotate this activity.,Ajoutez une note ci-dessous pour annoter cette activité.
Add a note...,Ajouter une note...
Add a project description...,Ajouter une description de projet...
Add a task description...,Ajouter une description de tâche...
Add checklist item...,Ajouter un élément à la liste de contrôle...
Add Contact,Ajouter un contact
Add contacts via the Desk interface or clear filters,Ajoutez des contacts via l'interface Desk ou effacez les filtres
Add Dependency,Ajouter une dépendance
Add details about this event...,Ajouter des détails sur cet événement...
Add details about this milestone...,Ajouter des détails sur ce jalon...
Add details about this task...,Ajouter des détails sur cette tâche...
Add details or acceptance criteria for this milestone,Ajouter des détails ou des critères d'acceptation pour ce jalon
"Add details, context, or acceptance criteria","Ajouter des détails, du contexte ou des critères d'acceptation"
Add first dependency,Ajouter la première dépendance
Add item,Ajouter un élément
Add items below to track progress.,Ajoutez des éléments ci-dessous pour suivre la progression.
Add items below to track subtasks,Ajoutez des éléments ci-dessous pour suivre les sous-tâches
Add Milestone,Ajouter un jalon
Add Milestone (Shift+M),Ajouter un jalon (Shift+M)
Add milestones to track key deliverables.,Ajoutez des jalons pour suivre les livrables clés.
Add New Contact,Ajouter un nouveau contact
Add Note,Ajouter une note
Add note,Ajouter une note
Add notes about this contact...,Ajouter des notes sur ce contact...
Add reaction,Ajouter une réaction
Add Skill,Ajouter une compétence
Add start and due dates to tasks to see them on the Gantt chart,Ajoutez des dates de début et d'échéance aux tâches pour les voir sur le diagramme de Gantt
Add Task,Ajouter une tâche
Add Task (Shift+T),Ajouter une tâche (Shift+T)
Added Finish-to-Start dependency,Dépendance Fin-à-Début ajoutée
Adding this dependency would create a circular reference: {0},L'ajout de cette dépendance créerait une référence circulaire : {0}
Adding...,Ajout en cours...
Address,Adresse
Advanced,Avancé
All,Tous
All Active,Tous les actifs
All Assignees,Tous les assignés
All Categories,Toutes les catégories
All caught up!,Tout est à jour !
All Contexts,Tous les contextes
All day,Toute la journée
All day event,Événement sur toute la journée
All fields,Tous les champs
All Priorities,Toutes les priorités
All Projects,Tous les projets
All Status,Tous les statuts
All Statuses,Tous les statuts
All task dependencies & relative dates,Toutes les dépendances de tâches et dates relatives
All Tasks,Toutes les tâches
All tasks across all projects.,Toutes les tâches de tous les projets.
All tasks are already linked,Toutes les tâches sont déjà liées
All team members,Tous les membres de l'équipe
All Types,Tous les types
All Users,Tous les utilisateurs
Allocated,Alloué
allocated,alloué
Allow users to log time against tasks,Permettre aux utilisateurs d'enregistrer du temps sur les tâches
Already exported to timesheet {0},Déjà exporté vers la feuille de temps {0}
Already Migrated,Déjà migré
Anyone with access,Toute personne ayant accès
anytime to show this help,à tout moment pour afficher cette aide
App Updates,Mises à jour
Appearance,Apparence
Apply,Appliquer
Apply cascade?,Appliquer la cascade ?
Apply Changes,Appliquer les modifications
Apply failed,Échec de l'application
Apply Template,Appliquer un modèle
Applying...,Application en cours...
Appointment,Rendez-vous
Appointment and resource are required,Le rendez-vous et la ressource sont requis
Appointment name is required,Le nom du rendez-vous est requis
Appointment not found,Rendez-vous non trouvé
Appointment {0} not found,Rendez-vous {0} non trouvé
Apps,Applications
Archive,Archiver
Archive Activity,Archiver l'activité
Archived,Archivé
Are you sure you want to delete this activity data? This cannot be undone.,Êtes-vous sûr de vouloir supprimer ces données d'activité ? Cette action est irréversible.
Are you sure you want to delete this comment?,Êtes-vous sûr de vouloir supprimer ce commentaire ?
Are you sure you want to delete this project?,Êtes-vous sûr de vouloir supprimer ce projet ?
Are you sure?,Êtes-vous sûr ?
Ascending -- click to reverse,Croissant -- cliquez pour inverser
Assign To,Assigner à
Assign to Me,M'assigner
Assigned Contact,Contact assigné
Assigned To,Assigné à
Assigned to,Assigné à
