+ Add Milestone,+ માઈલસ્ટોન ઉમેરો
+ Create Task,+ ટાસ્ક બનાવો
+ Log Time,+ સમય રેકોર્ડ કરો
-- Select a project --,-- એક પ્રોજેક્ટ પસંદ કરો --
0m,0m
1 day,૧ દિવસ
1 day ago,૧ દિવસ પહેલાં
1 dependency,૧ નિર્ભરતા
1 entry,૧ એન્ટ્રી
1 file,૧ ફાઇલ
1 hour ago,૧ કલાક પહેલાં
1 member,૧ સભ્ય
1 milestone,૧ માઈલસ્ટોન
1 month,૧ મહિનો
1 task,૧ ટાસ્ક
< 1m,< 1m
"A clear, actionable title for the task","ટાસ્ક માટે સ્પષ્ટ, ક્રિયાશીલ શીર્ષક"
A client with email {0} already exists: {1},{0} ઈમેઈલ સાથે એક ક્લાયન્ટ પહેલેથી અસ્તિત્વમાં છે: {1}
A key deliverable or checkpoint for the project,પ્રોજેક્ટ માટે એક મહત્વપૂર્ણ ડિલિવરેબલ અથવા ચેકપોઈન્ટ
Accept,સ્વીકારો
Accepted,સ્વીકૃત
Acknowledge,સ્વીકૃતિ આપો
across,સમગ્ર
Action,ક્રિયા
Actions,ક્રિયાઓ
Active,સક્રિય
Active Assignments,સક્રિય અસાઇનમેન્ટ
Active Projects,સક્રિય પ્રોજેક્ટ
Activity,પ્રવૃત્તિ
Activity data deleted successfully,પ્રવૃત્તિ ડેટા સફળતાપૂર્વક કાઢી નાખવામાં આવ્યો
Activity Info,પ્રવૃત્તિ માહિતી
Activity Stats,પ્રવૃત્તિ આંકડા
Activity will appear here as you work on tasks and projects.,"જેમ જેમ તમે ટાસ્ક અને પ્રોજેક્ટ પર કામ કરશો, પ્રવૃત્તિ અહીં દેખાશે."
Actual,વાસ્તવિક
Actual Cost,વાસ્તવિક ખર્ચ
Actual cost cannot be negative,વાસ્તવિક ખર્ચ નકારાત્મક હોઈ શકે નહીં
Actual end date cannot be before actual start date,વાસ્તવિક અંતિમ તારીખ વાસ્તવિક શરૂઆત તારીખ પહેલાં હોઈ શકે નહીં
Actual Hours,વાસ્તવિક કલાકો
Add,ઉમેરો
Add a checklist item...,ચેકલિસ્ટ આઇટમ ઉમેરો...
Add a comment...,ટિપ્પણી ઉમેરો...
Add a comment... (Ctrl+Enter to send),ટિપ્પણી ઉમેરો... (મોકલવા Ctrl+Enter)
Add a description...,વર્ણન ઉમેરો...
Add a milestone description...,માઈલસ્ટોન વર્ણન ઉમેરો...
Add a note below to annotate this activity.,આ પ્રવૃત્તિ પર ટિપ્પણી કરવા નીચે નોંધ ઉમેરો.
Add a note...,નોંધ ઉમેરો...
Add a project description...,પ્રોજેક્ટ વર્ણન ઉમેરો...
Add a task description...,ટાસ્ક વર્ણન ઉમેરો...
Add checklist item...,ચેકલિસ્ટ આઇટમ ઉમેરો...
Add Contact,સંપર્ક ઉમેરો
Add contacts via the Desk interface or clear filters,ડેસ્ક ઇન્ટરફેસ દ્વારા સંપર્કો ઉમેરો અથવા ફિલ્ટર સાફ કરો
Add Dependency,નિર્ભરતા ઉમેરો
Add details about this event...,આ ઇવેન્ટ વિશે વિગતો ઉમેરો...
Add details about this milestone...,આ માઈલસ્ટોન વિશે વિગતો ઉમેરો...
Add details about this task...,આ ટાસ્ક વિશે વિગતો ઉમેરો...
Add details or acceptance criteria for this milestone,આ માઈલસ્ટોન માટે વિગતો અથવા સ્વીકૃતિ માપદંડ ઉમેરો
"Add details, context, or acceptance criteria","વિગતો, સંદર્ભ, અથવા સ્વીકૃતિ માપદંડ ઉમેરો"
Add first dependency,પ્રથમ નિર્ભરતા ઉમેરો
Add item,આઇટમ ઉમેરો
Add items below to track progress.,પ્રગતિ ટ્રેક કરવા નીચે આઇટમ ઉમેરો.
Add items below to track subtasks,સબ-ટાસ્ક ટ્રેક કરવા નીચે આઇટમ ઉમેરો
Add Milestone,માઈલસ્ટોન ઉમેરો
Add Milestone (Shift+M),માઈલસ્ટોન ઉમેરો (Shift+M)
Add milestones to track key deliverables.,મહત્વપૂર્ણ ડિલિવરેબલ ટ્રેક કરવા માઈલસ્ટોન ઉમેરો.
Add New Contact,નવો સંપર્ક ઉમેરો
Add Note,નોંધ ઉમેરો
Add note,નોંધ ઉમેરો
Add notes about this contact...,આ સંપર્ક વિશે નોંધ ઉમેરો...
Add reaction,પ્રતિક્રિયા ઉમેરો
Add Skill,કૌશલ્ય ઉમેરો
Add start and due dates to tasks to see them on the Gantt chart,ગેન્ટ ચાર્ટ પર જોવા ટાસ્કમાં શરૂઆત અને અંતિમ તારીખ ઉમેરો
Add Task,ટાસ્ક ઉમેરો
Add Task (Shift+T),ટાસ્ક ઉમેરો (Shift+T)
Added Finish-to-Start dependency,સમાપ્તિ-થી-શરૂઆત નિર્ભરતા ઉમેરાઈ
Adding this dependency would create a circular reference: {0},આ નિર્ભરતા ઉમેરવાથી ચક્રાકાર સંદર્ભ બનશે: {0}
Adding...,ઉમેરી રહ્યા છીએ...
Address,સરનામું
Advanced,અદ્યતન
All,બધા
All Active,બધા સક્રિય
All Assignees,બધા અસાઇની
All Categories,બધી કેટેગરી
All caught up!,બધું અપડેટ છે!
All Contexts,બધા સંદર્ભ
