+ Add Milestone,+ הוסף אבן דרך
+ Create Task,+ צור משימה
+ Log Time,+ רשום זמן
-- Select a project --,-- בחר פרויקט --
0m,0ד
1 day,יום 1
1 day ago,לפני יום
1 dependency,תלות 1
1 entry,רשומה 1
1 file,קובץ 1
1 hour ago,לפני שעה
1 member,חבר 1
1 milestone,אבן דרך 1
1 month,חודש 1
1 task,משימה 1
< 1m,< 1ד
"A clear, actionable title for the task",כותרת ברורה וניתנת לביצוע עבור המשימה
A client with email {0} already exists: {1},"לקוח עם דוא""ל {0} כבר קיים: {1}"
A key deliverable or checkpoint for the project,תוצר מפתח או נקודת ביקורת עבור הפרויקט
Accept,קבל
Accepted,התקבל
Acknowledge,אשר קבלה
across,לאורך
Action,פעולה
Actions,פעולות
Active,פעיל
Active Assignments,הקצאות פעילות
Active Projects,פרויקטים פעילים
Activity,פעילות
Activity data deleted successfully,נתוני הפעילות נמחקו בהצלחה
Activity Info,מידע על פעילות
Activity Stats,סטטיסטיקות פעילות
Activity will appear here as you work on tasks and projects.,פעילות תופיע כאן בזמן שתעבוד על משימות ופרויקטים.
Actual,בפועל
Actual Cost,עלות בפועל
Actual cost cannot be negative,העלות בפועל לא יכולה להיות שלילית
Actual end date cannot be before actual start date,תאריך סיום בפועל לא יכול להיות לפני תאריך התחלה בפועל
Actual Hours,שעות בפועל
Add,הוסף
Add a checklist item...,הוסף פריט לרשימת סימון...
Add a comment...,הוסף תגובה...
Add a comment... (Ctrl+Enter to send),הוסף תגובה... (Ctrl+Enter לשליחה)
Add a description...,הוסף תיאור...
Add a milestone description...,הוסף תיאור לאבן דרך...
Add a note below to annotate this activity.,הוסף הערה למטה כדי לתעד פעילות זו.
Add a note...,הוסף הערה...
Add a project description...,הוסף תיאור פרויקט...
Add a task description...,הוסף תיאור משימה...
Add checklist item...,הוסף פריט לרשימת סימון...
Add Contact,הוסף איש קשר
Add contacts via the Desk interface or clear filters,הוסף אנשי קשר דרך ממשק הדסק או נקה מסננים
Add Dependency,הוסף תלות
Add details about this event...,הוסף פרטים על אירוע זה...
Add details about this milestone...,הוסף פרטים על אבן דרך זו...
Add details about this task...,הוסף פרטים על משימה זו...
Add details or acceptance criteria for this milestone,הוסף פרטים או קריטריונים לקבלה עבור אבן דרך זו
"Add details, context, or acceptance criteria","הוסף פרטים, הקשר או קריטריונים לקבלה"
Add first dependency,הוסף תלות ראשונה
Add item,הוסף פריט
Add items below to track progress.,הוסף פריטים למטה כדי לעקוב אחר ההתקדמות.
Add items below to track subtasks,הוסף פריטים למטה כדי לעקוב אחר משימות משנה
Add Milestone,הוסף אבן דרך
Add Milestone (Shift+M),הוסף אבן דרך (Shift+M)
Add milestones to track key deliverables.,הוסף אבני דרך כדי לעקוב אחר תוצרים מפתח.
Add New Contact,הוסף איש קשר חדש
Add Note,הוסף הערה
Add note,הוסף הערה
Add notes about this contact...,הוסף הערות על איש קשר זה...
Add reaction,הוסף תגובה רגשית
Add Skill,הוסף מיומנות
Add start and due dates to tasks to see them on the Gantt chart,הוסף תאריכי התחלה וסיום למשימות כדי לראות אותן בתרשים גנט
Add Task,הוסף משימה
Add Task (Shift+T),הוסף משימה (Shift+T)
Added Finish-to-Start dependency,נוספה תלות סיום-להתחלה
Adding this dependency would create a circular reference: {0},הוספת תלות זו תיצור הפניה מעגלית: {0}
Adding...,מוסיף...
Address,כתובת
Advanced,מתקדם
All,הכל
All Active,כל הפעילים
All Assignees,כל המוקצים
All Categories,כל הקטגוריות
All caught up!,הכל מעודכן!
All Contexts,כל ההקשרים
All day,כל היום
All day event,אירוע יום שלם
All fields,כל השדות
All Priorities,כל העדיפויות
All Projects,כל הפרויקטים
All Status,כל הסטטוסים
All Statuses,כל הסטטוסים
All task dependencies & relative dates,כל תלויות המשימות ותאריכים יחסיים
All Tasks,כל המשימות
All tasks across all projects.,כל המשימות בכל הפרויקטים.
All tasks are already linked,כל המשימות כבר מקושרות
All team members,כל חברי הצוות
All Types,כל הסוגים
All Users,כל המשתמשים
Allocated,הוקצה
allocated,מוקצה
Allow users to log time against tasks,אפשר למשתמשים לרשום זמן כנגד משימות
Already exported to timesheet {0},כבר יוצא לגיליון זמנים {0}
Already Migrated,כבר הועבר
Anyone with access,כל מי שיש לו גישה
anytime to show this help,בכל עת כדי להציג עזרה זו
App Updates,App Updates
Appearance,מראה
Apply,החל
Apply cascade?,להחיל מפל?
Apply Changes,החל שינויים
Apply failed,ההחלה נכשלה
Apply Template,החל תבנית
Applying...,מחיל...
Appointment,פגישה
Appointment and resource are required,פגישה ומשאב נדרשים
Appointment name is required,שם הפגישה נדרש
Appointment not found,הפגישה לא נמצאה
Appointment {0} not found,פגישה {0} לא נמצאה
Apps,אפליקציות
Archive,ארכיון
Archive Activity,העבר פעילות לארכיון
Archived,בארכיון
