+ Add Milestone,+ माइलस्टोन जोड़ें
+ Create Task,+ कार्य बनाएँ
+ Log Time,+ समय दर्ज करें
-- Select a project --,-- एक परियोजना चुनें --
0m,0मि
1 day,1 दिन
1 day ago,1 दिन पहले
1 dependency,1 निर्भरता
1 entry,1 प्रविष्टि
1 file,1 फ़ाइल
1 hour ago,1 घंटा पहले
1 member,1 सदस्य
1 milestone,1 माइलस्टोन
1 month,1 महीना
1 task,1 कार्य
< 1m,< 1मि
"A clear, actionable title for the task","कार्य के लिए एक स्पष्ट, कार्यवाही योग्य शीर्षक"
A client with email {0} already exists: {1},ईमेल {0} वाला एक ग्राहक पहले से मौजूद है: {1}
A key deliverable or checkpoint for the project,परियोजना के लिए एक प्रमुख डिलीवरेबल या चेकपॉइंट
Accept,स्वीकार करें
Accepted,स्वीकृत
Acknowledge,पावती दें
across,में
Action,कार्रवाई
Actions,कार्रवाइयाँ
Active,सक्रिय
Active Assignments,सक्रिय असाइनमेंट
Active Projects,सक्रिय परियोजनाएँ
Activity,गतिविधि
Activity data deleted successfully,गतिविधि डेटा सफलतापूर्वक हटाया गया
Activity Info,गतिविधि जानकारी
Activity Stats,गतिविधि आँकड़े
Activity will appear here as you work on tasks and projects.,"जैसे-जैसे आप कार्यों और परियोजनाओं पर काम करेंगे, गतिविधि यहाँ दिखाई देगी।"
Actual,वास्तविक
Actual Cost,वास्तविक लागत
Actual cost cannot be negative,वास्तविक लागत ऋणात्मक नहीं हो सकती
Actual end date cannot be before actual start date,वास्तविक समाप्ति तिथि वास्तविक आरंभ तिथि से पहले नहीं हो सकती
Actual Hours,वास्तविक घंटे
Add,जोड़ें
Add a checklist item...,चेकलिस्ट आइटम जोड़ें...
Add a comment...,टिप्पणी जोड़ें...
Add a comment... (Ctrl+Enter to send),टिप्पणी जोड़ें... (भेजने के लिए Ctrl+Enter)
Add a description...,विवरण जोड़ें...
Add a milestone description...,माइलस्टोन विवरण जोड़ें...
Add a note below to annotate this activity.,इस गतिविधि पर टिप्पणी करने के लिए नीचे एक नोट जोड़ें।
Add a note...,एक नोट जोड़ें...
Add a project description...,परियोजना विवरण जोड़ें...
Add a task description...,कार्य विवरण जोड़ें...
Add checklist item...,चेकलिस्ट आइटम जोड़ें...
Add Contact,संपर्क जोड़ें
Add contacts via the Desk interface or clear filters,Desk इंटरफ़ेस से संपर्क जोड़ें या फ़िल्टर साफ़ करें
Add Dependency,निर्भरता जोड़ें
Add details about this event...,इस कार्यक्रम के बारे में विवरण जोड़ें...
Add details about this milestone...,इस माइलस्टोन के बारे में विवरण जोड़ें...
Add details about this task...,इस कार्य के बारे में विवरण जोड़ें...
Add details or acceptance criteria for this milestone,इस माइलस्टोन के लिए विवरण या स्वीकृति मानदंड जोड़ें
"Add details, context, or acceptance criteria","विवरण, संदर्भ, या स्वीकृति मानदंड जोड़ें"
Add first dependency,पहली निर्भरता जोड़ें
Add item,आइटम जोड़ें
Add items below to track progress.,प्रगति ट्रैक करने के लिए नीचे आइटम जोड़ें।
Add items below to track subtasks,उप-कार्य ट्रैक करने के लिए नीचे आइटम जोड़ें
Add Milestone,माइलस्टोन जोड़ें
Add Milestone (Shift+M),माइलस्टोन जोड़ें (Shift+M)
Add milestones to track key deliverables.,प्रमुख डिलीवरेबल ट्रैक करने के लिए माइलस्टोन जोड़ें।
Add New Contact,नया संपर्क जोड़ें
Add Note,टिप्पणी जोड़ें
Add note,नोट जोड़ें
Add notes about this contact...,इस संपर्क के बारे में नोट जोड़ें...
Add reaction,प्रतिक्रिया जोड़ें
Add Skill,कौशल जोड़ें
Add start and due dates to tasks to see them on the Gantt chart,कार्यों को Gantt चार्ट पर देखने के लिए आरंभ और नियत तिथियाँ जोड़ें
Add Task,कार्य जोड़ें
Add Task (Shift+T),कार्य जोड़ें (Shift+T)
Added Finish-to-Start dependency,समाप्ति-से-आरंभ निर्भरता जोड़ी गई
Adding this dependency would create a circular reference: {0},इस निर्भरता को जोड़ने से एक चक्रीय संदर्भ बनेगा: {0}
Adding...,जोड़ा जा रहा है...
Address,पता
Advanced,उन्नत
All,सभी
All Active,सभी सक्रिय
All Assignees,सभी असाइनी
All Categories,सभी श्रेणियाँ
All caught up!,सब अपडेट है!
All Contexts,सभी संदर्भ
All day,पूरा दिन
All day event,पूरे दिन का कार्यक्रम
All fields,सभी फ़ील्ड
All Priorities,सभी प्राथमिकताएँ
All Projects,सभी परियोजनाएँ
All Status,सभी स्थिति
All Statuses,सभी स्थितियाँ
All task dependencies & relative dates,सभी कार्य निर्भरताएँ और सापेक्ष तिथियाँ
All Tasks,सभी कार्य
All tasks across all projects.,सभी परियोजनाओं के सभी कार्य।
All tasks are already linked,सभी कार्य पहले से जुड़े हुए हैं
All team members,सभी टीम सदस्य
All Types,सभी प्रकार
All Users,सभी उपयोगकर्ता
Allocated,आवंटित
allocated,आवंटित
Allow users to log time against tasks,उपयोगकर्ताओं को कार्यों पर समय दर्ज करने की अनुमति दें
Already exported to timesheet {0},पहले से टाइमशीट {0} में निर्यात किया गया
Already Migrated,पहले से माइग्रेट किया गया
Anyone with access,पहुँच वाला कोई भी व्यक्ति
anytime to show this help,इस सहायता को दिखाने के लिए कभी भी
App Updates,App Updates
Appearance,दिखावट
Apply,लागू करें
Apply cascade?,कैस्केड लागू करें?
Apply Changes,बदलाव लागू करें
Apply failed,लागू करना विफल
Apply Template,टेम्पलेट लागू करें
Applying...,लागू किया जा रहा है...
Appointment,अपॉइंटमेंट
Appointment and resource are required,अपॉइंटमेंट और संसाधन आवश्यक हैं
Appointment name is required,अपॉइंटमेंट का नाम आवश्यक है
Appointment not found,अपॉइंटमेंट नहीं मिला
Appointment {0} not found,अपॉइंटमेंट {0} नहीं मिला
Apps,ऐप्स
Archive,संग्रहित करें
Archive Activity,गतिविधि संग्रहित करें
Archived,संग्रहित
Are you sure you want to delete this activity data? This cannot be undone.,क्या आप वाकई इस गतिविधि डेटा को हटाना चाहते हैं? यह पूर्ववत नहीं किया जा सकता।
Are you sure you want to delete this comment?,क्या आप वाकई इस टिप्पणी को हटाना चाहते हैं?
Are you sure you want to delete this project?,क्या आप वाकई इस परियोजना को हटाना चाहते हैं?
Are you sure?,क्या आप सुनिश्चित हैं?
Ascending -- click to reverse,बढ़ते क्रम में -- उलटने के लिए क्लिक करें
Assign To,को असाइन करें
Assign to Me,मुझे असाइन करें
Assigned Contact,असाइन किया गया संपर्क
Assigned To,को असाइन किया गया
Assigned to,को असाइन किया गया
Assigned to Me,मुझे असाइन किया गया
Assignee,असाइनी
Assignment,असाइनमेंट
Assignment History,असाइनमेंट इतिहास
Assignment name is required,असाइनमेंट का नाम आवश्यक है
Assignment {0} not found,असाइनमेंट {0} नहीं मिला
Assignments,असाइनमेंट
At least one action is required,कम से कम एक कार्रवाई आवश्यक है
At least one event is required,कम से कम एक कार्यक्रम आवश्यक है
At least one event must be selected,कम से कम एक कार्यक्रम चुना जाना चाहिए
Attachment,अनुलग्नक
Attachments,अनुलग्नक
Attendees,सहभागी
"Audit trail, assignments, version history","ऑडिट ट्रेल, असाइनमेंट, संस्करण इतिहास"
Auto,स्वचालित
Auto Calculate Progress,प्रगति स्वचालित रूप से गणना करें
Auto Set Missed Milestones,छूटे माइलस्टोन स्वचालित रूप से चिह्नित करें
Auto-shift dependents when dates change,तिथियाँ बदलने पर निर्भर कार्यों को स्वचालित रूप से शिफ़्ट करें
Auto-Trail Start,स्वचालित ट्रेल आरंभ
Auto-Trail updated,स्वचालित ट्रेल अपडेट किया गया
Automatically calculate project progress from task completion,कार्य पूर्णता से परियोजना प्रगति स्वचालित रूप से गणना करें
Automatically mark milestones as missed when overdue,समय बीतने पर माइलस्टोन को स्वचालित रूप से छूटा हुआ चिह्नित करें
Automation rule {0} not found,स्वचालन नियम {0} नहीं मिला
Automation: {0},स्वचालन: {0}
Availability,उपलब्धता
Available,उपलब्ध
Avatar updated successfully,अवतार सफलतापूर्वक अपडेट किया गया
Avg Progress,औसत प्रगति
Back,वापस
Back to Portal,पोर्टल पर वापस
Back to Projects,परियोजनाओं पर वापस
Beginner,शुरुआती
Best regards,सादर
Billable,बिल योग्य
Billable Amount,बिल योग्य राशि
Billable Hours,बिल योग्य घंटे
Billable Rate,बिल योग्य दर
Billing Rate,बिलिंग दर
Blocked,अवरुद्ध
Both dates are needed to display task as a bar in Gantt chart,Gantt चार्ट में कार्य को बार के रूप में दिखाने के लिए दोनों तिथियाँ आवश्यक हैं
Both doctype and docname are required,doctype और docname दोनों आवश्यक हैं
Both proposed start and end times are required,प्रस्तावित आरंभ और समाप्ति समय दोनों आवश्यक हैं
Both task_name and depends_on are required,task_name और depends_on दोनों आवश्यक हैं
Breadcrumb,ब्रेडक्रम्ब
Brief description of the defect or damage,दोष या क्षति का संक्षिप्त विवरण
Brief description of this template,इस टेम्पलेट का संक्षिप्त विवरण
Brief description of your request,आपके अनुरोध का संक्षिप्त विवरण
Brief project description,संक्षिप्त परियोजना विवरण
Budget,बजट
Budget at risk,बजट जोखिम में
Budget Burn Rate,बजट खर्च दर
Budget Status,बजट स्थिति
Budget updated,बजट अपडेट किया गया
Budget:,बजट:
Bug,बग
Burn Rate,खर्च दर
Busy,व्यस्त
By,द्वारा
By Assignee,असाइनी के अनुसार
By Group,समूह के अनुसार
By Milestone,माइलस्टोन के अनुसार
By Priority,प्राथमिकता के अनुसार
By Status,स्थिति के अनुसार
Cancel,रद्द करें
Cancelled,रद्द किया गया
cannot be undone,पूर्ववत नहीं किया जा सकता
Cannot delete client with {0} linked projects. Unlink projects first.,{0} जुड़ी परियोजनाओं वाले ग्राहक को हटाया नहीं जा सकता। पहले परियोजनाएँ अनलिंक करें।
Cannot delete project with {0} linked tasks. Delete tasks first.,{0} जुड़े कार्यों वाली परियोजना को हटाया नहीं जा सकता। पहले कार्य हटाएँ।
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0} सक्रिय असाइनमेंट वाले संसाधन को हटाया नहीं जा सकता। पहले उन्हें पूरा या रद्द करें।
Cannot delete task with {0} subtasks. Delete subtasks first.,{0} उप-कार्यों वाले कार्य को हटाया नहीं जा सकता। पहले उप-कार्य हटाएँ।
Capacity,क्षमता
capacity,क्षमता
Capacity & Rates,क्षमता और दरें
Capture project structure for reuse,पुन: उपयोग के लिए परियोजना संरचना कैप्चर करें
Cascade,कैस्केड
Cascade Preview,कैस्केड पूर्वावलोकन
Category,श्रेणी
Celebrate,उत्सव मनाएँ
Change,बदलें
Change History,बदलाव इतिहास
Change Priority,प्राथमिकता बदलें
Change Status,स्थिति बदलें
Changes,बदलाव
Changes appear when fields are modified.,फ़ील्ड संशोधित होने पर बदलाव दिखाई देते हैं।
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,चेकलिस्ट
Checklist item name is required,चेकलिस्ट आइटम का नाम आवश्यक है
Checklist item not found,चेकलिस्ट आइटम नहीं मिला
Checklist item title is required,चेकलिस्ट आइटम का शीर्षक आवश्यक है
Checklist item {0} not found,चेकलिस्ट आइटम {0} नहीं मिला
Checklist item {0} not found in task,कार्य में चेकलिस्ट आइटम {0} नहीं मिला
Child,चाइल्ड
Choose file to upload,अपलोड करने के लिए फ़ाइल चुनें
Circular dependency detected: {0},चक्रीय निर्भरता पाई गई: {0}
Circular parent-child relationship detected,चक्रीय पैरेंट-चाइल्ड संबंध पाया गया
Clear,साफ़ करें
Clear all read,सभी पढ़ी हुई साफ़ करें
Clear date,तिथि साफ़ करें
Click on an activity from the list to view and manage its details.,विवरण देखने और प्रबंधित करने के लिए सूची से किसी गतिविधि पर क्लिक करें।
Click the avatar to upload a new photo,नई फ़ोटो अपलोड करने के लिए अवतार पर क्लिक करें
Click to add description...,विवरण जोड़ने के लिए क्लिक करें...
Click to add notes...,नोट जोड़ने के लिए क्लिक करें...
Click to assign contact,संपर्क असाइन करने के लिए क्लिक करें
Click to change status,स्थिति बदलने के लिए क्लिक करें
Click to change type,प्रकार बदलने के लिए क्लिक करें
Click to edit,संपादित करने के लिए क्लिक करें
Click to edit budget,बजट संपादित करने के लिए क्लिक करें
Click to edit description,विवरण संपादित करने के लिए क्लिक करें
Click to edit end date,समाप्ति तिथि संपादित करने के लिए क्लिक करें
Click to edit milestone name,माइलस्टोन का नाम संपादित करने के लिए क्लिक करें
Click to edit rate,दर संपादित करने के लिए क्लिक करें
Click to edit start date,आरंभ तिथि संपादित करने के लिए क्लिक करें
Click to edit title,शीर्षक संपादित करने के लिए क्लिक करें
Click to load,लोड करने के लिए क्लिक करें
Click to set group dependency...,समूह निर्भरता सेट करने के लिए क्लिक करें...
Click to set group...,समूह सेट करने के लिए क्लिक करें...
Click to view,देखने के लिए क्लिक करें
Click to view at-risk projects,जोखिम वाली परियोजनाएँ देखने के लिए क्लिक करें
Click to view critical projects,गंभीर परियोजनाएँ देखने के लिए क्लिक करें
Click to view healthy projects,स्वस्थ परियोजनाएँ देखने के लिए क्लिक करें
Client,ग्राहक
Client already has a portal user: {0},ग्राहक के पास पहले से एक पोर्टल उपयोगकर्ता है: {0}
