+ Add Milestone,+ Dodaj prekretnicu
+ Create Task,+ Stvori zadatak
+ Log Time,+ Zapiši vrijeme
-- Select a project --,-- Odaberite projekt --
0m,0m
1 day,1 dan
1 day ago,prije 1 dan
1 dependency,1 ovisnost
1 entry,1 unos
1 file,1 datoteka
1 hour ago,prije 1 sat
1 member,1 član
1 milestone,1 prekretnica
1 month,1 mjesec
1 task,1 zadatak
< 1m,< 1m
"A clear, actionable title for the task",Jasan i razumljiv naslov zadatka
A client with email {0} already exists: {1},Klijent s e-mailom {0} već postoji: {1}
A key deliverable or checkpoint for the project,Ključni rezultat ili kontrolna točka projekta
Accept,Prihvati
Accepted,Prihvaćeno
Acknowledge,Potvrdi
across,u svim
Action,Radnja
Actions,Radnje
Active,Aktivno
Active Assignments,Aktivne dodjele
Active Projects,Aktivni projekti
Activity,Aktivnost
Activity data deleted successfully,Podaci o aktivnosti uspješno izbrisani
Activity Info,Podaci o aktivnosti
Activity Stats,Statistika aktivnosti
Activity will appear here as you work on tasks and projects.,Aktivnost će se pojaviti ovdje dok radite na zadacima i projektima.
Actual,Stvarno
Actual Cost,Stvarni trošak
Actual cost cannot be negative,Stvarni trošak ne može biti negativan
Actual end date cannot be before actual start date,Stvarni datum završetka ne može biti prije stvarnog datuma početka
Actual Hours,Stvarni sati
Add,Dodaj
Add a checklist item...,Dodaj stavku popisa...
Add a comment...,Dodaj komentar...
Add a comment... (Ctrl+Enter to send),Dodaj komentar... (Ctrl+Enter za slanje)
Add a description...,Dodaj opis...
Add a milestone description...,Dodaj opis prekretnice...
Add a note below to annotate this activity.,Dodajte bilješku ispod za ovu aktivnost.
Add a note...,Dodaj bilješku...
Add a project description...,Dodaj opis projekta...
Add a task description...,Dodaj opis zadatka...
Add checklist item...,Dodaj stavku popisa...
Add Contact,Dodaj kontakt
Add contacts via the Desk interface or clear filters,Dodajte kontakte putem Desk sučelja ili očistite filtre
Add Dependency,Dodaj ovisnost
Add details about this event...,Dodajte pojedinosti o ovom događaju...
Add details about this milestone...,Dodajte pojedinosti o ovoj prekretnici...
Add details about this task...,Dodajte pojedinosti o ovom zadatku...
Add details or acceptance criteria for this milestone,Dodajte pojedinosti ili kriterije prihvaćanja za ovu prekretnicu
"Add details, context, or acceptance criteria","Dodajte pojedinosti, kontekst ili kriterije prihvaćanja"
Add first dependency,Dodaj prvu ovisnost
Add item,Dodaj stavku
Add items below to track progress.,Dodajte stavke ispod za praćenje napretka.
Add items below to track subtasks,Dodajte stavke ispod za praćenje podzadataka
Add Milestone,Dodaj prekretnicu
Add Milestone (Shift+M),Dodaj prekretnicu (Shift+M)
Add milestones to track key deliverables.,Dodajte prekretnice za praćenje ključnih rezultata.
Add New Contact,Dodaj novi kontakt
Add Note,Dodaj bilješku
Add note,Dodaj bilješku
Add notes about this contact...,Dodajte bilješke o ovom kontaktu...
Add reaction,Dodaj reakciju
Add Skill,Dodaj vještinu
Add start and due dates to tasks to see them on the Gantt chart,Dodajte početne i krajnje datume zadacima za prikaz na Gantt dijagramu
Add Task,Dodaj zadatak
Add Task (Shift+T),Dodaj zadatak (Shift+T)
Added Finish-to-Start dependency,Dodana ovisnost Završetak-Početak
Adding this dependency would create a circular reference: {0},Dodavanje ove ovisnosti stvorilo bi kružnu referencu: {0}
Adding...,Dodavanje...
Address,Adresa
Advanced,Napredno
All,Sve
All Active,Svi aktivni
All Assignees,Svi dodijeljeni
All Categories,Sve kategorije
