+ Add Milestone,+ Mérföldkő hozzáadása
+ Create Task,+ Feladat létrehozása
+ Log Time,+ Idő rögzítése
-- Select a project --,-- Válasszon projektet --
0m,0p
1 day,1 nap
1 day ago,1 napja
1 dependency,1 függőség
1 entry,1 bejegyzés
1 file,1 fájl
1 hour ago,1 órája
1 member,1 tag
1 milestone,1 mérföldkő
1 month,1 hónap
1 task,1 feladat
< 1m,< 1p
"A clear, actionable title for the task","Egyértelmű, végrehajtható feladatcím"
A client with email {0} already exists: {1},Már létezik ügyfél a(z) {0} e-mail címmel: {1}
A key deliverable or checkpoint for the project,A projekt egyik fontos eredménye vagy ellenőrzési pontja
Accept,Elfogadás
Accepted,Elfogadva
Acknowledge,Tudomásul vétel
across,között
Action,Művelet
Actions,Műveletek
Active,Aktív
Active Assignments,Aktív hozzárendelések
Active Projects,Aktív projektek
Activity,Tevékenység
Activity data deleted successfully,Tevékenységadatok sikeresen törölve
Activity Info,Tevékenység információ
Activity Stats,Tevékenység statisztikák
Activity will appear here as you work on tasks and projects.,"A tevékenység itt jelenik meg, ahogy a feladatokon és projekteken dolgozik."
Actual,Tényleges
Actual Cost,Tényleges költség
Actual cost cannot be negative,A tényleges költség nem lehet negatív
Actual end date cannot be before actual start date,A tényleges befejezés nem lehet korábbi a tényleges kezdésnél
Actual Hours,Tényleges órák
Add,Hozzáadás
Add a checklist item...,Ellenőrzőlista-elem hozzáadása...
Add a comment...,Hozzászólás hozzáadása...
Add a comment... (Ctrl+Enter to send),Hozzászólás hozzáadása... (Ctrl+Enter a küldéshez)
Add a description...,Leírás hozzáadása...
Add a milestone description...,Mérföldkő leírásának hozzáadása...
Add a note below to annotate this activity.,Adjon hozzá egy jegyzetet alább a tevékenység megjegyzéséhez.
Add a note...,Jegyzet hozzáadása...
Add a project description...,Projektleírás hozzáadása...
Add a task description...,Feladatleírás hozzáadása...
Add checklist item...,Ellenőrzőlista-elem hozzáadása...
Add Contact,Kapcsolattartó hozzáadása
Add contacts via the Desk interface or clear filters,Adjon hozzá kapcsolattartókat a Desk felületen vagy törölje a szűrőket
Add Dependency,Függőség hozzáadása
Add details about this event...,Részletek hozzáadása az eseményhez...
Add details about this milestone...,Részletek hozzáadása a mérföldkőhöz...
Add details about this task...,Részletek hozzáadása a feladathoz...
Add details or acceptance criteria for this milestone,Részletek vagy elfogadási feltételek hozzáadása a mérföldkőhöz
"Add details, context, or acceptance criteria","Részletek, háttérinformáció vagy elfogadási feltételek hozzáadása"
Add first dependency,Első függőség hozzáadása
Add item,Elem hozzáadása
Add items below to track progress.,Adjon hozzá elemeket alább a haladás nyomon követéséhez.
Add items below to track subtasks,Adjon hozzá elemeket alább a részfeladatok nyomon követéséhez
Add Milestone,Mérföldkő hozzáadása
Add Milestone (Shift+M),Mérföldkő hozzáadása (Shift+M)
Add milestones to track key deliverables.,Adjon hozzá mérföldköveket a fontos eredmények nyomon követéséhez.
Add New Contact,Új kapcsolattartó hozzáadása
Add Note,Jegyzet hozzáadása
Add note,Jegyzet hozzáadása
Add notes about this contact...,Megjegyzések hozzáadása a kapcsolattartóhoz...
Add reaction,Reakció hozzáadása
Add Skill,Képesség hozzáadása
Add start and due dates to tasks to see them on the Gantt chart,Adjon kezdő és határidőket a feladatokhoz a Gantt diagramon való megjelenítéshez
Add Task,Feladat hozzáadása
Add Task (Shift+T),Feladat hozzáadása (Shift+T)
Added Finish-to-Start dependency,Befejezéstől-kezdésig függőség hozzáadva
Adding this dependency would create a circular reference: {0},Ennek a függőségnek a hozzáadása körkörös hivatkozást hozna létre: {0}
Adding...,Hozzáadás...
Address,Cím
Advanced,Haladó
All,Mind
All Active,Minden aktív
All Assignees,Minden hozzárendelt
All Categories,Minden kategória
All caught up!,Minden naprakész!
All Contexts,Minden kontextus
All day,Egész napos
All day event,Egész napos esemény
All fields,Minden mező
All Priorities,Minden prioritás
All Projects,Minden projekt
All Status,Minden állapot
All Statuses,Minden állapot
All task dependencies & relative dates,Minden feladat-függőség és relatív dátum
All Tasks,Minden feladat
All tasks across all projects.,Minden feladat az összes projektből.
All tasks are already linked,Minden feladat már össze van kapcsolva
All team members,Minden csapattag
All Types,Minden típus
All Users,Minden felhasználó
Allocated,Kiosztva
allocated,kiosztva
Allow users to log time against tasks,Időrögzítés engedélyezése a feladatokhoz
Already exported to timesheet {0},Már exportálva a(z) {0} munkaidő-nyilvántartásba
Already Migrated,Már áttelepítve
Anyone with access,Bárki hozzáféréssel
anytime to show this help,bármikor a súgó megjelenítéséhez
App Updates,App Updates
Appearance,Megjelenés
Apply,Alkalmaz
Apply cascade?,Alkalmazza a továbbgyűrűzést?
Apply Changes,Módosítások alkalmazása
Apply failed,Az alkalmazás sikertelen
Apply Template,Sablon alkalmazása
Applying...,Alkalmazás...
Appointment,Időpont
Appointment and resource are required,Az időpont és az erőforrás megadása kötelező
Appointment name is required,Az időpont neve kötelező
Appointment not found,Időpont nem található
Appointment {0} not found,A(z) {0} időpont nem található
Apps,Alkalmazások
Archive,Archiválás
Archive Activity,Tevékenység archiválása
Archived,Archivált
Are you sure you want to delete this activity data? This cannot be undone.,Biztosan törölni szeretné ezeket a tevékenységadatokat? Ez a művelet nem vonható vissza.
Are you sure you want to delete this comment?,Biztosan törölni szeretné ezt a hozzászólást?
Are you sure you want to delete this project?,Biztosan törölni szeretné ezt a projektet?
Are you sure?,Biztos benne?
Ascending -- click to reverse,Növekvő -- kattintson a megfordításhoz
Assign To,Hozzárendelés
Assign to Me,Hozzárendelés magamhoz
Assigned Contact,Hozzárendelt kapcsolattartó
Assigned To,Hozzárendelve
Assigned to,Hozzárendelve
Assigned to Me,Nekem hozzárendelve
Assignee,Hozzárendelt
Assignment,Hozzárendelés
