+ Add Milestone,+ Tambah Milestone
+ Create Task,+ Buat Tugas
+ Log Time,+ Catat Waktu
-- Select a project --,-- Pilih proyek --
0m,0m
1 day,1 hari
1 day ago,1 hari yang lalu
1 dependency,1 dependensi
1 entry,1 entri
1 file,1 berkas
1 hour ago,1 jam yang lalu
1 member,1 anggota
1 milestone,1 milestone
1 month,1 bulan
1 task,1 tugas
< 1m,< 1m
"A clear, actionable title for the task",Judul yang jelas dan dapat ditindaklanjuti untuk tugas
A client with email {0} already exists: {1},Klien dengan email {0} sudah ada: {1}
A key deliverable or checkpoint for the project,Hasil utama atau titik pemeriksaan untuk proyek
Accept,Terima
Accepted,Diterima
Acknowledge,Konfirmasi
across,di seluruh
Action,Tindakan
Actions,Tindakan
Active,Aktif
Active Assignments,Penugasan Aktif
Active Projects,Proyek Aktif
Activity,Aktivitas
Activity data deleted successfully,Data aktivitas berhasil dihapus
Activity Info,Info Aktivitas
Activity Stats,Statistik Aktivitas
Activity will appear here as you work on tasks and projects.,Aktivitas akan muncul di sini saat Anda mengerjakan tugas dan proyek.
Actual,Aktual
Actual Cost,Biaya Aktual
Actual cost cannot be negative,Biaya aktual tidak boleh negatif
Actual end date cannot be before actual start date,Tanggal selesai aktual tidak boleh sebelum tanggal mulai aktual
Actual Hours,Jam Aktual
Add,Tambahkan
Add a checklist item...,Tambahkan item daftar periksa...
Add a comment...,Tambahkan komentar...
Add a comment... (Ctrl+Enter to send),Tambahkan komentar... (Ctrl+Enter untuk mengirim)
Add a description...,Tambahkan deskripsi...
Add a milestone description...,Tambahkan deskripsi milestone...
Add a note below to annotate this activity.,Tambahkan catatan di bawah untuk menganotasi aktivitas ini.
Add a note...,Tambahkan catatan...
Add a project description...,Tambahkan deskripsi proyek...
Add a task description...,Tambahkan deskripsi tugas...
Add checklist item...,Tambahkan item daftar periksa...
Add Contact,Tambah Kontak
Add contacts via the Desk interface or clear filters,Tambahkan kontak melalui antarmuka Desk atau hapus filter
Add Dependency,Tambah Dependensi
Add details about this event...,Tambahkan detail tentang acara ini...
Add details about this milestone...,Tambahkan detail tentang milestone ini...
Add details about this task...,Tambahkan detail tentang tugas ini...
Add details or acceptance criteria for this milestone,Tambahkan detail atau kriteria penerimaan untuk milestone ini
"Add details, context, or acceptance criteria","Tambahkan detail, konteks, atau kriteria penerimaan"
Add first dependency,Tambahkan dependensi pertama
Add item,Tambahkan item
Add items below to track progress.,Tambahkan item di bawah untuk melacak progres.
Add items below to track subtasks,Tambahkan item di bawah untuk melacak subtugas
Add Milestone,Tambah Milestone
Add Milestone (Shift+M),Tambah Milestone (Shift+M)
Add milestones to track key deliverables.,Tambahkan milestone untuk melacak hasil utama.
Add New Contact,Tambah Kontak Baru
Add Note,Tambah Catatan
Add note,Tambah catatan
Add notes about this contact...,Tambahkan catatan tentang kontak ini...
Add reaction,Tambahkan reaksi
Add Skill,Tambah Keahlian
Add start and due dates to tasks to see them on the Gantt chart,Tambahkan tanggal mulai dan tenggat pada tugas untuk melihatnya di diagram Gantt
Add Task,Tambah Tugas
Add Task (Shift+T),Tambah Tugas (Shift+T)
Added Finish-to-Start dependency,Dependensi Selesai-ke-Mulai ditambahkan
Adding this dependency would create a circular reference: {0},Menambahkan dependensi ini akan membuat referensi melingkar: {0}
Adding...,Menambahkan...
Address,Alamat
Advanced,Lanjutan
All,Semua
All Active,Semua Aktif
All Assignees,Semua Penerima Tugas
All Categories,Semua Kategori
All caught up!,Semua sudah terbaca!
All Contexts,Semua Konteks
All day,Sepanjang hari
All day event,Acara sepanjang hari
All fields,Semua bidang
All Priorities,Semua Prioritas
All Projects,Semua Proyek
All Status,Semua Status
All Statuses,Semua Status
All task dependencies & relative dates,Semua dependensi tugas & tanggal relatif
All Tasks,Semua Tugas
All tasks across all projects.,Semua tugas di seluruh proyek.
All tasks are already linked,Semua tugas sudah ditautkan
All team members,Semua anggota tim
All Types,Semua Tipe
All Users,Semua Pengguna
Allocated,Dialokasikan
allocated,dialokasikan
Allow users to log time against tasks,Izinkan pengguna mencatat waktu pada tugas
Already exported to timesheet {0},Sudah diekspor ke lembar waktu {0}
Already Migrated,Sudah Dimigrasi
Anyone with access,Siapa saja yang memiliki akses
anytime to show this help,kapan saja untuk menampilkan bantuan ini
App Updates,App Updates
Appearance,Tampilan
Apply,Terapkan
Apply cascade?,Terapkan kaskade?
Apply Changes,Terapkan Perubahan
Apply failed,Gagal menerapkan
Apply Template,Terapkan Templat
Applying...,Menerapkan...
Appointment,Janji Temu
Appointment and resource are required,Janji temu dan sumber daya diperlukan
Appointment name is required,Nama janji temu diperlukan
Appointment not found,Janji temu tidak ditemukan
Appointment {0} not found,Janji temu {0} tidak ditemukan
Apps,Aplikasi
Archive,Arsipkan
Archive Activity,Arsipkan Aktivitas
Archived,Diarsipkan
Are you sure you want to delete this activity data? This cannot be undone.,Apakah Anda yakin ingin menghapus data aktivitas ini? Tindakan ini tidak dapat dibatalkan.
Are you sure you want to delete this comment?,Apakah Anda yakin ingin menghapus komentar ini?
Are you sure you want to delete this project?,Apakah Anda yakin ingin menghapus proyek ini?
Are you sure?,Apakah Anda yakin?
Ascending -- click to reverse,Naik -- klik untuk membalik
Assign To,Tugaskan Kepada
Assign to Me,Tugaskan ke Saya
Assigned Contact,Kontak yang Ditugaskan
Assigned To,Ditugaskan Kepada
Assigned to,Ditugaskan kepada
Assigned to Me,Ditugaskan ke Saya
Assignee,Penerima Tugas
Assignment,Penugasan
Assignment History,Riwayat Penugasan
Assignment name is required,Nama penugasan diperlukan
Assignment {0} not found,Penugasan {0} tidak ditemukan
Assignments,Penugasan
At least one action is required,Diperlukan setidaknya satu tindakan
At least one event is required,Diperlukan setidaknya satu acara
At least one event must be selected,Setidaknya satu acara harus dipilih
Attachment,Lampiran
Attachments,Lampiran
Attendees,Peserta
"Audit trail, assignments, version history","Jejak audit, penugasan, riwayat versi"
Auto,Otomatis
Auto Calculate Progress,Hitung Progres Otomatis
Auto Set Missed Milestones,Otomatis Tandai Milestone Terlewat
Auto-shift dependents when dates change,Otomatis geser tugas dependen saat tanggal berubah
Auto-Trail Start,Mulai Jejak Otomatis
Auto-Trail updated,Jejak Otomatis diperbarui
Automatically calculate project progress from task completion,Otomatis hitung progres proyek dari penyelesaian tugas
Automatically mark milestones as missed when overdue,Otomatis tandai milestone sebagai terlewat saat melewati tenggat
Automation rule {0} not found,Aturan otomasi {0} tidak ditemukan
Automation: {0},Otomasi: {0}
Availability,Ketersediaan
Available,Tersedia
Avatar updated successfully,Avatar berhasil diperbarui
Avg Progress,Progres Rata-rata
Back,Kembali
Back to Portal,Kembali ke Portal
Back to Projects,Kembali ke Proyek
Beginner,Pemula
Best regards,Salam hormat
Billable,Dapat Ditagih
Billable Amount,Jumlah Tagihan
Billable Hours,Jam Tagihan
Billable Rate,Tarif Tagihan
Billing Rate,Tarif Penagihan
Blocked,Diblokir
Both dates are needed to display task as a bar in Gantt chart,Kedua tanggal diperlukan untuk menampilkan tugas sebagai batang di diagram Gantt
Both doctype and docname are required,Doctype dan docname keduanya diperlukan
Both proposed start and end times are required,Waktu mulai dan selesai yang diusulkan keduanya diperlukan
Both task_name and depends_on are required,task_name dan depends_on keduanya diperlukan
Breadcrumb,Breadcrumb
Brief description of the defect or damage,Deskripsi singkat tentang cacat atau kerusakan
Brief description of this template,Deskripsi singkat tentang templat ini
Brief description of your request,Deskripsi singkat tentang permintaan Anda
Brief project description,Deskripsi singkat proyek
Budget,Anggaran
Budget at risk,Anggaran berisiko
Budget Burn Rate,Tingkat Penggunaan Anggaran
Budget Status,Status Anggaran
Budget updated,Anggaran diperbarui
Budget:,Anggaran:
Bug,Bug
Burn Rate,Tingkat Penggunaan
Busy,Sibuk
By,Oleh
By Assignee,Berdasarkan Penerima Tugas
By Group,Berdasarkan Grup
By Milestone,Berdasarkan Milestone
By Priority,Berdasarkan Prioritas
By Status,Berdasarkan Status
Cancel,Batal
Cancelled,Dibatalkan
cannot be undone,tidak dapat dibatalkan
Cannot delete client with {0} linked projects. Unlink projects first.,Tidak dapat menghapus klien dengan {0} proyek tertaut. Lepaskan tautan proyek terlebih dahulu.
Cannot delete project with {0} linked tasks. Delete tasks first.,Tidak dapat menghapus proyek dengan {0} tugas tertaut. Hapus tugas terlebih dahulu.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Tidak dapat menghapus sumber daya dengan {0} penugasan aktif. Selesaikan atau batalkan terlebih dahulu.
Cannot delete task with {0} subtasks. Delete subtasks first.,Tidak dapat menghapus tugas dengan {0} subtugas. Hapus subtugas terlebih dahulu.
Capacity,Kapasitas
capacity,kapasitas
Capacity & Rates,Kapasitas & Tarif
Capture project structure for reuse,Tangkap struktur proyek untuk digunakan kembali
Cascade,Kaskade
Cascade Preview,Pratinjau Kaskade
Category,Kategori
Celebrate,Rayakan
Change,Ubah
Change History,Riwayat Perubahan
Change Priority,Ubah Prioritas
Change Status,Ubah Status
Changes,Perubahan
Changes appear when fields are modified.,Perubahan muncul saat bidang dimodifikasi.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Daftar Periksa
Checklist item name is required,Nama item daftar periksa diperlukan
Checklist item not found,Item daftar periksa tidak ditemukan
Checklist item title is required,Judul item daftar periksa diperlukan
Checklist item {0} not found,Item daftar periksa {0} tidak ditemukan
Checklist item {0} not found in task,Item daftar periksa {0} tidak ditemukan dalam tugas
Child,Anak
Choose file to upload,Pilih berkas untuk diunggah
Circular dependency detected: {0},Dependensi melingkar terdeteksi: {0}
