+ Add Milestone,+ Bæta við áfanga
+ Create Task,+ Búa til verk
+ Log Time,+ Skrá tíma
-- Select a project --,-- Veldu verkefni --
0m,0m
1 day,1 dagur
1 day ago,fyrir 1 degi
1 dependency,1 tengsl
1 entry,1 færsla
1 file,1 skrá
1 hour ago,fyrir 1 klukkustund
1 member,1 meðlimur
1 milestone,1 áfangi
1 month,1 mánuður
1 task,1 verk
< 1m,< 1m
"A clear, actionable title for the task","Skýr, aðgerðahæfur titill fyrir verkefnið"
A client with email {0} already exists: {1},Viðskiptavinur með netfangið {0} er þegar til: {1}
A key deliverable or checkpoint for the project,Lykilafhending eða eftirlitspunktur í verkefninu
Accept,Samþykkja
Accepted,Samþykkt
Acknowledge,Staðfesta móttöku
across,í
Action,Aðgerð
Actions,Aðgerðir
Active,Virkt
Active Assignments,Virkar úthlutanir
Active Projects,Virk verkefni
Activity,Virkni
Activity data deleted successfully,Virkniupplýsingum eytt
Activity Info,Upplýsingar um virkni
Activity Stats,Tölfræði um virkni
Activity will appear here as you work on tasks and projects.,Virkni birtist hér eftir því sem þú vinnur að verkum og verkefnum.
Actual,Raunverulegt
Actual Cost,Raunkostnaður
Actual cost cannot be negative,Raunkostnaður getur ekki verið neikvæður
Actual end date cannot be before actual start date,Raunveruleg lokadagsetning getur ekki verið á undan raunverulegri upphafsdagsetningu
Actual Hours,Raunstundir
Add,Bæta við
Add a checklist item...,Bæta við atriði á gátlista...
Add a comment...,Bæta við athugasemd...
Add a comment... (Ctrl+Enter to send),Bæta við athugasemd... (Ctrl+Enter til að senda)
Add a description...,Bæta við lýsingu...
Add a milestone description...,Bæta við lýsingu á áfanga...
Add a note below to annotate this activity.,Bættu athugasemd hér að neðan til að skýra þessa virkni.
Add a note...,Bæta við athugasemd...
Add a project description...,Bæta við verkefnislýsingu...
Add a task description...,Bæta við verklýsingu...
Add checklist item...,Bæta við gátlistaatriði...
Add Contact,Bæta við tengilið
Add contacts via the Desk interface or clear filters,Bættu við tengiliðum í gegnum Desk viðmótið eða hreinsaðu síur
Add Dependency,Bæta við tengslum
Add details about this event...,Bæta við upplýsingum um þennan viðburð...
Add details about this milestone...,Bæta við upplýsingum um þennan áfanga...
Add details about this task...,Bæta við upplýsingum um þetta verk...
Add details or acceptance criteria for this milestone,Bæta við upplýsingum eða samþykkisskilyrðum fyrir þennan áfanga
"Add details, context, or acceptance criteria","Bæta við upplýsingum, samhengi eða samþykkisskilyrðum"
Add first dependency,Bæta við fyrstu tengslum
Add item,Bæta við atriði
Add items below to track progress.,Bættu við atriðum hér að neðan til að fylgjast með framvindu.
Add items below to track subtasks,Bættu við atriðum hér að neðan til að fylgjast með undirverkum
Add Milestone,Bæta við áfanga
Add Milestone (Shift+M),Bæta við áfanga (Shift+M)
Add milestones to track key deliverables.,Bættu við áföngum til að fylgjast með lykilafhendigum.
Add New Contact,Bæta við nýjum tengilið
Add Note,Bæta við athugasemd
Add note,Bæta við athugasemd
Add notes about this contact...,Bæta við athugasemdum um þennan tengilið...
Add reaction,Bæta við viðbrögðum
Add Skill,Bæta við færni
Add start and due dates to tasks to see them on the Gantt chart,Bættu upphafs- og skiladögum við verk til að sjá þau á Gantt-línuritinu
Add Task,Bæta við verki
Add Task (Shift+T),Bæta við verki (Shift+T)
Added Finish-to-Start dependency,Tengsl frá lokum til upphafs bætt við
Adding this dependency would create a circular reference: {0},Að bæta þessum tengslum við myndi skapa hringtilvísun: {0}
Adding...,Bæti við...
Address,Heimilisfang
Advanced,Ítarlegt
All,Allt
All Active,Öll virk
All Assignees,Allir úthlutaðir
All Categories,Allir flokkar
All caught up!,Allt uppfært!
All Contexts,Öll samhengi
All day,Allan daginn
All day event,Viðburður allan daginn
All fields,Allir reitir
All Priorities,Allar forgangsröðanir
All Projects,Öll verkefni
All Status,Öll staða
All Statuses,Allar stöður
All task dependencies & relative dates,Öll verktengsl og hlutfallslegar dagsetningar
All Tasks,Öll verk
All tasks across all projects.,Öll verk í öllum verkefnum.
All tasks are already linked,Öll verk eru þegar tengd
All team members,Allir liðsmenn
All Types,Allar tegundir
All Users,Allir notendur
Allocated,Úthlutað
allocated,úthlutað
Allow users to log time against tasks,Leyfa notendum að skrá tíma á verk
Already exported to timesheet {0},Þegar flutt út í tímaskýrslu {0}
Already Migrated,Þegar flutt
Anyone with access,Allir sem hafa aðgang
anytime to show this help,hvenær sem er til að sýna þessa hjálp
App Updates,App Updates
Appearance,Útlit
Apply,Nota
Apply cascade?,Nota keðjubreytingu?
Apply Changes,Nota breytingar
Apply failed,Notkun mistókst
Apply Template,Nota sniðmát
Applying...,Nota...
