+ Add Milestone,+ Aggiungi traguardo
+ Create Task,+ Crea attività
+ Log Time,+ Registra tempo
-- Select a project --,-- Selezionare un progetto --
0m,0m
1 day,1 giorno
1 day ago,1 giorno fa
1 dependency,1 dipendenza
1 entry,1 voce
1 file,1 file
1 hour ago,1 ora fa
1 member,1 membro
1 milestone,1 traguardo
1 month,1 mese
1 task,1 attività
< 1m,< 1m
"A clear, actionable title for the task",Un titolo chiaro e pratico per l'attività
A client with email {0} already exists: {1},Un cliente con l'indirizzo e-mail {0} esiste già: {1}
A key deliverable or checkpoint for the project,Un risultato chiave o punto di verifica del progetto
Accept,Accettare
Accepted,Accettato
Acknowledge,Confermare ricezione
across,in
Action,Azione
Actions,Azioni
Active,Attivo
Active Assignments,Assegnazioni attive
Active Projects,Progetti attivi
Activity,Attività recente
Activity data deleted successfully,Dati dell'attività eliminati con successo
Activity Info,Informazioni sull'attività
Activity Stats,Statistiche attività
Activity will appear here as you work on tasks and projects.,L'attività apparirà qui man mano che lavorate su attività e progetti.
Actual,Effettivo
Actual Cost,Costo effettivo
Actual cost cannot be negative,Il costo effettivo non può essere negativo
Actual end date cannot be before actual start date,La data di fine effettiva non può essere precedente alla data di inizio effettiva
Actual Hours,Ore effettive
Add,Aggiungere
Add a checklist item...,Aggiungere un elemento alla lista di controllo...
Add a comment...,Aggiungere un commento...
Add a comment... (Ctrl+Enter to send),Aggiungere un commento... (Ctrl+Invio per inviare)
Add a description...,Aggiungere una descrizione...
Add a milestone description...,Aggiungere una descrizione del traguardo...
Add a note below to annotate this activity.,Aggiungete una nota qui sotto per annotare questa attività.
Add a note...,Aggiungere una nota...
Add a project description...,Aggiungere una descrizione del progetto...
Add a task description...,Aggiungere una descrizione dell'attività...
Add checklist item...,Aggiungere un elemento alla lista di controllo...
Add Contact,Aggiungere un contatto
Add contacts via the Desk interface or clear filters,Aggiungete contatti tramite l'interfaccia Desk oppure cancellate i filtri
Add Dependency,Aggiungere una dipendenza
Add details about this event...,Aggiungere dettagli su questo evento...
Add details about this milestone...,Aggiungere dettagli su questo traguardo...
Add details about this task...,Aggiungere dettagli su questa attività...
Add details or acceptance criteria for this milestone,Aggiungere dettagli o criteri di accettazione per questo traguardo
"Add details, context, or acceptance criteria","Aggiungere dettagli, contesto o criteri di accettazione"
Add first dependency,Aggiungere la prima dipendenza
Add item,Aggiungere un elemento
Add items below to track progress.,Aggiungete elementi qui sotto per monitorare l'avanzamento.
Add items below to track subtasks,Aggiungete elementi qui sotto per monitorare le sotto-attività
Add Milestone,Aggiungere un traguardo
Add Milestone (Shift+M),Aggiungere un traguardo (Shift+M)
Add milestones to track key deliverables.,Aggiungete traguardi per monitorare i risultati chiave.
Add New Contact,Aggiungere un nuovo contatto
Add Note,Aggiungere una nota
Add note,Aggiungere una nota
Add notes about this contact...,Aggiungere note su questo contatto...
Add reaction,Aggiungere una reazione
Add Skill,Aggiungere una competenza
Add start and due dates to tasks to see them on the Gantt chart,Aggiungete date di inizio e scadenza alle attività per visualizzarle nel diagramma di Gantt
Add Task,Aggiungere un'attività
Add Task (Shift+T),Aggiungere un'attività (Shift+T)
Added Finish-to-Start dependency,Dipendenza Fine-a-Inizio aggiunta
Adding this dependency would create a circular reference: {0},L'aggiunta di questa dipendenza creerebbe un riferimento circolare: {0}
Adding...,Aggiunta in corso...
Address,Indirizzo
Advanced,Avanzato
All,Tutti
All Active,Tutti gli attivi
All Assignees,Tutti gli assegnatari
All Categories,Tutte le categorie
All caught up!,Tutto aggiornato!
All Contexts,Tutti i contesti
All day,Tutto il giorno
All day event,Evento per l'intera giornata
All fields,Tutti i campi
All Priorities,Tutte le priorità
All Projects,Tutti i progetti
All Status,Tutti gli stati
All Statuses,Tutti gli stati
All task dependencies & relative dates,Tutte le dipendenze delle attività e date relative
All Tasks,Tutte le attività
All tasks across all projects.,Tutte le attività di tutti i progetti.
All tasks are already linked,Tutte le attività sono già collegate
All team members,Tutti i membri del gruppo
All Types,Tutti i tipi
All Users,Tutti gli utenti
Allocated,Allocato
allocated,allocato
Allow users to log time against tasks,Consentire agli utenti di registrare il tempo sulle attività
Already exported to timesheet {0},Già esportato nel foglio ore {0}
Already Migrated,Già migrato
Anyone with access,Chiunque abbia accesso
anytime to show this help,in qualsiasi momento per mostrare questa guida
App Updates,App Updates
Appearance,Aspetto
Apply,Applicare
Apply cascade?,Applicare la cascata?
Apply Changes,Applicare le modifiche
Apply failed,Applicazione non riuscita
Apply Template,Applicare un modello
Applying...,Applicazione in corso...
Appointment,Appuntamento
Appointment and resource are required,L'appuntamento e la risorsa sono obbligatori
Appointment name is required,Il nome dell'appuntamento è obbligatorio
Appointment not found,Appuntamento non trovato
Appointment {0} not found,Appuntamento {0} non trovato
Apps,Applicazioni
Archive,Archiviare
Archive Activity,Archiviare l'attività
Archived,Archiviato
Are you sure you want to delete this activity data? This cannot be undone.,Siete sicuri di voler eliminare questi dati dell'attività? Questa azione è irreversibile.
Are you sure you want to delete this comment?,Siete sicuri di voler eliminare questo commento?
Are you sure you want to delete this project?,Siete sicuri di voler eliminare questo progetto?
Are you sure?,Siete sicuri?
Ascending -- click to reverse,Crescente -- fare clic per invertire
Assign To,Assegnare a
Assign to Me,Assegnare a me
Assigned Contact,Contatto assegnato
Assigned To,Assegnato a
Assigned to,Assegnato a
Assigned to Me,Assegnato a me
Assignee,Assegnatario
Assignment,Assegnazione
Assignment History,Cronologia delle assegnazioni
Assignment name is required,Il nome dell'assegnazione è obbligatorio
Assignment {0} not found,Assegnazione {0} non trovata
Assignments,Assegnazioni
At least one action is required,È richiesta almeno un'azione
At least one event is required,È richiesto almeno un evento
At least one event must be selected,È necessario selezionare almeno un evento
Attachment,Allegato
Attachments,Allegati
Attendees,Partecipanti
"Audit trail, assignments, version history","Traccia di verifica, assegnazioni, cronologia versioni"
Auto,Automatico
Auto Calculate Progress,Calcola automaticamente l'avanzamento
Auto Set Missed Milestones,Segna automaticamente i traguardi mancati
Auto-shift dependents when dates change,Spostare automaticamente le attività dipendenti al cambio delle date
Auto-Trail Start,Inizio automatico per slittamento
Auto-Trail updated,Inizio automatico per slittamento aggiornato
