+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
+ Create Task,+ ಕಾರ್ಯ ರಚಿಸಿ
+ Log Time,+ ಸಮಯ ದಾಖಲಿಸಿ
-- Select a project --,-- ಒಂದು ಯೋಜನೆ ಆಯ್ಕೆಮಾಡಿ --
0m,0ನಿ
1 day,1 ದಿನ
1 day ago,1 ದಿನದ ಹಿಂದೆ
1 dependency,1 ಅವಲಂಬನೆ
1 entry,1 ನಮೂದು
1 file,1 ಕಡತ
1 hour ago,1 ಗಂಟೆಯ ಹಿಂದೆ
1 member,1 ಸದಸ್ಯ
1 milestone,1 ಮೈಲಿಗಲ್ಲು
1 month,1 ತಿಂಗಳು
1 task,1 ಕಾರ್ಯ
< 1m,< 1ನಿ
"A clear, actionable title for the task","ಕಾರ್ಯಕ್ಕೆ ಸ್ಪಷ್ಟವಾದ, ಕ್ರಿಯಾಶೀಲ ಶೀರ್ಷಿಕೆ"
A client with email {0} already exists: {1},{0} ಇಮೇಲ್ ಹೊಂದಿರುವ ಗ್ರಾಹಕ ಈಗಾಗಲೇ ಇದ್ದಾರೆ: {1}
A key deliverable or checkpoint for the project,ಯೋಜನೆಗೆ ಒಂದು ಪ್ರಮುಖ ಫಲಿತಾಂಶ ಅಥವಾ ತಪಾಸಣೆ ಹಂತ
Accept,ಒಪ್ಪಿಕೊಳ್ಳಿ
Accepted,ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ
Acknowledge,ಸ್ವೀಕೃತಿ ನೀಡಿ
across,ಉದ್ದಕ್ಕೂ
Action,ಕ್ರಿಯೆ
Actions,ಕ್ರಿಯೆಗಳು
Active,ಸಕ್ರಿಯ
Active Assignments,ಸಕ್ರಿಯ ನಿಯೋಜನೆಗಳು
Active Projects,ಸಕ್ರಿಯ ಯೋಜನೆಗಳು
Activity,ಚಟುವಟಿಕೆ
Activity data deleted successfully,ಚಟುವಟಿಕೆ ಡೇಟಾ ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ
Activity Info,ಚಟುವಟಿಕೆ ಮಾಹಿತಿ
Activity Stats,ಚಟುವಟಿಕೆ ಅಂಕಿಅಂಶಗಳು
Activity will appear here as you work on tasks and projects.,ನೀವು ಕಾರ್ಯಗಳು ಮತ್ತು ಯೋಜನೆಗಳಲ್ಲಿ ಕೆಲಸ ಮಾಡಿದಂತೆ ಚಟುವಟಿಕೆ ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತದೆ.
Actual,ವಾಸ್ತವ
Actual Cost,ವಾಸ್ತವ ವೆಚ್ಚ
Actual cost cannot be negative,ವಾಸ್ತವ ವೆಚ್ಚ ಋಣಾತ್ಮಕವಾಗಿರಲು ಸಾಧ್ಯವಿಲ್ಲ
Actual end date cannot be before actual start date,ವಾಸ್ತವ ಮುಕ್ತಾಯ ದಿನಾಂಕ ವಾಸ್ತವ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕಿಂತ ಮೊದಲು ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ
Actual Hours,ವಾಸ್ತವ ಗಂಟೆಗಳು
Add,ಸೇರಿಸಿ
Add a checklist item...,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶ ಸೇರಿಸಿ...
Add a comment...,ಕಾಮೆಂಟ್ ಸೇರಿಸಿ...
Add a comment... (Ctrl+Enter to send),ಕಾಮೆಂಟ್ ಸೇರಿಸಿ... (ಕಳುಹಿಸಲು Ctrl+Enter)
Add a description...,ವಿವರಣೆ ಸೇರಿಸಿ...
Add a milestone description...,ಮೈಲಿಗಲ್ಲಿನ ವಿವರಣೆ ಸೇರಿಸಿ...
Add a note below to annotate this activity.,ಈ ಚಟುವಟಿಕೆಗೆ ಟಿಪ್ಪಣಿ ಸೇರಿಸಲು ಕೆಳಗೆ ಬರೆಯಿರಿ.
Add a note...,ಟಿಪ್ಪಣಿ ಸೇರಿಸಿ...
Add a project description...,ಯೋಜನೆಯ ವಿವರಣೆ ಸೇರಿಸಿ...
Add a task description...,ಕಾರ್ಯದ ವಿವರಣೆ ಸೇರಿಸಿ...
Add checklist item...,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶ ಸೇರಿಸಿ...
Add Contact,ಸಂಪರ್ಕ ಸೇರಿಸಿ
Add contacts via the Desk interface or clear filters,Desk ಮೂಲಕ ಸಂಪರ್ಕಗಳನ್ನು ಸೇರಿಸಿ ಅಥವಾ ಫಿಲ್ಟರ್‌ಗಳನ್ನು ತೆರವುಗೊಳಿಸಿ
Add Dependency,ಅವಲಂಬನೆ ಸೇರಿಸಿ
Add details about this event...,ಈ ಕಾರ್ಯಕ್ರಮದ ವಿವರಗಳನ್ನು ಸೇರಿಸಿ...
Add details about this milestone...,ಈ ಮೈಲಿಗಲ್ಲಿನ ವಿವರಗಳನ್ನು ಸೇರಿಸಿ...
Add details about this task...,ಈ ಕಾರ್ಯದ ವಿವರಗಳನ್ನು ಸೇರಿಸಿ...
Add details or acceptance criteria for this milestone,ಈ ಮೈಲಿಗಲ್ಲಿಗೆ ವಿವರಗಳು ಅಥವಾ ಸ್ವೀಕೃತಿ ಮಾನದಂಡಗಳನ್ನು ಸೇರಿಸಿ
"Add details, context, or acceptance criteria","ವಿವರಗಳು, ಸಂದರ್ಭ, ಅಥವಾ ಸ್ವೀಕೃತಿ ಮಾನದಂಡಗಳನ್ನು ಸೇರಿಸಿ"
Add first dependency,ಮೊದಲ ಅವಲಂಬನೆ ಸೇರಿಸಿ
Add item,ಅಂಶ ಸೇರಿಸಿ
Add items below to track progress.,ಪ್ರಗತಿ ಟ್ರ್ಯಾಕ್ ಮಾಡಲು ಕೆಳಗೆ ಅಂಶಗಳನ್ನು ಸೇರಿಸಿ.
Add items below to track subtasks,ಉಪಕಾರ್ಯಗಳನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಲು ಕೆಳಗೆ ಅಂಶಗಳನ್ನು ಸೇರಿಸಿ
Add Milestone,ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
Add Milestone (Shift+M),ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ (Shift+M)
Add milestones to track key deliverables.,ಪ್ರಮುಖ ಫಲಿತಾಂಶಗಳನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಲು ಮೈಲಿಗಲ್ಲುಗಳನ್ನು ಸೇರಿಸಿ.
Add New Contact,ಹೊಸ ಸಂಪರ್ಕ ಸೇರಿಸಿ
Add Note,ಟಿಪ್ಪಣಿ ಸೇರಿಸಿ
Add note,ಟಿಪ್ಪಣಿ ಸೇರಿಸಿ
Add notes about this contact...,ಈ ಸಂಪರ್ಕದ ಬಗ್ಗೆ ಟಿಪ್ಪಣಿಗಳನ್ನು ಸೇರಿಸಿ...
Add reaction,ಪ್ರತಿಕ್ರಿಯೆ ಸೇರಿಸಿ
Add Skill,ಕೌಶಲ ಸೇರಿಸಿ
Add start and due dates to tasks to see them on the Gantt chart,Gantt ಚಾರ್ಟ್‌ನಲ್ಲಿ ನೋಡಲು ಕಾರ್ಯಗಳಿಗೆ ಪ್ರಾರಂಭ ಮತ್ತು ಅಂತಿಮ ದಿನಾಂಕಗಳನ್ನು ಸೇರಿಸಿ
Add Task,ಕಾರ್ಯ ಸೇರಿಸಿ
Add Task (Shift+T),ಕಾರ್ಯ ಸೇರಿಸಿ (Shift+T)
Added Finish-to-Start dependency,ಮುಕ್ತಾಯ-ಪ್ರಾರಂಭ ಅವಲಂಬನೆ ಸೇರಿಸಲಾಗಿದೆ
Adding this dependency would create a circular reference: {0},ಈ ಅವಲಂಬನೆ ಸೇರಿಸಿದರೆ ವೃತ್ತಾಕಾರ ಉಲ್ಲೇಖ ರಚನೆಯಾಗುತ್ತದೆ: {0}
Adding...,ಸೇರಿಸಲಾಗುತ್ತಿದೆ...
Address,ವಿಳಾಸ
Advanced,ಸುಧಾರಿತ
All,ಎಲ್ಲಾ
All Active,ಎಲ್ಲಾ ಸಕ್ರಿಯ
All Assignees,ಎಲ್ಲಾ ನಿಯೋಜಿತರು
All Categories,ಎಲ್ಲಾ ವರ್ಗಗಳು
All caught up!,ಎಲ್ಲವೂ ನವೀಕೃತವಾಗಿದೆ!
All Contexts,ಎಲ್ಲಾ ಸಂದರ್ಭಗಳು
All day,ಇಡೀ ದಿನ
All day event,ಇಡೀ ದಿನದ ಕಾರ್ಯಕ್ರಮ
All fields,ಎಲ್ಲಾ ಕ್ಷೇತ್ರಗಳು
All Priorities,ಎಲ್ಲಾ ಆದ್ಯತೆಗಳು
All Projects,ಎಲ್ಲಾ ಯೋಜನೆಗಳು
All Status,ಎಲ್ಲಾ ಸ್ಥಿತಿಗಳು
All Statuses,ಎಲ್ಲಾ ಸ್ಥಿತಿಗಳು
All task dependencies & relative dates,ಎಲ್ಲಾ ಕಾರ್ಯ ಅವಲಂಬನೆಗಳು ಮತ್ತು ಸಂಬಂಧಿತ ದಿನಾಂಕಗಳು
All Tasks,ಎಲ್ಲಾ ಕಾರ್ಯಗಳು
All tasks across all projects.,ಎಲ್ಲಾ ಯೋಜನೆಗಳಲ್ಲಿನ ಎಲ್ಲಾ ಕಾರ್ಯಗಳು.
All tasks are already linked,ಎಲ್ಲಾ ಕಾರ್ಯಗಳು ಈಗಾಗಲೇ ಲಿಂಕ್ ಆಗಿವೆ
All team members,ಎಲ್ಲಾ ತಂಡ ಸದಸ್ಯರು
All Types,ಎಲ್ಲಾ ಪ್ರಕಾರಗಳು
All Users,ಎಲ್ಲಾ ಬಳಕೆದಾರರು
Allocated,ಹಂಚಲಾಗಿದೆ
allocated,ಹಂಚಿಕೆ
Allow users to log time against tasks,ಬಳಕೆದಾರರಿಗೆ ಕಾರ್ಯಗಳಿಗೆ ಸಮಯ ದಾಖಲಿಸಲು ಅನುಮತಿಸಿ
Already exported to timesheet {0},ಈಗಾಗಲೇ ಸಮಯಪಟ್ಟಿ {0} ಗೆ ರಫ್ತು ಮಾಡಲಾಗಿದೆ
Already Migrated,ಈಗಾಗಲೇ ವರ್ಗಾಯಿಸಲಾಗಿದೆ
Anyone with access,ಪ್ರವೇಶ ಹೊಂದಿರುವ ಯಾರಾದರೂ
anytime to show this help,ಈ ಸಹಾಯ ತೋರಿಸಲು ಯಾವಾಗ ಬೇಕಾದರೂ
App Updates,App Updates
Appearance,ನೋಟ
Apply,ಅನ್ವಯಿಸಿ
Apply cascade?,ಕ್ಯಾಸ್ಕೇಡ್ ಅನ್ವಯಿಸುವುದೇ?
Apply Changes,ಬದಲಾವಣೆಗಳನ್ನು ಅನ್ವಯಿಸಿ
Apply failed,ಅನ್ವಯಿಸುವಿಕೆ ವಿಫಲವಾಗಿದೆ
Apply Template,ಟೆಂಪ್ಲೇಟ್ ಅನ್ವಯಿಸಿ
Applying...,ಅನ್ವಯಿಸಲಾಗುತ್ತಿದೆ...
Appointment,ಭೇಟಿ
Appointment and resource are required,ಭೇಟಿ ಮತ್ತು ಸಂಪನ್ಮೂಲ ಅಗತ್ಯ
Appointment name is required,ಭೇಟಿಯ ಹೆಸರು ಅಗತ್ಯ
Appointment not found,ಭೇಟಿ ಕಂಡುಬಂದಿಲ್ಲ
Appointment {0} not found,ಭೇಟಿ {0} ಕಂಡುಬಂದಿಲ್ಲ
Apps,ಅಪ್ಲಿಕೇಶನ್‌ಗಳು
Archive,ಆರ್ಕೈವ್ ಮಾಡಿ
Archive Activity,ಚಟುವಟಿಕೆ ಆರ್ಕೈವ್ ಮಾಡಿ
Archived,ಆರ್ಕೈವ್ ಮಾಡಲಾಗಿದೆ
Are you sure you want to delete this activity data? This cannot be undone.,ಈ ಚಟುವಟಿಕೆ ಡೇಟಾವನ್ನು ಅಳಿಸಲು ಖಚಿತವಾಗಿದ್ದೀರಾ? ಇದನ್ನು ರದ್ದುಗೊಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
Are you sure you want to delete this comment?,ಈ ಕಾಮೆಂಟ್ ಅಳಿಸಲು ಖಚಿತವಾಗಿದ್ದೀರಾ?
Are you sure you want to delete this project?,ಈ ಯೋಜನೆ ಅಳಿಸಲು ಖಚಿತವಾಗಿದ್ದೀರಾ?
Are you sure?,ಖಚಿತವಾಗಿದ್ದೀರಾ?
Ascending -- click to reverse,ಆರೋಹಣ -- ತಿರುಗಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Assign To,ನಿಯೋಜಿಸಿ
Assign to Me,ನನಗೆ ನಿಯೋಜಿಸಿ
Assigned Contact,ನಿಯೋಜಿತ ಸಂಪರ್ಕ
Assigned To,ನಿಯೋಜಿಸಲಾಗಿದೆ
Assigned to,ನಿಯೋಜಿಸಲಾಗಿದೆ
Assigned to Me,ನನಗೆ ನಿಯೋಜಿಸಲಾಗಿದೆ
Assignee,ನಿಯೋಜಿತರು
Assignment,ನಿಯೋಜನೆ
Assignment History,ನಿಯೋಜನೆ ಇತಿಹಾಸ
Assignment name is required,ನಿಯೋಜನೆಯ ಹೆಸರು ಅಗತ್ಯ
Assignment {0} not found,ನಿಯೋಜನೆ {0} ಕಂಡುಬಂದಿಲ್ಲ
Assignments,ನಿಯೋಜನೆಗಳು
At least one action is required,ಕನಿಷ್ಠ ಒಂದು ಕ್ರಿಯೆ ಅಗತ್ಯ
At least one event is required,ಕನಿಷ್ಠ ಒಂದು ಕಾರ್ಯಕ್ರಮ ಅಗತ್ಯ
At least one event must be selected,ಕನಿಷ್ಠ ಒಂದು ಕಾರ್ಯಕ್ರಮ ಆಯ್ಕೆ ಮಾಡಬೇಕು
Attachment,ಲಗತ್ತು
Attachments,ಲಗತ್ತುಗಳು
Attendees,ಹಾಜರಾತಿದಾರರು
"Audit trail, assignments, version history","ಲೆಕ್ಕಪರಿಶೋಧನಾ ಜಾಡು, ನಿಯೋಜನೆಗಳು, ಆವೃತ್ತಿ ಇತಿಹಾಸ"
Auto,ಸ್ವಯಂ
Auto Calculate Progress,ಪ್ರಗತಿ ಸ್ವಯಂ ಲೆಕ್ಕಾಚಾರ
