+ Add Milestone,+ Qonaxa Girîng Zêde Bike
+ Create Task,+ Peywir Biafirîne
+ Log Time,+ Dem Tomar Bike
-- Select a project --,-- Projeyekê hilbijêre --
0m,0d
1 day,1 roj
1 day ago,1 roj berê
1 dependency,1 pêwendî
1 entry,1 tomar
1 file,1 dosye
1 hour ago,1 saet berê
1 member,1 endam
1 milestone,1 qonaxa girîng
1 month,1 meh
1 task,1 peywir
< 1m,< 1d
"A clear, actionable title for the task",Sernivîsek zelal û pêkanîn ji bo peywirê
A client with email {0} already exists: {1},Xerîdarek bi e-nameyê {0} jixwe heye: {1}
A key deliverable or checkpoint for the project,Encamek sereke an xala kontrolê ya projeyê
Accept,Qebûl Bike
Accepted,Hatiye qebûlkirin
Acknowledge,Pejirandin
across,li seranserê
Action,Çalakî
Actions,Çalakî
Active,Çalak
Active Assignments,Peywirkirinên Çalak
Active Projects,Projeyên Çalak
Activity,Çalakî
Activity data deleted successfully,Daneyên çalakiyê bi serkeftî hatin jêbirin
Activity Info,Agahiyên Çalakiyê
Activity Stats,Amarên Çalakiyê
Activity will appear here as you work on tasks and projects.,Çalakî dê li vir xuya bibe gava hûn li ser peywir û projeyan dixebitin.
Actual,Rastî
Actual Cost,Lêçûna Rastî
Actual cost cannot be negative,Lêçûna rastî nikare neyînî be
Actual end date cannot be before actual start date,Dîroka dawiya rastî nikare berî dîroka destpêka rastî be
Actual Hours,Saetên Rastî
Add,Zêde Bike
Add a checklist item...,Babeteke lîsteyê zêde bike...
Add a comment...,Şîroveyekê zêde bike...
Add a comment... (Ctrl+Enter to send),Şîroveyekê zêde bike... (Ctrl+Enter ji bo şandinê)
Add a description...,Danasînekê zêde bike...
Add a milestone description...,Danasîna qonaxa girîng zêde bike...
Add a note below to annotate this activity.,Li jêr notekê zêde bike ji bo şîrovekirina vê çalakiyê.
Add a note...,Notekê zêde bike...
Add a project description...,Danasîna projeyê zêde bike...
Add a task description...,Danasîna peywirê zêde bike...
Add checklist item...,Babeteke lîsteyê zêde bike...
Add Contact,Têkiliyê Zêde Bike
Add contacts via the Desk interface or clear filters,Têkiliyan bi riya navbera Desk-ê zêde bike an fîltreyan paqij bike
Add Dependency,Pêwendiyê Zêde Bike
Add details about this event...,Hûrguliyên vê bûyerê zêde bike...
Add details about this milestone...,Hûrguliyên vê qonaxa girîng zêde bike...
Add details about this task...,Hûrguliyên vê peywirê zêde bike...
Add details or acceptance criteria for this milestone,Hûrgulî an pîvanên qebûlkirinê ji bo vê qonaxa girîng zêde bike
"Add details, context, or acceptance criteria","Hûrgulî, çarçove, an pîvanên qebûlkirinê zêde bike"
Add first dependency,Pêwendiya yekem zêde bike
Add item,Babetê zêde bike
Add items below to track progress.,Li jêr babetan zêde bike ji bo şopandina pêşveçûnê.
Add items below to track subtasks,Li jêr babetan zêde bike ji bo şopandina bin-peywiran
Add Milestone,Qonaxa Girîng Zêde Bike
Add Milestone (Shift+M),Qonaxa Girîng Zêde Bike (Shift+M)
Add milestones to track key deliverables.,Qonaxên girîng zêde bike ji bo şopandina encamên sereke.
Add New Contact,Têkiliya Nû Zêde Bike
Add Note,Notê Zêde Bike
Add note,Notê zêde bike
Add notes about this contact...,Notên derbarê vê têkiliyê zêde bike...
Add reaction,Bertêkê zêde bike
Add Skill,Jêhatiyê Zêde Bike
Add start and due dates to tasks to see them on the Gantt chart,Dîrokên destpêk û dawî li peywiran zêde bike da ku wan li ser nexşeya Gantt bibînin
