+ Add Milestone,+ ເພີ່ມຈຸດໝາຍ
+ Create Task,+ ສ້າງໜ້າວຽກ
+ Log Time,+ ບັນທຶກເວລາ
-- Select a project --,-- ເລືອກໂຄງການ --
0m,0ນ
1 day,1 ມື້
1 day ago,1 ມື້ກ່ອນ
1 dependency,1 ການເພິ່ງພາ
1 entry,1 ລາຍການ
1 file,1 ໄຟລ໌
1 hour ago,1 ຊົ່ວໂມງກ່ອນ
1 member,1 ສະມາຊິກ
1 milestone,1 ຈຸດໝາຍ
1 month,1 ເດືອນ
1 task,1 ໜ້າວຽກ
< 1m,< 1ນ
"A clear, actionable title for the task",ຫົວຂໍ້ທີ່ຊັດເຈນ ແລະ ສາມາດປະຕິບັດໄດ້ສຳລັບໜ້າວຽກ
A client with email {0} already exists: {1},ລູກຄ້າທີ່ມີອີເມວ {0} ມີຢູ່ແລ້ວ: {1}
A key deliverable or checkpoint for the project,ຜົນງານສຳຄັນ ຫຼື ຈຸດກວດກາສຳລັບໂຄງການ
Accept,ຍອมຮັບ
Accepted,ຍອมຮັບແລ້ວ
Acknowledge,ຮັບຮູ້
across,ທົ່ວ
Action,ການກະທຳ
Actions,ການກະທຳ
Active,ເປີດໃຊ້ງານ
Active Assignments,ການມອບໝາຍທີ່ເປີດໃຊ້ງານ
Active Projects,ໂຄງການທີ່ເປີດໃຊ້ງານ
Activity,ກິດຈະກຳ
Activity data deleted successfully,ລຶບຂໍ້ມູນກິດຈະກຳສຳເລັດແລ້ວ
Activity Info,ຂໍ້ມູນກິດຈະກຳ
Activity Stats,ສະຖິຕິກິດຈະກຳ
Activity will appear here as you work on tasks and projects.,ກິດຈະກຳຈະປາກົດຢູ່ບ່ອນນີ້ເມື່ອທ່ານເຮັດວຽກກັບໜ້າວຽກ ແລະ ໂຄງການ.
Actual,ຕົວຈິງ
Actual Cost,ຄ່າໃຊ້ຈ່າຍຕົວຈິງ
Actual cost cannot be negative,ຄ່າໃຊ້ຈ່າຍຕົວຈິງບໍ່ສາມາດເປັນຄ່າລົບ
Actual end date cannot be before actual start date,ວັນທີສິ້ນສຸດຕົວຈິງບໍ່ສາມາດຢູ່ກ່ອນວັນທີເລີ່ມຕົ້ນຕົວຈິງ
Actual Hours,ຊົ່ວໂມງຕົວຈິງ
Add,ເພີ່ມ
Add a checklist item...,ເພີ່ມລາຍການກວດກາ...
Add a comment...,ເພີ່ມຄຳເຫັນ...
Add a comment... (Ctrl+Enter to send),ເພີ່ມຄຳເຫັນ... (Ctrl+Enter ເພື່ອສົ່ງ)
Add a description...,ເພີ່ມລາຍລະອຽດ...
Add a milestone description...,ເພີ່ມລາຍລະອຽດຈຸດໝາຍ...
Add a note below to annotate this activity.,ເພີ່ມບັນທຶກດ້ານລຸ່ມເພື່ອບັນທຶກກິດຈະກຳນີ້.
Add a note...,ເພີ່ມບັນທຶກ...
Add a project description...,ເພີ່ມລາຍລະອຽດໂຄງການ...
Add a task description...,ເພີ່ມລາຍລະອຽດໜ້າວຽກ...
Add checklist item...,ເພີ່ມລາຍການກວດກາ...
Add Contact,ເພີ່ມຜູ້ຕິດຕໍ່
Add contacts via the Desk interface or clear filters,ເພີ່ມຜູ້ຕິດຕໍ່ຜ່ານໜ້າ Desk ຫຼື ລຶບຕົວກອງ
Add Dependency,ເພີ່ມການເພິ່ງພາ
Add details about this event...,ເພີ່ມລາຍລະອຽດກ່ຽວກັບເຫດການນີ້...
Add details about this milestone...,ເພີ່ມລາຍລະອຽດກ່ຽວກັບຈຸດໝາຍນີ້...
Add details about this task...,ເພີ່ມລາຍລະອຽດກ່ຽວກັບໜ້າວຽກນີ້...
Add details or acceptance criteria for this milestone,ເພີ່ມລາຍລະອຽດ ຫຼື ເງື່ອນໄຂການຍອມຮັບສຳລັບຈຸດໝາຍນີ້
"Add details, context, or acceptance criteria","ເພີ່ມລາຍລະອຽດ, ບໍລິບົດ, ຫຼື ເງື່ອນໄຂການຍອມຮັບ"
Add first dependency,ເພີ່ມການເພິ່ງພາທຳອິດ
Add item,ເພີ່ມລາຍການ
Add items below to track progress.,ເພີ່ມລາຍການດ້ານລຸ່ມເພື່ອຕິດຕາಮຄວາມຄືບໜ້າ.
Add items below to track subtasks,ເພີ່ມລາຍການດ້ານລຸ່ມເພື່ອຕິດຕາມໜ້າວຽກຍ່ອຍ
Add Milestone,ເພີ່ມຈຸດໝາຍ
Add Milestone (Shift+M),ເພີ່ມຈຸດໝາຍ (Shift+M)
Add milestones to track key deliverables.,ເພີ່ມຈຸດໝາຍເພື່ອຕິດຕາມຜົນງານສຳຄັນ.
Add New Contact,ເພີ່ມຜູ້ຕິດຕໍ່ໃໝ່
Add Note,ເພີ່ມບັນທຶກ
