+ Add Milestone,+ Додај пресвртница
+ Create Task,+ Создај задача
+ Log Time,+ Запиши време
-- Select a project --,-- Изберете проект --
0m,0м
1 day,1 ден
1 day ago,пред 1 ден
1 dependency,1 зависност
1 entry,1 запис
1 file,1 датотека
1 hour ago,пред 1 час
1 member,1 член
1 milestone,1 пресвртница
1 month,1 месец
1 task,1 задача
< 1m,< 1м
"A clear, actionable title for the task",Јасен и разбирлив наслов за задачата
A client with email {0} already exists: {1},Клиент со е-пошта {0} веќе постои: {1}
A key deliverable or checkpoint for the project,Клучен резултат или контролна точка за проектот
Accept,Прифати
Accepted,Прифатено
Acknowledge,Потврди
across,низ
Action,Дејство
Actions,Дејства
Active,Активно
Active Assignments,Активни доделувања
Active Projects,Активни проекти
Activity,Активност
Activity data deleted successfully,Податоците за активноста се успешно избришани
Activity Info,Податоци за активноста
Activity Stats,Статистика на активности
Activity will appear here as you work on tasks and projects.,Активноста ќе се појави овде додека работите на задачи и проекти.
Actual,Вистински
Actual Cost,Вистински трошок
Actual cost cannot be negative,Вистинскиот трошок не може да биде негативен
Actual end date cannot be before actual start date,Вистинскиот датум на завршување не може да биде пред вистинскиот датум на почеток
Actual Hours,Вистински часови
Add,Додај
Add a checklist item...,Додај ставка од листата...
Add a comment...,Додај коментар...
Add a comment... (Ctrl+Enter to send),Додај коментар... (Ctrl+Enter за испраќање)
Add a description...,Додај опис...
Add a milestone description...,Додај опис на пресвртницата...
Add a note below to annotate this activity.,Додајте белешка подолу за оваа активност.
Add a note...,Додај белешка...
Add a project description...,Додај опис на проектот...
Add a task description...,Додај опис на задачата...
Add checklist item...,Додај ставка од листата...
Add Contact,Додај контакт
Add contacts via the Desk interface or clear filters,Додајте контакти преку Desk интерфејсот или исчистете ги филтрите
Add Dependency,Додај зависност
Add details about this event...,Додајте детали за овој настан...
Add details about this milestone...,Додајте детали за оваа пресвртница...
Add details about this task...,Додајте детали за оваа задача...
Add details or acceptance criteria for this milestone,Додајте детали или критериуми за прифаќање за оваа пресвртница
"Add details, context, or acceptance criteria","Додајте детали, контекст или критериуми за прифаќање"
Add first dependency,Додај прва зависност
Add item,Додај ставка
Add items below to track progress.,Додајте ставки подолу за следење на напредокот.
Add items below to track subtasks,Додајте ставки подолу за следење на подзадачи
Add Milestone,Додај пресвртница
Add Milestone (Shift+M),Додај пресвртница (Shift+M)
Add milestones to track key deliverables.,Додајте пресвртници за следење на клучните резултати.
Add New Contact,Додај нов контакт
Add Note,Додај белешка
Add note,Додај белешка
Add notes about this contact...,Додајте белешки за овој контакт...
Add reaction,Додај реакција
Add Skill,Додај вештина
Add start and due dates to tasks to see them on the Gantt chart,Додајте почетни и крајни датуми на задачите за да ги видите на Gantt дијаграмот
Add Task,Додај задача
Add Task (Shift+T),Додај задача (Shift+T)
Added Finish-to-Start dependency,Додадена зависност Крај-Почеток
Adding this dependency would create a circular reference: {0},Додавањето на оваа зависност би создало кружна референца: {0}
Adding...,Додавање...
Address,Адреса
Advanced,Напредно
All,Сите
All Active,Сите активни
All Assignees,Сите доделени
All Categories,Сите категории
All caught up!,Сè е средено!
All Contexts,Сите контексти
All day,Цел ден
All day event,Целодневен настан
All fields,Сите полиња
All Priorities,Сите приоритети
All Projects,Сите проекти
All Status,Сите статуси
All Statuses,Сите статуси
All task dependencies & relative dates,Сите зависности на задачи и релативни датуми
All Tasks,Сите задачи
All tasks across all projects.,Сите задачи во сите проекти.
All tasks are already linked,Сите задачи се веќе поврзани
All team members,Сите членови на тимот
All Types,Сите видови
All Users,Сите корисници
Allocated,Доделено
allocated,доделено
Allow users to log time against tasks,Дозволете на корисниците да запишуваат време за задачи
Already exported to timesheet {0},Веќе извезено во временски лист {0}
Already Migrated,Веќе мигрирано
Anyone with access,Секој со пристап
anytime to show this help,во секое време за приказ на оваа помош
App Updates,App Updates
Appearance,Изглед
Apply,Примени
Apply cascade?,Да се примени каскадата?
Apply Changes,Примени промени
Apply failed,Примената не успеа
Apply Template,Примени шаблон
Applying...,Примена...
Appointment,Состанок
Appointment and resource are required,Состанокот и ресурсот се задолжителни
Appointment name is required,Името на состанокот е задолжително
Appointment not found,Состанокот не е пронајден
Appointment {0} not found,Состанокот {0} не е пронајден
Apps,Апликации
Archive,Архивирај
Archive Activity,Архивирај активност
Archived,Архивирано
Are you sure you want to delete this activity data? This cannot be undone.,Дали сте сигурни дека сакате да ги избришете овие податоци за активноста? Ова не може да се врати.
Are you sure you want to delete this comment?,Дали сте сигурни дека сакате да го избришете овој коментар?
Are you sure you want to delete this project?,Дали сте сигурни дека сакате да го избришете овој проект?
Are you sure?,Дали сте сигурни?
Ascending -- click to reverse,Растечки -- кликнете за промена
Assign To,Додели на
Assign to Me,Додели мене
Assigned Contact,Доделен контакт
Assigned To,Доделено на
Assigned to,Доделено на
Assigned to Me,Доделено мене
Assignee,Доделен
Assignment,Доделување
Assignment History,Историја на доделувања
Assignment name is required,Името на доделувањето е задолжително
Assignment {0} not found,Доделувањето {0} не е пронајдено
Assignments,Доделувања
At least one action is required,Потребно е барем едно дејство
At least one event is required,Потребен е барем еден настан
At least one event must be selected,Мора да биде избран барем еден настан
Attachment,Прилог
Attachments,Прилози
Attendees,Учесници
"Audit trail, assignments, version history","Траг на промени, доделувања, историја на верзии"
Auto,Автоматски
Auto Calculate Progress,Автоматски пресметај напредок
Auto Set Missed Milestones,Автоматски означи пропуштени пресвртници
Auto-shift dependents when dates change,Автоматски помести зависните при промена на датуми
Auto-Trail Start,Автоматско поместување на почетокот
Auto-Trail updated,Автоматското поместување е ажурирано
Automatically calculate project progress from task completion,Автоматски пресметај напредок на проектот од завршеноста на задачите
Automatically mark milestones as missed when overdue,Автоматски означи ги пресвртниците како пропуштени кога задоцнуваат
Automation rule {0} not found,Правилото за автоматизација {0} не е пронајдено
Automation: {0},Автоматизација: {0}
Availability,Достапност
Available,Достапно
Avatar updated successfully,Профилната слика е успешно ажурирана
Avg Progress,Просечен напредок
Back,Назад
Back to Portal,Назад на порталот
Back to Projects,Назад на проектите
Beginner,Почетник
Best regards,Со почит
Billable,Наплатливо
Billable Amount,Наплатлив износ
Billable Hours,Наплатливи часови
Billable Rate,Наплатлива стапка
Billing Rate,Стапка на наплата
Blocked,Блокирано
Both dates are needed to display task as a bar in Gantt chart,Двата датуми се потребни за приказ на задачата како лента во Gantt дијаграмот
Both doctype and docname are required,И doctype и docname се задолжителни
Both proposed start and end times are required,И предложениот почеток и крај се задолжителни
Both task_name and depends_on are required,И task_name и depends_on се задолжителни
Breadcrumb,Патека за навигација
Brief description of the defect or damage,Краток опис на дефектот или оштетувањето
Brief description of this template,Краток опис на овој шаблон
Brief description of your request,Краток опис на вашето барање
Brief project description,Краток опис на проектот
Budget,Буџет
Budget at risk,Буџет во ризик
Budget Burn Rate,Брзина на трошење на буџетот
Budget Status,Статус на буџетот
Budget updated,Буџетот е ажуриран
Budget:,Буџет:
Bug,Грешка
Burn Rate,Брзина на трошење
Busy,Зафатен
By,Од
By Assignee,По доделен
By Group,По група
By Milestone,По пресвртница
By Priority,По приоритет
By Status,По статус
Cancel,Откажи
Cancelled,Откажано
cannot be undone,не може да се врати
Cannot delete client with {0} linked projects. Unlink projects first.,Не може да се избрише клиентот со {0} поврзани проекти. Прво отстранете ги врските со проектите.
Cannot delete project with {0} linked tasks. Delete tasks first.,Не може да се избрише проектот со {0} поврзани задачи. Прво избришете ги задачите.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Не може да се избрише ресурсот со {0} активни доделувања. Прво завршете ги или откажете ги.
Cannot delete task with {0} subtasks. Delete subtasks first.,Не може да се избрише задачата со {0} подзадачи. Прво избришете ги подзадачите.
Capacity,Капацитет
capacity,капацитет
Capacity & Rates,Капацитет и стапки
Capture project structure for reuse,Зачувај ја структурата на проектот за повторна употреба
Cascade,Каскада
Cascade Preview,Преглед на каскадата
Category,Категорија
Celebrate,Прослави
Change,Промени
Change History,Историја на промени
Change Priority,Промени приоритет
Change Status,Промени статус
Changes,Промени
Changes appear when fields are modified.,Промените се појавуваат кога полињата се изменети.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Контролна листа
Checklist item name is required,Името на ставката од контролната листа е задолжително
Checklist item not found,Ставката од контролната листа не е пронајдена
Checklist item title is required,Насловот на ставката од контролната листа е задолжителен
Checklist item {0} not found,Ставката од контролната листа {0} не е пронајдена
Checklist item {0} not found in task,Ставката од контролната листа {0} не е пронајдена во задачата
Child,Подзадача
Choose file to upload,Изберете датотека за качување
Circular dependency detected: {0},Откриена кружна зависност: {0}
Circular parent-child relationship detected,Откриен кружен однос родител-дете
Clear,Исчисти
Clear all read,Исчисти ги сите прочитани
Clear date,Исчисти датум
Click on an activity from the list to view and manage its details.,Кликнете на активност од листата за преглед и управување со деталите.
Click the avatar to upload a new photo,Кликнете на профилната слика за качување нова фотографија
Click to add description...,Кликнете за додавање опис...
Click to add notes...,Кликнете за додавање белешки...
Click to assign contact,Кликнете за доделување контакт
Click to change status,Кликнете за промена на статусот
Click to change type,Кликнете за промена на видот
Click to edit,Кликнете за уредување
Click to edit budget,Кликнете за уредување на буџетот
Click to edit description,Кликнете за уредување на описот
Click to edit end date,Кликнете за уредување на датумот на завршување
Click to edit milestone name,Кликнете за уредување на името на пресвртницата
Click to edit rate,Кликнете за уредување на стапката
Click to edit start date,Кликнете за уредување на датумот на почеток
Click to edit title,Кликнете за уредување на насловот
Click to load,Кликнете за вчитување
Click to set group dependency...,Кликнете за поставување групна зависност...
Click to set group...,Кликнете за поставување група...
Click to view,Кликнете за преглед
Click to view at-risk projects,Кликнете за преглед на загрозени проекти
Click to view critical projects,Кликнете за преглед на критични проекти
Click to view healthy projects,Кликнете за преглед на здрави проекти
Client,Клиент
Client already has a portal user: {0},Клиентот веќе има корисник на порталот: {0}
Client already has portal access,Клиентот веќе има пристап до порталот
Client has no portal user to revoke,Клиентот нема корисник на порталот за одземање
Client link removed from project {0},Врската со клиентот е отстранета од проектот {0}
Client Portal,Клиентски портал
Client {0} deleted successfully,Клиентот {0} е успешно избришан
Close,Затвори
Close (Esc),Затвори (Esc)
Comment,Коментар
comment,коментар
Comment added,Коментарот е додаден
Comment content is required,Содржината на коментарот е задолжителна
Comment name is required,Името на коментарот е задолжително
Comment not found,Коментарот не е пронајден
Comment removed,Коментарот е отстранет
Comment {0} not found in task,Коментарот {0} не е пронајден во задачата
Comments,Коментари
comments,коментари
Community Edition,Community Edition
Company,Компанија
Company name...,Име на компанијата...
Complete,Заврши
Completed,Завршено
completed,завршено
Completed Tasks,Завршени задачи
Compliance,Усогласеност
Configure default values for new projects and tasks,Постави стандардни вредности за нови проекти и задачи
Configure email notification settings,Постави поставки за известувања по е-пошта
Confirm,Потврди
Contact deleted,Контактот е избришан
Contact Details,Детали за контактот
Contact Information,Контакт информации
Contact name is required,Името на контактот е задолжително
Contact Support,Контактирајте поддршка
Contact your project manager for more information.,Контактирајте го вашиот проектен менаџер за повеќе информации.
Contact:,Контакт:
Contacts,Контакти
Context,Контекст
Contractor,Изведувач
Cost estimate cannot be negative,Проценката на трошоците не може да биде негативна
Cost Impact,Влијание врз трошоците
Cost Summary,Преглед на трошоци
Could not apply the template. Please try again.,Примената на шаблонот не успеа. Ве молиме обидете се повторно.
Could not attach file to project,Додавањето на датотека кон проектот не успеа
Could not change task priority,Промената на приоритетот на задачата не успеа
Could not change task status,Промената на статусот на задачата не успеа
Could not delete the project. Please try again.,Бришењето на проектот не успеа. Ве молиме обидете се повторно.
Could not delete the task. Please try again.,Бришењето на задачата не успеа. Ве молиме обидете се повторно.
Could not delete the template.,Бришењето на шаблонот не успеа.
Could not duplicate the task. Please try again.,Копирањето на задачата не успеа. Ве молиме обидете се повторно.
Could not export the template.,Извозот на шаблонот не успеа.
Could not import the template. Please check the file format.,Увозот на шаблонот не успеа. Ве молиме проверете го форматот на датотеката.
Could not link task to milestone,Поврзувањето на задачата со пресвртницата не успеа
Could not load document details.,Вчитувањето на деталите на документот не успеа.
Could not load task details,Вчитувањето на деталите на задачата не успеа
Could not promote checklist item to task.,Претворањето на ставката од листата во задача не успеа.
Could not remove task from milestone,Отстранувањето на задачата од пресвртницата не успеа
Could not save budget.,Зачувувањето на буџетот не успеа.
Could not save changes to the milestone,Зачувувањето на промените на пресвртницата не успеа
Could not save changes to the task,Зачувувањето на промените на задачата не успеа
Could not save description.,Зачувувањето на описот не успеа.
Could not save end date.,Зачувувањето на датумот на завршување не успеа.
Could not save milestone name.,Зачувувањето на името на пресвртницата не успеа.
Could not save start date.,Зачувувањето на датумот на почеток не успеа.
Could not save the template. Please try again.,Зачувувањето на шаблонот не успеа. Ве молиме обидете се повторно.
Could not save title.,Зачувувањето на насловот не успеа.
Could not update dependency mode.,Ажурирањето на режимот на зависности не успеа.
Could not update milestone date,Ажурирањето на датумот на пресвртницата не успеа
Could not update project status.,Ажурирањето на статусот на проектот не успеа.
Could not update project type.,Ажурирањето на видот на проектот не успеа.
Could not update setting.,Ажурирањето на поставката не успеа.
Could not update task dates,Ажурирањето на датумите на задачата не успеа
Could not update task status,Ажурирањето на статусот на задачата не успеа
Could not update the template.,Ажурирањето на шаблонот не успеа.
Create a copy of this task,Создај копија од оваа задача
Create Contact,Создај контакт
Create Event,Создај настан
Create Milestone,Создај пресвртница
Create New Milestone,Создај нова пресвртница
Create New Task,Создај нова задача
Create Project,Создај проект
Create Task,Создај задача
Create tasks and milestones from a template,Создај задачи и пресвртници од шаблон
Create your first project to get started.,Создајте го вашиот прв проект за да започнете.
Create your first task to start tracking work on this project.,Создајте ја првата задача за следење на работата на овој проект.
Created,Создадено
Creating...,Создавање...
Critical,Критично
Critical Path,Критична патека
"Currency used for budgets, costs, and billing rates","Валута за буџети, трошоци и стапки на наплата"
Current,Тековно
Current Assignments,Тековни доделувања
Current scheduled time:,Тековно закажано време:
Currently running version,Currently running version
d lag,д задоцнување
Daily Availability,Дневна достапност
Daily Hours,Дневни часови
Danger Zone,Опасна зона
Dark,Темно
Dashboard,Табла
Date,Датум
Date changes on this task will show cascade impact here,Промените на датумот на оваа задача ќе го покажат каскадното влијание овде
Date cleared,Датумот е исчистен
Date of Joining,Датум на приклучување
Date updated,Датумот е ажуриран
Dates,Датуми
Dates cascaded,Датумите се каскадно поместени
Dates will be relative to the project's start date.,Датумите ќе бидат релативни спрема датумот на почеток на проектот.
Day,Ден
day,ден
days,дена
Days before due date to send reminder,Денови пред рокот за испраќање потсетник
Days Overdue,Денови задоцнување
Days Remaining,Денови преостануваат
Deadline,Рок
Deadlines,Рокови
Decision,Одлука
Decline,Одбиј
Declined,Одбиено
Default Currency,Стандардна валута
Default hours per week for contact capacity planning,Стандардни часови неделно за планирање капацитет на контакти
Default Priority,Стандарден приоритет
Default Project Status,Стандарден статус на проект
Default Task Status,Стандарден статус на задача
Default task view,Стандарден приказ на задачи
Default Values,Стандардни вредности
Default Weekly Capacity,Стандарден неделен капацитет
Defaults,Стандардни вредности
Defect Cost Impact,Финансиско влијание на дефектот
Defect name is required,Името на дефектот е задолжително
Defect Type,Вид на дефект
Defect {0} not found,Дефектот {0} не е пронајден
Defects,Дефекти
Defects & Issues,Дефекти и проблеми
Defects Resolved,Решени дефекти
Delayed,Одложено
Delete,Избриши
Delete Activity Data,Избриши податоци за активноста
Delete all read notifications?,Да се избришат сите прочитани известувања?
Delete comment,Избриши коментар
Delete Contact,Избриши контакт
Delete Event,Избриши настан
Delete Event?,Да се избрише настанот?
Delete failed,Бришењето не успеа
Delete file,Избриши датотека
Delete item,Избриши ставка
Delete note,Избриши белешка
Delete Project,Избриши проект
Delete Task,Избриши задача
Delete this project,Избриши го овој проект
Deleted,Избришано
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Проектот ""{0}"" е избришан ({1} задачи, {2} пресвртници)"
Deletes notes and preferences. Source document is not affected.,Ги брише белешките и поставките. Изворниот документ не е засегнат.
Deleting...,Бришење...
Department,Одделение
Dependencies,Зависности
dependencies,зависности
Dependencies are informational only,Зависностите се само информативни
dependency,зависност
Dependency already exists,Зависноста веќе постои
Dependency Chain,Ланец на зависности
Dependency created,Зависноста е создадена
Dependency mode updated,Режимот на зависности е ажуриран
Dependency name is required,Името на зависноста е задолжително
