+ Add Milestone,+ നാഴികക്കല്ല് ചേർക്കുക
+ Create Task,+ ടാസ്ക് സൃഷ്ടിക്കുക
+ Log Time,+ സമയം രേഖപ്പെടുത്തുക
-- Select a project --,-- ഒരു പ്രോജക്ട് തിരഞ്ഞെടുക്കുക --
0m,0m
1 day,1 ദിവസം
1 day ago,1 ദിവസം മുമ്പ്
1 dependency,1 ആശ്രിതത്വം
1 entry,1 എൻട്രി
1 file,1 ഫയൽ
1 hour ago,1 മണിക്കൂർ മുമ്പ്
1 member,1 അംഗം
1 milestone,1 നാഴികക്കല്ല്
1 month,1 മാസം
1 task,1 ടാസ്ക്
< 1m,< 1m
"A clear, actionable title for the task",ടാസ്കിന് വ്യക്തവും പ്രവർത്തനയോഗ്യവുമായ ശീർഷകം
A client with email {0} already exists: {1},{0} ഇമെയിലുള്ള ഒരു ക്ലയന്റ് ഇതിനകം നിലവിലുണ്ട്: {1}
A key deliverable or checkpoint for the project,പ്രോജക്ടിനുള്ള ഒരു പ്രധാന ഡെലിവറബിൾ അല്ലെങ്കിൽ ചെക്ക്‌പോയിന്റ്
Accept,സ്വീകരിക്കുക
Accepted,സ്വീകരിച്ചു
Acknowledge,അംഗീകരിക്കുക
across,ഉടനീളം
Action,പ്രവർത്തനം
Actions,പ്രവർത്തനങ്ങൾ
Active,സജീവം
Active Assignments,സജീവ അസൈൻമെന്റുകൾ
Active Projects,സജീവ പ്രോജക്ടുകൾ
Activity,പ്രവർത്തനം
Activity data deleted successfully,പ്രവർത്തന ഡാറ്റ വിജയകരമായി ഇല്ലാതാക്കി
Activity Info,പ്രവർത്തന വിവരം
Activity Stats,പ്രവർത്തന സ്ഥിതിവിവരക്കണക്കുകൾ
Activity will appear here as you work on tasks and projects.,ടാസ്കുകളിലും പ്രോജക്ടുകളിലും പ്രവർത്തിക്കുമ്പോൾ പ്രവർത്തനങ്ങൾ ഇവിടെ ദൃശ്യമാകും.
Actual,യഥാർത്ഥ
Actual Cost,യഥാർത്ഥ ചെലവ്
Actual cost cannot be negative,യഥാർത്ഥ ചെലവ് നെഗറ്റീവ് ആകാൻ കഴിയില്ല
Actual end date cannot be before actual start date,യഥാർത്ഥ അവസാന തീയതി യഥാർത്ഥ ആരംഭ തീയതിക്ക് മുമ്പാകാൻ കഴിയില്ല
Actual Hours,യഥാർത്ഥ മണിക്കൂറുകൾ
Add,ചേർക്കുക
Add a checklist item...,ഒരു ചെക്ക്‌ലിസ്റ്റ് ഇനം ചേർക്കുക...
Add a comment...,ഒരു അഭിപ്രായം ചേർക്കുക...
Add a comment... (Ctrl+Enter to send),ഒരു അഭിപ്രായം ചേർക്കുക... (അയയ്ക്കാൻ Ctrl+Enter)
Add a description...,ഒരു വിവരണം ചേർക്കുക...
Add a milestone description...,നാഴികക്കല്ല് വിവരണം ചേർക്കുക...
Add a note below to annotate this activity.,ഈ പ്രവർത്തനത്തിന് കുറിപ്പ് ചേർക്കാൻ താഴെ ഒരു കുറിപ്പ് ചേർക്കുക.
Add a note...,ഒരു കുറിപ്പ് ചേർക്കുക...
Add a project description...,പ്രോജക്ട് വിവരണം ചേർക്കുക...
Add a task description...,ടാസ്ക് വിവരണം ചേർക്കുക...
Add checklist item...,ചെക്ക്‌ലിസ്റ്റ് ഇനം ചേർക്കുക...
Add Contact,കോൺടാക്ട് ചേർക്കുക
Add contacts via the Desk interface or clear filters,ഡെസ്ക് ഇന്റർഫേസ് വഴി കോൺടാക്ടുകൾ ചേർക്കുക അല്ലെങ്കിൽ ഫിൽട്ടറുകൾ മായ്ക്കുക
Add Dependency,ആശ്രിതത്വം ചേർക്കുക
Add details about this event...,ഈ ഇവന്റിനെക്കുറിച്ച് വിശദാംശങ്ങൾ ചേർക്കുക...
Add details about this milestone...,ഈ നാഴികക്കല്ലിനെക്കുറിച്ച് വിശദാംശങ്ങൾ ചേർക്കുക...
Add details about this task...,ഈ ടാസ്കിനെക്കുറിച്ച് വിശദാംശങ്ങൾ ചേർക്കുക...
Add details or acceptance criteria for this milestone,ഈ നാഴികക്കല്ലിന് വിശദാംശങ്ങൾ അല്ലെങ്കിൽ സ്വീകാര്യതാ മാനദണ്ഡങ്ങൾ ചേർക്കുക
"Add details, context, or acceptance criteria","വിശദാംശങ്ങൾ, സന്ദർഭം, അല്ലെങ്കിൽ സ്വീകാര്യതാ മാനദണ്ഡങ്ങൾ ചേർക്കുക"
Add first dependency,ആദ്യ ആശ്രിതത്വം ചേർക്കുക
