+ Add Milestone,+ टप्पा जोडा
+ Create Task,+ काम तयार करा
+ Log Time,+ वेळ नोंदवा
-- Select a project --,-- प्रकल्प निवडा --
0m,0मि
1 day,1 दिवस
1 day ago,1 दिवसापूर्वी
1 dependency,1 अवलंबित्व
1 entry,1 नोंद
1 file,1 फाइल
1 hour ago,1 तासापूर्वी
1 member,1 सदस्य
1 milestone,1 टप्पा
1 month,1 महिना
1 task,1 काम
< 1m,< 1मि
"A clear, actionable title for the task","कामासाठी स्पष्ट, कृतीयोग्य शीर्षक"
A client with email {0} already exists: {1},{0} ई-मेल असलेला ग्राहक आधीच अस्तित्वात आहे: {1}
A key deliverable or checkpoint for the project,प्रकल्पासाठी एक महत्त्वाचे उद्दिष्ट किंवा तपासणी बिंदू
Accept,स्वीकारा
Accepted,स्वीकारले
Acknowledge,पोचपावती द्या
across,मधील
Action,कृती
Actions,कृती
Active,सक्रिय
Active Assignments,सक्रिय नेमणुका
Active Projects,सक्रिय प्रकल्प
Activity,हालचाली
Activity data deleted successfully,हालचाली डेटा यशस्वीरित्या हटवला
Activity Info,हालचाली माहिती
Activity Stats,हालचाली आकडेवारी
Activity will appear here as you work on tasks and projects.,तुम्ही कामे आणि प्रकल्पांवर काम करताना हालचाली येथे दिसतील.
Actual,वास्तविक
Actual Cost,वास्तविक खर्च
Actual cost cannot be negative,वास्तविक खर्च ऋण असू शकत नाही
Actual end date cannot be before actual start date,वास्तविक शेवटची तारीख वास्तविक सुरुवातीच्या तारखेपूर्वी असू शकत नाही
Actual Hours,वास्तविक तास
Add,जोडा
Add a checklist item...,चेकलिस्ट आयटम जोडा...
Add a comment...,प्रतिक्रिया जोडा...
Add a comment... (Ctrl+Enter to send),प्रतिक्रिया जोडा... (पाठवण्यासाठी Ctrl+Enter)
Add a description...,वर्णन जोडा...
Add a milestone description...,टप्प्याचे वर्णन जोडा...
Add a note below to annotate this activity.,या हालचालीवर टिप्पणी करण्यासाठी खाली टीप जोडा.
Add a note...,टीप जोडा...
Add a project description...,प्रकल्पाचे वर्णन जोडा...
Add a task description...,कामाचे वर्णन जोडा...
Add checklist item...,चेकलिस्ट आयटम जोडा...
Add Contact,संपर्क जोडा
Add contacts via the Desk interface or clear filters,Desk इंटरफेसद्वारे संपर्क जोडा किंवा फिल्टर साफ करा
Add Dependency,अवलंबित्व जोडा
Add details about this event...,या कार्यक्रमाबद्दल तपशील जोडा...
Add details about this milestone...,या टप्प्याबद्दल तपशील जोडा...
Add details about this task...,या कामाबद्दल तपशील जोडा...
Add details or acceptance criteria for this milestone,या टप्प्यासाठी तपशील किंवा स्वीकृती निकष जोडा
"Add details, context, or acceptance criteria","तपशील, संदर्भ किंवा स्वीकृती निकष जोडा"
Add first dependency,पहिले अवलंबित्व जोडा
Add item,आयटम जोडा
Add items below to track progress.,प्रगती ट्रॅक करण्यासाठी खाली आयटम जोडा.
Add items below to track subtasks,उपकामे ट्रॅक करण्यासाठी खाली आयटम जोडा
Add Milestone,टप्पा जोडा
Add Milestone (Shift+M),टप्पा जोडा (Shift+M)
Add milestones to track key deliverables.,महत्त्वाची उद्दिष्टे ट्रॅक करण्यासाठी टप्पे जोडा.
Add New Contact,नवीन संपर्क जोडा
Add Note,टीप जोडा
Add note,टीप जोडा
Add notes about this contact...,या संपर्काबद्दल टिपा जोडा...
Add reaction,प्रतिक्रिया जोडा
Add Skill,कौशल्य जोडा
Add start and due dates to tasks to see them on the Gantt chart,Gantt चार्टवर पाहण्यासाठी कामांना सुरुवात आणि शेवटच्या तारखा जोडा
Add Task,काम जोडा
Add Task (Shift+T),काम जोडा (Shift+T)
Added Finish-to-Start dependency,शेवट-ते-सुरुवात अवलंबित्व जोडले
Adding this dependency would create a circular reference: {0},हे अवलंबित्व जोडल्यास वर्तुळाकार संदर्भ तयार होईल: {0}
Adding...,जोडत आहे...
Address,पत्ता
Advanced,प्रगत
All,सर्व
All Active,सर्व सक्रिय
All Assignees,सर्व नेमणूकधारक
All Categories,सर्व वर्ग
All caught up!,सर्व अद्ययावत आहे!
All Contexts,सर्व संदर्भ
All day,पूर्ण दिवस
All day event,पूर्ण दिवस कार्यक्रम
All fields,सर्व फील्ड
All Priorities,सर्व प्राधान्ये
All Projects,सर्व प्रकल्प
All Status,सर्व स्थिती
All Statuses,सर्व स्थिती
All task dependencies & relative dates,सर्व कामांचे अवलंबित्व आणि सापेक्ष तारखा
All Tasks,सर्व कामे
All tasks across all projects.,सर्व प्रकल्पांतील सर्व कामे.
All tasks are already linked,सर्व कामे आधीच जोडलेली आहेत
All team members,सर्व टीम सदस्य
All Types,सर्व प्रकार
All Users,सर्व वापरकर्ते
Allocated,वाटप केलेले
allocated,वाटप केलेले
Allow users to log time against tasks,वापरकर्त्यांना कामांवर वेळ नोंदवण्याची परवानगी द्या
Already exported to timesheet {0},आधीच टाइमशीट {0} मध्ये निर्यात केले
Already Migrated,आधीच स्थलांतरित
Anyone with access,प्रवेश असलेले कोणीही
anytime to show this help,ही मदत दाखवण्यासाठी कधीही
App Updates,App Updates
Appearance,दिसावट
Apply,लागू करा
Apply cascade?,कॅस्केड लागू करा?
Apply Changes,बदल लागू करा
Apply failed,लागू करणे अयशस्वी
Apply Template,टेम्पलेट लागू करा
Applying...,लागू करत आहे...
Appointment,भेट
Appointment and resource are required,भेट आणि संसाधन आवश्यक आहे
Appointment name is required,भेटीचे नाव आवश्यक आहे
