+ Add Milestone,+ မှတ်တိုင်ထည့်ရန်
+ Create Task,+ လုပ်ငန်းဖန်တီးရန်
+ Log Time,+ အချိန်မှတ်တမ်းတင်ရန်
-- Select a project --,-- ပရောဂျက်ရွေးချယ်ပါ --
0m,၀မိ
1 day,၁ ရက်
1 day ago,၁ ရက်အကြာက
1 dependency,မှီခိုမှု ၁ ခု
1 entry,ထည့်သွင်းမှု ၁ ခု
1 file,ဖိုင် ၁ ခု
1 hour ago,၁ နာရီအကြာက
1 member,အဖွဲ့ဝင် ၁ ဦး
1 milestone,မှတ်တိုင် ၁ ခု
1 month,၁ လ
1 task,လုပ်ငန်း ၁ ခု
< 1m,< ၁မိ
"A clear, actionable title for the task",လုပ်ငန်းအတွက် ရှင်းလင်းပြီး လုပ်ဆောင်နိုင်သော ခေါင်းစဉ်
A client with email {0} already exists: {1},အီးမေးလ် {0} ဖြင့် ဖောက်သည်တစ်ဦး ရှိပြီးသားဖြစ်သည်: {1}
A key deliverable or checkpoint for the project,ပရောဂျက်အတွက် အဓိက ပေးအပ်ရမည့်အရာ သို့မဟုတ် စစ်ဆေးရမှတ်
Accept,လက်ခံရန်
Accepted,လက်ခံပြီး
Acknowledge,အသိအမှတ်ပြုရန်
across,တစ်လျှောက်
Action,လုပ်ဆောင်ချက်
Actions,လုပ်ဆောင်ချက်များ
Active,လက်ရှိအသုံးပြုနေသော
Active Assignments,လက်ရှိ တာဝန်ပေးအပ်မှုများ
Active Projects,လက်ရှိ ပရောဂျက်များ
Activity,လုပ်ဆောင်ချက်
Activity data deleted successfully,လုပ်ဆောင်ချက်ဒေတာ အောင်မြင်စွာ ဖျက်ပြီးပါပြီ
Activity Info,လုပ်ဆောင်ချက် အချက်အလက်
Activity Stats,လုပ်ဆောင်ချက် စာရင်းအင်း
Activity will appear here as you work on tasks and projects.,သင် လုပ်ငန်းများနှင့် ပရောဂျက်များ လုပ်ဆောင်သည်နှင့်အမျှ လုပ်ဆောင်ချက်များ ဤနေရာတွင် ပေါ်လာပါမည်။
Actual,အမှန်တကယ်
Actual Cost,အမှန်တကယ် ကုန်ကျစရိတ်
Actual cost cannot be negative,အမှန်တကယ် ကုန်ကျစရိတ်သည် အနှုတ်ကိန်းမဖြစ်ရပါ
Actual end date cannot be before actual start date,အမှန်တကယ် ပြီးဆုံးရက်သည် အမှန်တကယ် စတင်ရက်ထက် မစောရပါ
Actual Hours,အမှန်တကယ် နာရီများ
Add,ထည့်ရန်
Add a checklist item...,စစ်ဆေးရန်စာရင်း အကြောင်းအရာ ထည့်ပါ...
Add a comment...,မှတ်ချက်ထည့်ပါ...
Add a comment... (Ctrl+Enter to send),မှတ်ချက်ထည့်ပါ... (ပို့ရန် Ctrl+Enter)
Add a description...,ဖော်ပြချက်ထည့်ပါ...
Add a milestone description...,မှတ်တိုင် ဖော်ပြချက်ထည့်ပါ...
Add a note below to annotate this activity.,ဤလုပ်ဆောင်ချက်ကို မှတ်စုတင်ရန် အောက်တွင် မှတ်စုထည့်ပါ။
Add a note...,မှတ်စုထည့်ပါ...
Add a project description...,ပရောဂျက် ဖော်ပြချက်ထည့်ပါ...
