+ Add Milestone,+ Mijlpaal toevoegen
+ Create Task,+ Taak aanmaken
+ Log Time,+ Tijd registreren
-- Select a project --,-- Selecteer een project --
0m,0m
1 day,1 dag
1 day ago,1 dag geleden
1 dependency,1 afhankelijkheid
1 entry,1 vermelding
1 file,1 bestand
1 hour ago,1 uur geleden
1 member,1 lid
1 milestone,1 mijlpaal
1 month,1 maand
1 task,1 taak
< 1m,< 1m
"A clear, actionable title for the task","Een duidelijke, uitvoerbare titel voor de taak"
A client with email {0} already exists: {1},Er bestaat al een klant met e-mailadres {0}: {1}
A key deliverable or checkpoint for the project,Een belangrijk op te leveren resultaat of controlepunt voor het project
Accept,Accepteren
Accepted,Geaccepteerd
Acknowledge,Bevestigen
across,in
Action,Actie
Actions,Acties
Active,Actief
Active Assignments,Actieve toewijzingen
Active Projects,Actieve projecten
Activity,Activiteit
Activity data deleted successfully,Activiteitsgegevens succesvol verwijderd
Activity Info,Activiteitsgegevens
Activity Stats,Activiteitsstatistieken
Activity will appear here as you work on tasks and projects.,Activiteit verschijnt hier terwijl u aan taken en projecten werkt.
Actual,Werkelijk
Actual Cost,Werkelijke kosten
Actual cost cannot be negative,Werkelijke kosten mogen niet negatief zijn
Actual end date cannot be before actual start date,De werkelijke einddatum mag niet voor de werkelijke startdatum liggen
Actual Hours,Werkelijke uren
Add,Toevoegen
Add a checklist item...,Controlelijstitem toevoegen...
Add a comment...,Opmerking toevoegen...
Add a comment... (Ctrl+Enter to send),Opmerking toevoegen... (Ctrl+Enter om te verzenden)
Add a description...,Beschrijving toevoegen...
Add a milestone description...,Mijlpaalbeschrijving toevoegen...
Add a note below to annotate this activity.,Voeg hieronder een notitie toe om deze activiteit te annoteren.
Add a note...,Notitie toevoegen...
Add a project description...,Projectbeschrijving toevoegen...
Add a task description...,Taakbeschrijving toevoegen...
Add checklist item...,Controlelijstitem toevoegen...
Add Contact,Contact toevoegen
Add contacts via the Desk interface or clear filters,Voeg contacten toe via de Desk-interface of wis de filters
Add Dependency,Afhankelijkheid toevoegen
Add details about this event...,Voeg details over dit evenement toe...
Add details about this milestone...,Voeg details over deze mijlpaal toe...
Add details about this task...,Voeg details over deze taak toe...
Add details or acceptance criteria for this milestone,Voeg details of acceptatiecriteria toe voor deze mijlpaal
"Add details, context, or acceptance criteria","Voeg details, context of acceptatiecriteria toe"
Add first dependency,Eerste afhankelijkheid toevoegen
Add item,Item toevoegen
Add items below to track progress.,Voeg hieronder items toe om de voortgang bij te houden.
Add items below to track subtasks,Voeg hieronder items toe om deeltaken bij te houden
Add Milestone,Mijlpaal toevoegen
Add Milestone (Shift+M),Mijlpaal toevoegen (Shift+M)
Add milestones to track key deliverables.,Voeg mijlpalen toe om belangrijke op te leveren resultaten bij te houden.
Add New Contact,Nieuw contact toevoegen
Add Note,Notitie toevoegen
Add note,Notitie toevoegen
Add notes about this contact...,Voeg notities over dit contact toe...
Add reaction,Reactie toevoegen
Add Skill,Vaardigheid toevoegen
Add start and due dates to tasks to see them on the Gantt chart,Voeg start- en einddatums toe aan taken om ze op het Gantt-diagram te zien
Add Task,Taak toevoegen
Add Task (Shift+T),Taak toevoegen (Shift+T)
Added Finish-to-Start dependency,Einde-naar-start-afhankelijkheid toegevoegd
