+ Add Milestone,+ Legg til milepael
+ Create Task,+ Opprett oppgave
+ Log Time,+ Registrer tid
-- Select a project --,-- Velg et prosjekt --
0m,0m
1 day,1 dag
1 day ago,1 dag siden
1 dependency,1 avhengighet
1 entry,1 oppforing
1 file,1 fil
1 hour ago,1 time siden
1 member,1 medlem
1 milestone,1 milepael
1 month,1 maned
1 task,1 oppgave
< 1m,< 1m
"A clear, actionable title for the task","En tydelig, handlingsrettet tittel for oppgaven"
A client with email {0} already exists: {1},En klient med e-post {0} finnes allerede: {1}
A key deliverable or checkpoint for the project,En viktig leveranse eller kontrollpunkt for prosjektet
Accept,Godta
Accepted,Godtatt
Acknowledge,Bekreft mottak
across,pa tvers av
Action,Handling
Actions,Handlinger
Active,Aktiv
Active Assignments,Aktive tildelinger
Active Projects,Aktive prosjekter
Activity,Aktivitet
Activity data deleted successfully,Aktivitetsdata slettet
Activity Info,Aktivitetsinformasjon
Activity Stats,Aktivitetsstatistikk
Activity will appear here as you work on tasks and projects.,Aktivitet vises her nar du arbeider med oppgaver og prosjekter.
Actual,Faktisk
Actual Cost,Faktisk kostnad
Actual cost cannot be negative,Faktisk kostnad kan ikke vaere negativ
Actual end date cannot be before actual start date,Faktisk sluttdato kan ikke vaere for faktisk startdato
Actual Hours,Faktiske timer
Add,Legg til
Add a checklist item...,Legg til et sjekklistepunkt...
Add a comment...,Legg til en kommentar...
Add a comment... (Ctrl+Enter to send),Legg til en kommentar... (Ctrl+Enter for a sende)
Add a description...,Legg til en beskrivelse...
Add a milestone description...,Legg til en milepael-beskrivelse...
Add a note below to annotate this activity.,Legg til et notat nedenfor for a kommentere denne aktiviteten.
Add a note...,Legg til et notat...
Add a project description...,Legg til en prosjektbeskrivelse...
Add a task description...,Legg til en oppgavebeskrivelse...
Add checklist item...,Legg til sjekklistepunkt...
Add Contact,Legg til kontakt
Add contacts via the Desk interface or clear filters,Legg til kontakter via Desk-grensesnittet eller fjern filtrene
Add Dependency,Legg til avhengighet
Add details about this event...,Legg til detaljer om dette arrangementet...
Add details about this milestone...,Legg til detaljer om denne milepelen...
Add details about this task...,Legg til detaljer om denne oppgaven...
Add details or acceptance criteria for this milestone,Legg til detaljer eller godkjenningskriterier for denne milepelen
"Add details, context, or acceptance criteria","Legg til detaljer, kontekst eller godkjenningskriterier"
Add first dependency,Legg til forste avhengighet
Add item,Legg til element
Add items below to track progress.,Legg til elementer nedenfor for a folge fremdriften.
Add items below to track subtasks,Legg til elementer nedenfor for a folge deloppgaver
Add Milestone,Legg til milepael
Add Milestone (Shift+M),Legg til milepael (Shift+M)
Add milestones to track key deliverables.,Legg til milepaeler for a folge viktige leveranser.
Add New Contact,Legg til ny kontakt
Add Note,Legg til notat
Add note,Legg til notat
Add notes about this contact...,Legg til notater om denne kontakten...
Add reaction,Legg til reaksjon
Add Skill,Legg til kompetanse
Add start and due dates to tasks to see them on the Gantt chart,Legg til start- og forfallsdatoer pa oppgaver for a se dem i Gantt-diagrammet
Add Task,Legg til oppgave
Add Task (Shift+T),Legg til oppgave (Shift+T)
Added Finish-to-Start dependency,Slutt-til-start-avhengighet lagt til
Adding this dependency would create a circular reference: {0},A legge til denne avhengigheten ville skape en sirkelreferanse: {0}
Adding...,Legger til...
Address,Adresse
Advanced,Avansert
All,Alle
All Active,Alle aktive
All Assignees,Alle tildelte
All Categories,Alle kategorier
All caught up!,Alt er oppdatert!
All Contexts,Alle kontekster
All day,Hele dagen
All day event,Heldagsarrangement
All fields,Alle felt
All Priorities,Alle prioriteter
All Projects,Alle prosjekter
All Status,Alle statuser
All Statuses,Alle statuser
All task dependencies & relative dates,Alle oppgaveavhengigheter og relative datoer
All Tasks,Alle oppgaver
All tasks across all projects.,Alle oppgaver i alle prosjekter.
All tasks are already linked,Alle oppgaver er allerede lenket
All team members,Alle teammedlemmer
All Types,Alle typer
All Users,Alle brukere
Allocated,Tildelt
allocated,tildelt
Allow users to log time against tasks,Tillat brukere a registrere tid pa oppgaver
Already exported to timesheet {0},Allerede eksportert til timeliste {0}
Already Migrated,Allerede migrert
Anyone with access,Alle med tilgang
anytime to show this help,nar som helst for a vise denne hjelpen
App Updates,App Updates
Appearance,Utseende
Apply,Bruk
Apply cascade?,Bruke kaskade?
Apply Changes,Bruk endringer
Apply failed,Bruk mislyktes
Apply Template,Bruk mal
Applying...,Bruker...
Appointment,Mote
Appointment and resource are required,Mote og ressurs er pakrevd
Appointment name is required,Motenavn er pakrevd
Appointment not found,Mote ikke funnet
Appointment {0} not found,Mote {0} ikke funnet
Apps,Apper
Archive,Arkiver
Archive Activity,Arkiver aktivitet
Archived,Arkivert
Are you sure you want to delete this activity data? This cannot be undone.,Er du sikker pa at du vil slette disse aktivitetsdataene? Dette kan ikke angres.
Are you sure you want to delete this comment?,Er du sikker pa at du vil slette denne kommentaren?
Are you sure you want to delete this project?,Er du sikker pa at du vil slette dette prosjektet?
Are you sure?,Er du sikker?
Ascending -- click to reverse,Stigende -- klikk for a snu
Assign To,Tildel til
Assign to Me,Tildel til meg
Assigned Contact,Tildelt kontakt
Assigned To,Tildelt til
Assigned to,Tildelt til
Assigned to Me,Tildelt til meg
Assignee,Tildelt
Assignment,Tildeling
Assignment History,Tildelingshistorikk
Assignment name is required,Tildelingsnavn er pakrevd
Assignment {0} not found,Tildeling {0} ikke funnet
Assignments,Tildelinger
At least one action is required,Minst en handling er pakrevd
At least one event is required,Minst ett arrangement er pakrevd
At least one event must be selected,Minst ett arrangement ma velges
Attachment,Vedlegg
Attachments,Vedlegg
Attendees,Deltakere
"Audit trail, assignments, version history","Endringslogg, tildelinger, versjonshistorikk"
Auto,Automatisk
Auto Calculate Progress,Beregn fremdrift automatisk
Auto Set Missed Milestones,Merk ubesvarte milepaeler automatisk
Auto-shift dependents when dates change,Flytt avhengige automatisk ved datoendring
Auto-Trail Start,Automatisk glidende start
Auto-Trail updated,Automatisk glidende start oppdatert
Automatically calculate project progress from task completion,Beregn prosjektfremdrift automatisk fra oppgavefullforelse
Automatically mark milestones as missed when overdue,Merk milepaeler automatisk som ubesvarte ved forsinkelse
Automation rule {0} not found,Automatiseringsregel {0} ikke funnet
Automation: {0},Automatisering: {0}
Availability,Tilgjengelighet
Available,Tilgjengelig
Avatar updated successfully,Profilbilde oppdatert
Avg Progress,Gjennomsnittlig fremdrift
Back,Tilbake
Back to Portal,Tilbake til portalen
Back to Projects,Tilbake til prosjekter
Beginner,Nybegynner
Best regards,Med vennlig hilsen
Billable,Fakturerbar
Billable Amount,Fakturerbart belop
Billable Hours,Fakturerbare timer
Billable Rate,Fakturerbar sats
Billing Rate,Faktureringssats
Blocked,Blokkert
Both dates are needed to display task as a bar in Gantt chart,Begge datoer trengs for a vise oppgaven som en stolpe i Gantt-diagrammet
Both doctype and docname are required,Bade doctype og docname er pakrevd
Both proposed start and end times are required,Bade foreslatt start- og sluttid er pakrevd
Both task_name and depends_on are required,Bade task_name og depends_on er pakrevd
Breadcrumb,Sti
Brief description of the defect or damage,Kort beskrivelse av feilen eller skaden
Brief description of this template,Kort beskrivelse av denne malen
Brief description of your request,Kort beskrivelse av foresporselen din
Brief project description,Kort prosjektbeskrivelse
Budget,Budsjett
Budget at risk,Budsjett i faresonen
Budget Burn Rate,Budsjettforbruksrate
Budget Status,Budsjettstatus
Budget updated,Budsjett oppdatert
Budget:,Budsjett:
Bug,Feil
Burn Rate,Forbruksrate
Busy,Opptatt
By,Av
By Assignee,Per tildelt
By Group,Per gruppe
By Milestone,Per milepael
By Priority,Per prioritet
By Status,Per status
Cancel,Avbryt
Cancelled,Avbrutt
cannot be undone,kan ikke angres
Cannot delete client with {0} linked projects. Unlink projects first.,Kan ikke slette klient med {0} lenkede prosjekter. Fjern lenker forst.
Cannot delete project with {0} linked tasks. Delete tasks first.,Kan ikke slette prosjekt med {0} lenkede oppgaver. Slett oppgavene forst.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Kan ikke slette ressurs med {0} aktive tildelinger. Fullfore eller avbryte dem forst.
Cannot delete task with {0} subtasks. Delete subtasks first.,Kan ikke slette oppgave med {0} deloppgaver. Slett deloppgavene forst.
Capacity,Kapasitet
capacity,kapasitet
Capacity & Rates,Kapasitet og satser
Capture project structure for reuse,Lagre prosjektstruktur for gjenbruk
Cascade,Kaskade
Cascade Preview,Kaskadeforhandsvisning
Category,Kategori
Celebrate,Feire
Change,Endre
Change History,Endringshistorikk
Change Priority,Endre prioritet
Change Status,Endre status
Changes,Endringer
Changes appear when fields are modified.,Endringer vises nar felt endres.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Sjekkliste
Checklist item name is required,Navn pa sjekklistepunkt er pakrevd
Checklist item not found,Sjekklistepunkt ikke funnet
Checklist item title is required,Tittel pa sjekklistepunkt er pakrevd
Checklist item {0} not found,Sjekklistepunkt {0} ikke funnet
Checklist item {0} not found in task,Sjekklistepunkt {0} ikke funnet i oppgaven
Child,Underordnet
Choose file to upload,Velg fil a laste opp
Circular dependency detected: {0},Sirkulaer avhengighet oppdaget: {0}
Circular parent-child relationship detected,Sirkulaert forelder-barn-forhold oppdaget
Clear,Fjern
Clear all read,Fjern alle leste
Clear date,Fjern dato
Click on an activity from the list to view and manage its details.,Klikk pa en aktivitet i listen for a se og handtere detaljene.
Click the avatar to upload a new photo,Klikk pa profilbildet for a laste opp et nytt bilde
Click to add description...,Klikk for a legge til beskrivelse...
Click to add notes...,Klikk for a legge til notater...
Click to assign contact,Klikk for a tildele kontakt
Click to change status,Klikk for a endre status
Click to change type,Klikk for a endre type
Click to edit,Klikk for a redigere
Click to edit budget,Klikk for a redigere budsjett
Click to edit description,Klikk for a redigere beskrivelse
Click to edit end date,Klikk for a redigere sluttdato
Click to edit milestone name,Klikk for a redigere milepael-navn
Click to edit rate,Klikk for a redigere sats
Click to edit start date,Klikk for a redigere startdato
Click to edit title,Klikk for a redigere tittel
Click to load,Klikk for a laste
Click to set group dependency...,Klikk for a angi gruppeavhengighet...
Click to set group...,Klikk for a angi gruppe...
Click to view,Klikk for a vise
Click to view at-risk projects,Klikk for a vise prosjekter i faresonen
Click to view critical projects,Klikk for a vise kritiske prosjekter
Click to view healthy projects,Klikk for a vise sunne prosjekter
