+ Add Milestone,+ مایلسټون اضافه کړئ
+ Create Task,+ دنده جوړه کړئ
+ Log Time,+ وخت ثبت کړئ
-- Select a project --,-- یو پروژه غوره کړئ --
0m,0m
1 day,1 ورځ
1 day ago,1 ورځ مخکې
1 dependency,1 انحصار
1 entry,1 ننوتنه
1 file,1 دوتنه
1 hour ago,1 ساعت مخکې
1 member,1 غړی
1 milestone,1 مایلسټون
1 month,1 میاشت
1 task,1 دنده
< 1m,< 1m
"A clear, actionable title for the task",د دندې لپاره یو روښانه او د عمل وړ سرلیک
A client with email {0} already exists: {1},د {0} بریښنالیک سره یو پیرودونکی لا دمخه شتون لري: {1}
A key deliverable or checkpoint for the project,د پروژې لپاره یو مهم تحویلي یا کنټرول ټکی
Accept,ومنئ
Accepted,منل شوی
Acknowledge,تایید کړئ
across,په اوږدو کې
Action,عمل
Actions,عملونه
Active,فعال
Active Assignments,فعالې دندې
Active Projects,فعالې پروژې
Activity,فعالیت
Activity data deleted successfully,د فعالیت معلومات په بریالیتوب سره حذف شول
Activity Info,د فعالیت معلومات
Activity Stats,د فعالیت احصایې
Activity will appear here as you work on tasks and projects.,فعالیتونه به دلته ښکاره شي کله چې تاسو په دندو او پروژو کار کوئ.
Actual,واقعي
Actual Cost,واقعي لګښت
Actual cost cannot be negative,واقعي لګښت نشي کولی منفي وي
Actual end date cannot be before actual start date,واقعي پای نیټه نشي کولی د واقعي پیل نیټې څخه مخکې وي
Actual Hours,واقعي ساعتونه
Add,اضافه کړئ
Add a checklist item...,د کتنې لیست توکی اضافه کړئ...
Add a comment...,نظر اضافه کړئ...
Add a comment... (Ctrl+Enter to send),نظر اضافه کړئ... (د لیږلو لپاره Ctrl+Enter)
Add a description...,تشریح اضافه کړئ...
Add a milestone description...,د مایلسټون تشریح اضافه کړئ...
Add a note below to annotate this activity.,د دې فعالیت تشریح لپاره لاندې یادښت اضافه کړئ.
Add a note...,یادښت اضافه کړئ...
Add a project description...,د پروژې تشریح اضافه کړئ...
Add a task description...,د دندې تشریح اضافه کړئ...
Add checklist item...,د کتنې لیست توکی اضافه کړئ...
Add Contact,اړیکه اضافه کړئ
Add contacts via the Desk interface or clear filters,د ډیسک انټرفیس له لارې اړیکې اضافه کړئ یا فلټرونه پاک کړئ
Add Dependency,انحصار اضافه کړئ
Add details about this event...,د دې پیښې په اړه توضیحات اضافه کړئ...
Add details about this milestone...,د دې مایلسټون په اړه توضیحات اضافه کړئ...
Add details about this task...,د دې دندې په اړه توضیحات اضافه کړئ...
Add details or acceptance criteria for this milestone,د دې مایلسټون لپاره توضیحات یا د منلو معیارونه اضافه کړئ
"Add details, context, or acceptance criteria",توضیحات، شرایط، یا د منلو معیارونه اضافه کړئ
Add first dependency,لومړی انحصار اضافه کړئ
Add item,توکی اضافه کړئ
Add items below to track progress.,د پرمختګ تعقیب لپاره لاندې توکي اضافه کړئ.
Add items below to track subtasks,د فرعي دندو تعقیب لپاره لاندې توکي اضافه کړئ
Add Milestone,مایلسټون اضافه کړئ
Add Milestone (Shift+M),مایلسټون اضافه کړئ (Shift+M)
Add milestones to track key deliverables.,د مهمو تحویلاتو تعقیب لپاره مایلسټونونه اضافه کړئ.
Add New Contact,نوې اړیکه اضافه کړئ
Add Note,یادښت اضافه کړئ
Add note,یادښت اضافه کړئ
Add notes about this contact...,د دې اړیکې په اړه یادښتونه اضافه کړئ...
Add reaction,غبرګون اضافه کړئ
Add Skill,مهارت اضافه کړئ
Add start and due dates to tasks to see them on the Gantt chart,د ګانټ چارټ کې د لیدو لپاره دندو ته د پیل او د وعدې نیټې اضافه کړئ
Add Task,دنده اضافه کړئ
Add Task (Shift+T),دنده اضافه کړئ (Shift+T)
Added Finish-to-Start dependency,د پای-څخه-پیل انحصار اضافه شو
Adding this dependency would create a circular reference: {0},د دې انحصار اضافه کول به یو دوراني حواله رامنځته کړي: {0}
Adding...,اضافه کیږي...
Address,پته
Advanced,پرمختللی
All,ټول
All Active,ټول فعال
All Assignees,ټول ټاکل شوي
All Categories,ټولې کتګورۍ
All caught up!,ټول بشپړ شول!
All Contexts,ټول شرایط
All day,ټوله ورځ
All day event,د ټولې ورځې پیښه
All fields,ټول ساحې
All Priorities,ټولې لومړیتوبونه
All Projects,ټولې پروژې
All Status,ټول حالتونه
All Statuses,ټول حالتونه
All task dependencies & relative dates,د ټولو دندو انحصارونه او نسبي نیټې
All Tasks,ټولې دندې
All tasks across all projects.,د ټولو پروژو په اوږدو کې ټولې دندې.
All tasks are already linked,ټولې دندې لا دمخه تړل شوي دي
All team members,ټول ټیم غړي
All Types,ټول ډولونه
All Users,ټول کارونکي
Allocated,تخصیص شوی
allocated,تخصیص شوی
Allow users to log time against tasks,کارونکو ته اجازه ورکړئ چې د دندو پر وړاندې وخت ثبت کړي
Already exported to timesheet {0},لا دمخه د وخت پاڼې {0} ته صادر شوی
Already Migrated,لا دمخه لیږدول شوی
Anyone with access,هرڅوک چې لاسرسی ولري
anytime to show this help,هر وخت د دې لارښود ښودلو لپاره
App Updates,App Updates
Appearance,بڼه
Apply,پلي کړئ
Apply cascade?,آبشار پلي کړئ؟
Apply Changes,بدلونونه پلي کړئ
Apply failed,پلي کول ناکام شو
Apply Template,کینډۍ پلي کړئ
Applying...,پلي کیږي...
Appointment,لیدنه
Appointment and resource are required,لیدنه او سرچینه اړین دي
Appointment name is required,د لیدنې نوم اړین دی
Appointment not found,لیدنه ونه موندل شوه
Appointment {0} not found,لیدنه {0} ونه موندل شوه
Apps,اپلیکیشنونه
Archive,آرشیف کړئ
Archive Activity,فعالیت آرشیف کړئ
Archived,آرشیف شوی
Are you sure you want to delete this activity data? This cannot be undone.,ایا تاسو ډاډه یاست چې غواړئ د دې فعالیت معلومات حذف کړئ؟ دا نشي کولی بیرته راوړل شي.
Are you sure you want to delete this comment?,ایا تاسو ډاډه یاست چې غواړئ دا نظر حذف کړئ؟
Are you sure you want to delete this project?,ایا تاسو ډاډه یاست چې غواړئ دا پروژه حذف کړئ؟
Are you sure?,ایا تاسو ډاډه یاست؟
Ascending -- click to reverse,صعودي -- د بدلولو لپاره کلیک وکړئ
Assign To,وټاکئ
Assign to Me,ماته وټاکئ
Assigned Contact,ټاکل شوې اړیکه
Assigned To,ته ټاکل شوی
Assigned to,ته ټاکل شوی
Assigned to Me,ماته ټاکل شوی
Assignee,ټاکل شوی کس
Assignment,دنده ورکونه
Assignment History,د دندې ورکونې تاریخچه
Assignment name is required,د دندې ورکونې نوم اړین دی
Assignment {0} not found,دنده ورکونه {0} ونه موندل شوه
Assignments,دندې ورکونې
At least one action is required,لږ تر لږه یو عمل اړین دی
At least one event is required,لږ تر لږه یوه پیښه اړینه ده
At least one event must be selected,لږ تر لږه یوه پیښه باید وټاکل شي
Attachment,ضمیمه
Attachments,ضمیمې
Attendees,ګډون کوونکي
"Audit trail, assignments, version history",د پلټنې سلسله، دندې ورکونې، د نسخې تاریخچه
Auto,اتوماتیک
Auto Calculate Progress,اتوماتیک پرمختګ محاسبه کړئ
Auto Set Missed Milestones,اتوماتیک له لاسه تللي مایلسټونونه وټاکئ
Auto-shift dependents when dates change,کله چې نیټې بدلیږي، تابع دندې اتوماتیک بدل کړئ
Auto-Trail Start,اتوماتیک تعقیب پیل
Auto-Trail updated,اتوماتیک تعقیب تازه شو
Automatically calculate project progress from task completion,د دندو د بشپړیدو څخه د پروژې پرمختګ اتوماتیک محاسبه کړئ
Automatically mark milestones as missed when overdue,کله چې ناوخته شي، مایلسټونونه اتوماتیک د له لاسه تللو په توګه نښه کړئ
Automation rule {0} not found,د اتوماتیک قاعده {0} ونه موندل شوه
Automation: {0},اتوماتیک: {0}
Availability,شتون
Available,شته
Avatar updated successfully,انځور په بریالیتوب سره تازه شو
Avg Progress,اوسط پرمختګ
Back,شاته
Back to Portal,پورټل ته بیرته
Back to Projects,پروژو ته بیرته
Beginner,پیل کوونکی
Best regards,په درناوي
Billable,د حساب وړ
Billable Amount,د حساب وړ مبلغ
Billable Hours,د حساب وړ ساعتونه
Billable Rate,د حساب وړ نرخ
Billing Rate,د حساب نرخ
Blocked,بند شوی
Both dates are needed to display task as a bar in Gantt chart,د ګانټ چارټ کې د دندې د بار په توګه ښودلو لپاره دواړه نیټې اړینې دي
Both doctype and docname are required,دواړه DocType او DocName اړین دي
Both proposed start and end times are required,دواړه وړاندیز شوي پیل او پای وختونه اړین دي
