+ Add Milestone,+ Adicionar marco
+ Create Task,+ Criar tarefa
+ Log Time,+ Registrar tempo
-- Select a project --,-- Selecionar um projeto --
0m,0m
1 day,1 dia
1 day ago,há 1 dia
1 dependency,1 dependência
1 entry,1 entrada
1 file,1 arquivo
1 hour ago,há 1 hora
1 member,1 membro
1 milestone,1 marco
1 month,1 mês
1 task,1 tarefa
< 1m,< 1m
"A clear, actionable title for the task",Um título claro e prático para a tarefa
A client with email {0} already exists: {1},Já existe um cliente com o e-mail {0}: {1}
A key deliverable or checkpoint for the project,Um resultado-chave ou ponto de verificação do projeto
Accept,Aceitar
Accepted,Aceito
Acknowledge,Confirmar recebimento
across,em
Action,Ação
Actions,Ações
Active,Ativo
Active Assignments,Atribuições ativas
Active Projects,Projetos ativos
Activity,Atividade
Activity data deleted successfully,Dados da atividade excluídos com sucesso
Activity Info,Informações da atividade
Activity Stats,Estatísticas de atividade
Activity will appear here as you work on tasks and projects.,A atividade vai aparecer aqui conforme você trabalha em tarefas e projetos.
Actual,Real
Actual Cost,Custo real
Actual cost cannot be negative,O custo real não pode ser negativo
Actual end date cannot be before actual start date,A data de término real não pode ser anterior à data de início real
Actual Hours,Horas reais
Add,Adicionar
Add a checklist item...,Adicionar um item à lista de verificação...
Add a comment...,Adicionar um comentário...
Add a comment... (Ctrl+Enter to send),Adicionar um comentário... (Ctrl+Enter para enviar)
Add a description...,Adicionar uma descrição...
Add a milestone description...,Adicionar uma descrição do marco...
Add a note below to annotate this activity.,Adicione uma nota abaixo para anotar esta atividade.
Add a note...,Adicionar uma nota...
Add a project description...,Adicionar uma descrição do projeto...
Add a task description...,Adicionar uma descrição da tarefa...
Add checklist item...,Adicionar item à lista de verificação...
Add Contact,Adicionar contato
Add contacts via the Desk interface or clear filters,Adicione contatos pela interface Desk ou limpe os filtros
Add Dependency,Adicionar dependência
Add details about this event...,Adicionar detalhes sobre este evento...
Add details about this milestone...,Adicionar detalhes sobre este marco...
Add details about this task...,Adicionar detalhes sobre esta tarefa...
Add details or acceptance criteria for this milestone,Adicionar detalhes ou critérios de aceitação para este marco
"Add details, context, or acceptance criteria","Adicionar detalhes, contexto ou critérios de aceitação"
Add first dependency,Adicionar a primeira dependência
Add item,Adicionar item
Add items below to track progress.,Adicione itens abaixo para acompanhar o progresso.
Add items below to track subtasks,Adicione itens abaixo para acompanhar as subtarefas
Add Milestone,Adicionar marco
Add Milestone (Shift+M),Adicionar marco (Shift+M)
Add milestones to track key deliverables.,Adicione marcos para acompanhar os resultados-chave.
Add New Contact,Adicionar novo contato
Add Note,Adicionar nota
Add note,Adicionar nota
Add notes about this contact...,Adicionar notas sobre este contato...
Add reaction,Adicionar reação
Add Skill,Adicionar competência
Add start and due dates to tasks to see them on the Gantt chart,Adicione datas de início e de vencimento às tarefas para visualizá-las no diagrama de Gantt
Add Task,Adicionar tarefa
Add Task (Shift+T),Adicionar tarefa (Shift+T)
Added Finish-to-Start dependency,Dependência Fim-a-Início adicionada
Adding this dependency would create a circular reference: {0},Adicionar esta dependência criaria uma referência circular: {0}
Adding...,Adicionando...
Address,Endereço
Advanced,Avançado
All,Todos
All Active,Todos os ativos
All Assignees,Todos os responsáveis
All Categories,Todas as categorias
All caught up!,Tudo em dia!
All Contexts,Todos os contextos
All day,Dia inteiro
All day event,Evento de dia inteiro
All fields,Todos os campos
All Priorities,Todas as prioridades
All Projects,Todos os projetos
All Status,Todos os status
All Statuses,Todos os status
All task dependencies & relative dates,Todas as dependências de tarefas e datas relativas
All Tasks,Todas as tarefas
All tasks across all projects.,Todas as tarefas de todos os projetos.
All tasks are already linked,Todas as tarefas já estão vinculadas
All team members,Todos os membros da equipe
All Types,Todos os tipos
All Users,Todos os usuários
Allocated,Alocado
allocated,alocado
Allow users to log time against tasks,Permitir que os usuários registrem tempo nas tarefas
Already exported to timesheet {0},Já exportado para a planilha de horas {0}
Already Migrated,Já migrado
Anyone with access,Qualquer pessoa com acesso
anytime to show this help,a qualquer momento para mostrar esta ajuda
App Updates,App Updates
Appearance,Aparência
Apply,Aplicar
Apply cascade?,Aplicar cascata?
Apply Changes,Aplicar alterações
Apply failed,Falha ao aplicar
Apply Template,Aplicar modelo
Applying...,Aplicando...
Appointment,Compromisso
Appointment and resource are required,O compromisso e o recurso são obrigatórios
Appointment name is required,O nome do compromisso é obrigatório
Appointment not found,Compromisso não encontrado
Appointment {0} not found,Compromisso {0} não encontrado
Apps,Aplicativos
Archive,Arquivar
Archive Activity,Arquivar atividade
Archived,Arquivado
Are you sure you want to delete this activity data? This cannot be undone.,Você tem certeza de que deseja excluir estes dados de atividade? Esta ação é irreversível.
Are you sure you want to delete this comment?,Você tem certeza de que deseja excluir este comentário?
Are you sure you want to delete this project?,Você tem certeza de que deseja excluir este projeto?
Are you sure?,Você tem certeza?
Ascending -- click to reverse,Crescente -- clique para inverter
Assign To,Atribuir a
Assign to Me,Atribuir a mim
Assigned Contact,Contato atribuído
Assigned To,Atribuído a
Assigned to,Atribuído a
Assigned to Me,Atribuído a mim
Assignee,Responsável
Assignment,Atribuição
Assignment History,Histórico de atribuições
Assignment name is required,O nome da atribuição é obrigatório
Assignment {0} not found,Atribuição {0} não encontrada
Assignments,Atribuições
At least one action is required,Pelo menos uma ação é necessária
At least one event is required,Pelo menos um evento é necessário
At least one event must be selected,Pelo menos um evento deve ser selecionado
Attachment,Anexo
Attachments,Anexos
Attendees,Participantes
"Audit trail, assignments, version history","Registro de auditoria, atribuições, histórico de versões"
Auto,Automático
Auto Calculate Progress,Calcular progresso automaticamente
Auto Set Missed Milestones,Marcar automaticamente marcos perdidos
Auto-shift dependents when dates change,Deslocar automaticamente dependentes quando as datas mudam
Auto-Trail Start,Início automático por deslizamento
Auto-Trail updated,Início automático por deslizamento atualizado
Automatically calculate project progress from task completion,Calcular automaticamente o progresso do projeto a partir da conclusão das tarefas
Automatically mark milestones as missed when overdue,Marcar automaticamente marcos como perdidos quando atrasados
Automation rule {0} not found,Regra de automação {0} não encontrada
Automation: {0},Automação: {0}
Availability,Disponibilidade
Available,Disponível
Avatar updated successfully,Imagem de perfil atualizada com sucesso
Avg Progress,Progresso médio
Back,Voltar
Back to Portal,Voltar ao portal
Back to Projects,Voltar aos projetos
Beginner,Iniciante
Best regards,Atenciosamente
Billable,Faturável
Billable Amount,Valor faturável
Billable Hours,Horas faturáveis
Billable Rate,Taxa faturável
