+ Add Milestone,+ Tzijonik jun k'ak' rajilal
+ Create Task,+ B'anik jun k'ak' samaj
+ Log Time,+ Tz'ib'anik ri ramaj
-- Select a project --,-- Chaqa' jun nuk'samaj --
0m,0ch
1 day,1 q'ij
1 day ago,1 q'ij kan
1 dependency,1 tob'al
1 entry,1 tz'ib'anik
1 file,1 yakb'al
1 hour ago,1 ramaj kan
1 member,1 rajpopil
1 milestone,1 rajilal
1 month,1 ik'
1 task,1 samaj
< 1m,< 1ch
"A clear, actionable title for the task","Jun jikil, etamatal b'i'aj re ri samaj"
A client with email {0} already exists: {1},Jun aqanel ruk' ri taqotzij {0} k'o chik: {1}
A key deliverable or checkpoint for the project,Jun nimalaj ya'tal o ruchojmil ri nuk'samaj
Accept,Uk'ulaj
Accepted,K'ulun
Acknowledge,Retamaj
across,pa
Action,B'anoj
Actions,Taq b'anoj
Active,K'aslik
Active Assignments,Taq k'aslik ya'oj samaj
Active Projects,Taq k'aslik nuk'samaj
Activity,B'anob'al
Activity data deleted successfully,Ri taq tzij re b'anob'al xsachik rumal utz
Activity Info,Retamab'al ri b'anob'al
Activity Stats,Rajilabal ri b'anob'al
Activity will appear here as you work on tasks and projects.,Ri b'anob'al xk'ut waral toq kasamajik pa taq samaj xuquje' taq nuk'samaj.
Actual,Qitzij
Actual Cost,Qitzij rajil
Actual cost cannot be negative,Ri qitzij rajil man tikirel ta jun itzel ajilab'al
Actual end date cannot be before actual start date,Ri qitzij q'ij rik'isik man tikirel ta nab'e chuwach ri qitzij q'ij rutikirib'al
Actual Hours,Qitzij taq ramaj
Add,Tzijonik
Add a checklist item...,Tzijonik jun ruch'ob'al...
Add a comment...,Tzijonik jun tzij...
Add a comment... (Ctrl+Enter to send),Tzijonik jun tzij... (Ctrl+Enter richin nataq)
Add a description...,Tzijonik jun uchuq'ab'ixik...
Add a milestone description...,Tzijonik jun uchuq'ab'ixik re ri rajilal...
Add a note below to annotate this activity.,Tzijonik jun tz'ib' ikim re richin tz'ib'axik re ri b'anob'al.
Add a note...,Tzijonik jun tz'ib'...
Add a project description...,Tzijonik jun uchuq'ab'ixik re ri nuk'samaj...
Add a task description...,Tzijonik jun uchuq'ab'ixik re ri samaj...
Add checklist item...,Tzijonik jun ruch'ob'al...
Add Contact,Tzijonik jun winaq
Add contacts via the Desk interface or clear filters,Tzijonik taq winaq pa ri Desk o sachaj ri taq chayub'al
Add Dependency,Tzijonik jun tob'al
Add details about this event...,Tzijonik taq retal re ri nimaq'ij...
Add details about this milestone...,Tzijonik taq retal re ri rajilal...
Add details about this task...,Tzijonik taq retal re ri samaj...
Add details or acceptance criteria for this milestone,Tzijonik taq retal o ruk'u'x uk'ulaxik re ri rajilal
"Add details, context, or acceptance criteria","Tzijonik taq retal, ucholaj o ruk'u'x uk'ulaxik"
