+ Add Milestone,+ Adaugă o etapă
+ Create Task,+ Creează o sarcină
+ Log Time,+ Înregistrează timpul
-- Select a project --,-- Selectați un proiect --
0m,0m
1 day,1 zi
1 day ago,acum 1 zi
1 dependency,1 dependență
1 entry,1 intrare
1 file,1 fișier
1 hour ago,acum 1 oră
1 member,1 membru
1 milestone,1 etapă
1 month,1 lună
1 task,1 sarcină
< 1m,< 1m
"A clear, actionable title for the task",Un titlu clar și concret pentru sarcină
A client with email {0} already exists: {1},Un client cu adresa de e-mail {0} există deja: {1}
A key deliverable or checkpoint for the project,Un livrabil cheie sau punct de control al proiectului
Accept,Acceptă
Accepted,Acceptat
Acknowledge,Confirmă primirea
across,în
Action,Acțiune
Actions,Acțiuni
Active,Activ
Active Assignments,Atribuiri active
Active Projects,Proiecte active
Activity,Activitate
Activity data deleted successfully,Datele de activitate au fost șterse cu succes
Activity Info,Informații despre activitate
Activity Stats,Statistici de activitate
Activity will appear here as you work on tasks and projects.,Activitatea va apărea aici pe măsură ce lucrați la sarcini și proiecte.
Actual,Real
Actual Cost,Cost real
Actual cost cannot be negative,Costul real nu poate fi negativ
Actual end date cannot be before actual start date,Data reală de finalizare nu poate fi anterioară datei reale de începere
Actual Hours,Ore reale
Add,Adaugă
Add a checklist item...,Adăugați un element în lista de verificare...
Add a comment...,Adăugați un comentariu...
Add a comment... (Ctrl+Enter to send),Adăugați un comentariu... (Ctrl+Enter pentru a trimite)
Add a description...,Adăugați o descriere...
Add a milestone description...,Adăugați o descriere a etapei...
Add a note below to annotate this activity.,Adăugați o notă mai jos pentru a adnota această activitate.
Add a note...,Adăugați o notă...
Add a project description...,Adăugați o descriere a proiectului...
Add a task description...,Adăugați o descriere a sarcinii...
Add checklist item...,Adăugați un element în lista de verificare...
Add Contact,Adaugă un contact
Add contacts via the Desk interface or clear filters,Adăugați contacte prin interfața Desk sau ștergeți filtrele
Add Dependency,Adaugă o dependență
Add details about this event...,Adăugați detalii despre acest eveniment...
Add details about this milestone...,Adăugați detalii despre această etapă...
Add details about this task...,Adăugați detalii despre această sarcină...
Add details or acceptance criteria for this milestone,Adăugați detalii sau criterii de acceptare pentru această etapă
"Add details, context, or acceptance criteria","Adăugați detalii, context sau criterii de acceptare"
Add first dependency,Adăugați prima dependență
Add item,Adaugă un element
Add items below to track progress.,Adăugați elemente mai jos pentru a urmări progresul.
Add items below to track subtasks,Adăugați elemente mai jos pentru a urmări subsarcinile
Add Milestone,Adaugă o etapă
Add Milestone (Shift+M),Adaugă o etapă (Shift+M)
Add milestones to track key deliverables.,Adăugați etape pentru a urmări livrabilele cheie.
Add New Contact,Adaugă un contact nou
Add Note,Adaugă o notă
Add note,Adaugă o notă
Add notes about this contact...,Adăugați note despre acest contact...
Add reaction,Adaugă o reacție
Add Skill,Adaugă o competență
Add start and due dates to tasks to see them on the Gantt chart,Adăugați date de început și de scadență la sarcini pentru a le vedea pe diagrama Gantt
Add Task,Adaugă o sarcină
