+ Add Milestone,+ Добавить веху
+ Create Task,+ Создать задачу
+ Log Time,+ Записать время
-- Select a project --,-- Выберите проект --
0m,0м
1 day,1 день
1 day ago,1 день назад
1 dependency,1 зависимость
1 entry,1 запись
1 file,1 файл
1 hour ago,1 час назад
1 member,1 участник
1 milestone,1 веха
1 month,1 месяц
1 task,1 задача
< 1m,< 1м
"A clear, actionable title for the task","Понятное, чёткое название задачи"
A client with email {0} already exists: {1},Клиент с адресом электронной почты {0} уже существует: {1}
A key deliverable or checkpoint for the project,Ключевой результат или контрольная точка проекта
Accept,Принять
Accepted,Принято
Acknowledge,Подтвердить
across,во всех
Action,Действие
Actions,Действия
Active,Активный
Active Assignments,Активные назначения
Active Projects,Активные проекты
Activity,Активность
Activity data deleted successfully,Данные активности успешно удалены
Activity Info,Информация об активности
Activity Stats,Статистика активности
Activity will appear here as you work on tasks and projects.,Активность будет отображаться здесь по мере работы над задачами и проектами.
Actual,Фактический
Actual Cost,Фактическая стоимость
Actual cost cannot be negative,Фактическая стоимость не может быть отрицательной
Actual end date cannot be before actual start date,Фактическая дата окончания не может быть раньше фактической даты начала
Actual Hours,Фактические часы
Add,Добавить
Add a checklist item...,Добавить пункт списка...
Add a comment...,Добавить комментарий...
Add a comment... (Ctrl+Enter to send),Добавить комментарий... (Ctrl+Enter для отправки)
Add a description...,Добавить описание...
Add a milestone description...,Добавить описание вехи...
Add a note below to annotate this activity.,Добавьте заметку ниже для пояснения этой активности.
Add a note...,Добавить заметку...
Add a project description...,Добавить описание проекта...
Add a task description...,Добавить описание задачи...
Add checklist item...,Добавить пункт списка...
Add Contact,Добавить контакт
Add contacts via the Desk interface or clear filters,Добавьте контакты через интерфейс Desk или сбросьте фильтры
Add Dependency,Добавить зависимость
Add details about this event...,Добавить подробности об этом событии...
Add details about this milestone...,Добавить подробности об этой вехе...
Add details about this task...,Добавить подробности об этой задаче...
Add details or acceptance criteria for this milestone,Добавить подробности или критерии приёмки для этой вехи
"Add details, context, or acceptance criteria","Добавить подробности, контекст или критерии приёмки"
Add first dependency,Добавить первую зависимость
Add item,Добавить элемент
Add items below to track progress.,Добавьте элементы ниже для отслеживания прогресса.
Add items below to track subtasks,Добавьте элементы ниже для отслеживания подзадач
Add Milestone,Добавить веху
Add Milestone (Shift+M),Добавить веху (Shift+M)
Add milestones to track key deliverables.,Добавьте вехи для отслеживания ключевых результатов.
Add New Contact,Добавить новый контакт
Add Note,Добавить заметку
Add note,Добавить заметку
Add notes about this contact...,Добавить заметки об этом контакте...
Add reaction,Добавить реакцию
Add Skill,Добавить навык
Add start and due dates to tasks to see them on the Gantt chart,Добавьте даты начала и окончания к задачам для отображения на диаграмме Gantt
Add Task,Добавить задачу
Add Task (Shift+T),Добавить задачу (Shift+T)
Added Finish-to-Start dependency,Добавлена зависимость «Финиш-Старт»
Adding this dependency would create a circular reference: {0},Добавление этой зависимости создаст циклическую ссылку: {0}
Adding...,Добавление...
Address,Адрес
Advanced,Расширенные
All,Все
All Active,Все активные
All Assignees,Все исполнители
All Categories,Все категории
All caught up!,Всё актуально!
All Contexts,Все контексты
All day,Весь день
All day event,Событие на весь день
All fields,Все поля
All Priorities,Все приоритеты
All Projects,Все проекты
All Status,Все статусы
All Statuses,Все статусы
All task dependencies & relative dates,Все зависимости задач и относительные даты
All Tasks,Все задачи
All tasks across all projects.,Все задачи во всех проектах.
All tasks are already linked,Все задачи уже связаны
All team members,Все участники команды
All Types,Все типы
All Users,Все пользователи
Allocated,Распределено
allocated,распределено
Allow users to log time against tasks,Разрешить пользователям записывать время по задачам
Already exported to timesheet {0},Уже экспортировано в табель {0}
Already Migrated,Уже перенесено
Anyone with access,Все с доступом
anytime to show this help,в любое время для показа этой справки
App Updates,App Updates
Appearance,Внешний вид
Apply,Применить
Apply cascade?,Применить каскад?
Apply Changes,Применить изменения
Apply failed,Не удалось применить
Apply Template,Применить шаблон
Applying...,Применение...
Appointment,Встреча
Appointment and resource are required,Встреча и ресурс обязательны
Appointment name is required,Название встречи обязательно
Appointment not found,Встреча не найдена
Appointment {0} not found,Встреча {0} не найдена
Apps,Приложения
Archive,Архивировать
Archive Activity,Архивировать активность
Archived,В архиве
Are you sure you want to delete this activity data? This cannot be undone.,"Вы уверены, что хотите удалить эти данные активности? Это действие нельзя отменить."
Are you sure you want to delete this comment?,Вы уверены
Are you sure you want to delete this project?,Вы уверены
Are you sure?,Вы уверены?
Ascending -- click to reverse,По возрастанию — нажмите для обратного порядка
Assign To,Назначить
Assign to Me,Назначить мне
Assigned Contact,Назначенный контакт
Assigned To,Назначено
Assigned to,Назначено
Assigned to Me,Назначено мне
Assignee,Исполнитель
Assignment,Назначение
Assignment History,История назначений
Assignment name is required,Название назначения обязательно
Assignment {0} not found,Назначение {0} не найдено
Assignments,Назначения
At least one action is required,Требуется хотя бы одно действие
At least one event is required,Требуется хотя бы одно событие
At least one event must be selected,Необходимо выбрать хотя бы одно событие
Attachment,Вложение
Attachments,Вложения
Attendees,Участники
"Audit trail, assignments, version history","Журнал действий, назначения, история версий"
Auto,Авто
Auto Calculate Progress,Автоматический расчёт прогресса
Auto Set Missed Milestones,Автоматически отмечать пропущенные вехи
Auto-shift dependents when dates change,Автоматически сдвигать зависимые при изменении дат
Auto-Trail Start,Автоматическое скольжение
Auto-Trail updated,Автоматическое скольжение обновлено
Automatically calculate project progress from task completion,Автоматически рассчитывать прогресс проекта по выполнению задач
Automatically mark milestones as missed when overdue,Автоматически отмечать вехи как пропущенные при просрочке
Automation rule {0} not found,Правило автоматизации {0} не найдено
Automation: {0},Автоматизация: {0}
Availability,Доступность
Available,Доступен
Avatar updated successfully,Аватар успешно обновлён
Avg Progress,Средний прогресс
Back,Назад
Back to Portal,Назад на портал
Back to Projects,Назад к проектам
Beginner,Начинающий
Best regards,С уважением
Billable,Оплачиваемый
Billable Amount,Оплачиваемая сумма
Billable Hours,Оплачиваемые часы
Billable Rate,Оплачиваемая ставка
Billing Rate,Ставка оплаты
Blocked,Заблокировано
Both dates are needed to display task as a bar in Gantt chart,Обе даты нужны для отображения задачи в виде полосы на диаграмме Gantt
Both doctype and docname are required,Требуются и тип документа и имя документа
Both proposed start and end times are required,Требуются и предлагаемое время начала и окончания
Both task_name and depends_on are required,Требуются и task_name и depends_on
Breadcrumb,Навигационная цепочка
Brief description of the defect or damage,Краткое описание дефекта или повреждения
Brief description of this template,Краткое описание этого шаблона
Brief description of your request,Краткое описание вашего запроса
Brief project description,Краткое описание проекта
Budget,Бюджет
Budget at risk,Бюджет под угрозой
Budget Burn Rate,Скорость расходования бюджета
Budget Status,Состояние бюджета
Budget updated,Бюджет обновлён
Budget:,Бюджет:
Bug,Ошибка
Burn Rate,Скорость расходования
Busy,Занят
By,По
By Assignee,По исполнителю
By Group,По группе
By Milestone,По вехе
By Priority,По приоритету
By Status,По статусу
Cancel,Отмена
Cancelled,Отменено
cannot be undone,нельзя отменить
Cannot delete client with {0} linked projects. Unlink projects first.,Невозможно удалить клиента с {0} связанными проектами. Сначала отвяжите проекты.
Cannot delete project with {0} linked tasks. Delete tasks first.,Невозможно удалить проект с {0} связанными задачами. Сначала удалите задачи.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Невозможно удалить ресурс с {0} активными назначениями. Сначала завершите или отмените их.
Cannot delete task with {0} subtasks. Delete subtasks first.,Невозможно удалить задачу с {0} подзадачами. Сначала удалите подзадачи.
Capacity,Нагрузка
capacity,нагрузка
Capacity & Rates,Нагрузка и ставки
Capture project structure for reuse,Сохранить структуру проекта для повторного использования
Cascade,Каскад
Cascade Preview,Предварительный просмотр каскада
Category,Категория
Celebrate,Отпраздновать
Change,Изменить
Change History,История изменений
Change Priority,Изменить приоритет
Change Status,Изменить статус
Changes,Изменения
Changes appear when fields are modified.,Изменения отображаются при редактировании полей.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
