+ Add Milestone,+ Lasit Mearrádusa
+ Create Task,+ Ráhkat Barggu
+ Log Time,+ Čále Áiggi
-- Select a project --,-- Vállje prošeavtta --
0m,0m
1 day,1 beaivi
1 day ago,1 beaivi dassái
1 dependency,1 sorjavuohta
1 entry,1 čállin
1 file,1 fiila
1 hour ago,1 diibmu dassái
1 member,1 lahttu
1 milestone,1 mearrádus
1 month,1 mánnu
1 task,1 bargu
< 1m,< 1m
"A clear, actionable title for the task",Čielga ja doaibmabuvttii bajilčála bargui
A client with email {0} already exists: {1},Áššehas e-poasta-čujuhusain {0} lea juo gávdnamis: {1}
A key deliverable or checkpoint for the project,Guovddáš bohtosat dahje dárkkistanbáiki prošeavttas
Accept,Dohkket
Accepted,Dohkkehuvvon
Acknowledge,Duođašt
across,rasttá
Action,Doaibma
Actions,Doaimmat
Active,Aktiivvalaš
Active Assignments,Aktiivvalaš juolludeamit
Active Projects,Aktiivvalaš prošeavttat
Activity,Doaibma
Activity data deleted successfully,Doaimma dieđut leat lihppejuvvon lihkostuvvan
Activity Info,Doaimma dieđut
Activity Stats,Doaimma statistihkkat
Activity will appear here as you work on tasks and projects.,Doaimmat čájehuvvojit dás go barggat bargguid ja prošeavttaid.
Actual,Duohta
Actual Cost,Duohta golut
Actual cost cannot be negative,Duohta golut eai sáhte leat negatiivvalaččat
Actual end date cannot be before actual start date,Duohta loahppabeavvi ii sáhte leat ovdal duohta álgobeavvi
Actual Hours,Duohta diimmut
Add,Lasit
Add a checklist item...,Lasit dárkkistanlisttu oasi...
Add a comment...,Lasit kommeantara...
Add a comment... (Ctrl+Enter to send),Lasit kommeantara... (Ctrl+Enter sáddet)
Add a description...,Lasit govvádusa...
Add a milestone description...,Lasit mearrádusa govvádusa...
Add a note below to annotate this activity.,Lasit čállosa vuollái dán doaimma čilgehussii.
Add a note...,Lasit čállosa...
Add a project description...,Lasit prošeavtta govvádusa...
Add a task description...,Lasit barggu govvádusa...
Add checklist item...,Lasit dárkkistanlisttu oasi...
Add Contact,Lasit Oktavuođa
Add contacts via the Desk interface or clear filters,Lasit oktavuođaid Desk bokte dahje sihko filttereid
Add Dependency,Lasit Sorjavuođa
Add details about this event...,Lasit dieđuid dán dáhpáhusa birra...
Add details about this milestone...,Lasit dieđuid dán mearrádusa birra...
Add details about this task...,Lasit dieđuid dán barggu birra...
Add details or acceptance criteria for this milestone,Lasit dieđuid dahje dohkkehaneavttuid dán mearrádussii
"Add details, context, or acceptance criteria","Lasit dieđuid, konteavstta, dahje dohkkehaneavttuid"
Add first dependency,Lasit vuosttas sorjavuođa
Add item,Lasit oasi
Add items below to track progress.,Lasit oasit vuollái ovdáneami čuovvumii.
Add items below to track subtasks,Lasit oasit vuollái vuollešbarggu čuovvumii
Add Milestone,Lasit Mearrádusa
Add Milestone (Shift+M),Lasit Mearrádusa (Shift+M)
Add milestones to track key deliverables.,Lasit mearrádusaid guovddáš bohtosiid čuovvumii.
Add New Contact,Lasit Ođđa Oktavuođa
Add Note,Lasit Čállosa
Add note,Lasit čállosa
Add notes about this contact...,Lasit čállosiid dán oktavuođa birra...
Add reaction,Lasit reageren
Add Skill,Lasit Máhtu
Add start and due dates to tasks to see them on the Gantt chart,Lasit álgu- ja áigerássi bargguid oidnumii Gantt-tabeallas
Add Task,Lasit Barggu
Add Task (Shift+T),Lasit Barggu (Shift+T)
Added Finish-to-Start dependency,Loahppa-Álgui sorjavuohta lasihuvvon
Adding this dependency would create a circular reference: {0},Dán sorjavuođa lasihemiin šaddá johtolat čujuhus: {0}
