+ Add Milestone,+ සන්ධිස්ථානයක් එකතු කරන්න
+ Create Task,+ කාර්යක් සාදන්න
+ Log Time,+ කාලය සටහන් කරන්න
-- Select a project --,-- ව්‍යාපෘතියක් තෝරන්න --
0m,0මි
1 day,දින 1
1 day ago,දින 1කට පෙර
1 dependency,පරායත්තතා 1
1 entry,ඇතුළත් කිරීම් 1
1 file,ගොනු 1
1 hour ago,පැය 1කට පෙර
1 member,සාමාජික 1
1 milestone,සන්ධිස්ථාන 1
1 month,මාස 1
1 task,කාර්ය 1
< 1m,< මි 1
"A clear, actionable title for the task","කාර්යය සඳහා පැහැදිලි, ක්‍රියාකාරී මාතෘකාවක්"
A client with email {0} already exists: {1},{0} විද්‍යුත් තැපෑලක් ඇති සේවාදායකයෙක් දැනටමත් පවතී: {1}
A key deliverable or checkpoint for the project,ව්‍යාපෘතිය සඳහා ප්‍රධාන සාධනයක් හෝ පරීක්ෂණ ස්ථානයක්
Accept,පිළිගන්න
Accepted,පිළිගත්තා
Acknowledge,පිළිගැනීම
across,හරහා
Action,ක්‍රියාව
Actions,ක්‍රියා
Active,ක්‍රියාකාරී
Active Assignments,ක්‍රියාකාරී පැවරුම්
Active Projects,ක්‍රියාකාරී ව්‍යාපෘති
Activity,ක්‍රියාකාරකම්
Activity data deleted successfully,ක්‍රියාකාරකම් දත්ත සාර්ථකව මකා දැමිණි
Activity Info,ක්‍රියාකාරකම් තොරතුරු
Activity Stats,ක්‍රියාකාරකම් සංඛ්‍යාලේඛන
Activity will appear here as you work on tasks and projects.,ඔබ කාර්යයන් සහ ව්‍යාපෘති මත වැඩ කරන විට ක්‍රියාකාරකම් මෙහි දිස්වේ.
Actual,සැබෑ
Actual Cost,සැබෑ පිරිවැය
Actual cost cannot be negative,සැබෑ පිරිවැය සෘණ විය නොහැක
Actual end date cannot be before actual start date,සැබෑ අවසන් දිනය සැබෑ ආරම්භ දිනයට පෙර විය නොහැක
Actual Hours,සැබෑ පැය
Add,එක් කරන්න
