+ Add Milestone,+ Dodaj mejnik
+ Create Task,+ Ustvari nalogo
+ Log Time,+ Zabeleži čas
-- Select a project --,-- Izberite projekt --
0m,0m
1 day,1 dan
1 day ago,pred 1 dnem
1 dependency,1 odvisnost
1 entry,1 vnos
1 file,1 datoteka
1 hour ago,pred 1 uro
1 member,1 član
1 milestone,1 mejnik
1 month,1 mesec
1 task,1 naloga
< 1m,< 1m
"A clear, actionable title for the task",Jasen in uporaben naslov za nalogo
A client with email {0} already exists: {1},Stranka z e-poštnim naslovom {0} že obstaja: {1}
A key deliverable or checkpoint for the project,Ključni rezultat ali kontrolna točka za projekt
Accept,Sprejmi
Accepted,Sprejeto
Acknowledge,Potrdi prejem
across,v
Action,Dejanje
Actions,Dejanja
Active,Aktiven
Active Assignments,Aktivne dodelitve
Active Projects,Aktivni projekti
Activity,Dejavnost
Activity data deleted successfully,Podatki o dejavnosti uspešno izbrisani
Activity Info,Podatki o dejavnosti
Activity Stats,Statistika dejavnosti
Activity will appear here as you work on tasks and projects.,"Dejavnost se bo prikazala tukaj, ko boste delali na nalogah in projektih."
Actual,Dejanski
Actual Cost,Dejanski stroški
Actual cost cannot be negative,Dejanski stroški ne morejo biti negativni
Actual end date cannot be before actual start date,Dejanski datum konca ne more biti pred dejanskim datumom začetka
Actual Hours,Dejanske ure
Add,Dodaj
Add a checklist item...,Dodaj element kontrolnega seznama...
Add a comment...,Dodaj komentar...
Add a comment... (Ctrl+Enter to send),Dodaj komentar... (Ctrl+Enter za pošiljanje)
Add a description...,Dodaj opis...
Add a milestone description...,Dodaj opis mejnika...
Add a note below to annotate this activity.,Dodajte opombo spodaj za označitev te dejavnosti.
Add a note...,Dodaj opombo...
Add a project description...,Dodaj opis projekta...
Add a task description...,Dodaj opis naloge...
Add checklist item...,Dodaj element kontrolnega seznama...
Add Contact,Dodaj stik
Add contacts via the Desk interface or clear filters,Dodajte stike prek vmesnika Desk ali počistite filtre
Add Dependency,Dodaj odvisnost
Add details about this event...,Dodaj podrobnosti o tem dogodku...
Add details about this milestone...,Dodaj podrobnosti o tem mejniku...
Add details about this task...,Dodaj podrobnosti o tej nalogi...
Add details or acceptance criteria for this milestone,Dodaj podrobnosti ali merila za sprejem tega mejnika
"Add details, context, or acceptance criteria","Dodaj podrobnosti, kontekst ali merila za sprejem"
Add first dependency,Dodaj prvo odvisnost
Add item,Dodaj element
Add items below to track progress.,Dodajte elemente spodaj za spremljanje napredka.
Add items below to track subtasks,Dodajte elemente spodaj za spremljanje podnaloge
Add Milestone,Dodaj mejnik
Add Milestone (Shift+M),Dodaj mejnik (Shift+M)
Add milestones to track key deliverables.,Dodajte mejnike za spremljanje ključnih rezultatov.
Add New Contact,Dodaj nov stik
Add Note,Dodaj opombo
Add note,Dodaj opombo
Add notes about this contact...,Dodaj opombe o tem stiku...
Add reaction,Dodaj odziv
Add Skill,Dodaj veščino
Add start and due dates to tasks to see them on the Gantt chart,Dodajte začetne datume in roke nalogam za prikaz na Gantt diagramu
Add Task,Dodaj nalogo
Add Task (Shift+T),Dodaj nalogo (Shift+T)
Added Finish-to-Start dependency,Dodana odvisnost konec-začetek
Adding this dependency would create a circular reference: {0},Dodajanje te odvisnosti bi ustvarilo krožno sklicevanje: {0}
Adding...,Dodajanje...
Address,Naslov
Advanced,Napredno
All,Vsi
All Active,Vsi aktivni
All Assignees,Vsi dodeljeni
All Categories,Vse kategorije
All caught up!,Vse je ažurno!
All Contexts,Vsi konteksti
All day,Cel dan
All day event,Celodnevni dogodek
All fields,Vsa polja
All Priorities,Vse prioritete
All Projects,Vsi projekti
All Status,Vsa stanja
All Statuses,Vsa stanja
All task dependencies & relative dates,Vse odvisnosti nalog in relativni datumi
All Tasks,Vse naloge
All tasks across all projects.,Vse naloge v vseh projektih.
All tasks are already linked,Vse naloge so že povezane
All team members,Vsi člani ekipe
All Types,Vse vrste
All Users,Vsi uporabniki
Allocated,Dodeljeno
allocated,dodeljeno
Allow users to log time against tasks,Dovoli uporabnikom beleženje časa za naloge
Already exported to timesheet {0},Že izvoženo v časovnico {0}
Already Migrated,Že preseljeno
Anyone with access,Vsakdo z dostopom
anytime to show this help,kadarkoli za prikaz te pomoči
App Updates,App Updates
Appearance,Videz
Apply,Uporabi
Apply cascade?,Uporabi kaskado?
Apply Changes,Uporabi spremembe
Apply failed,Uporaba ni uspela
Apply Template,Uporabi predlogo
Applying...,Uporaba v teku...
Appointment,Sestanek
Appointment and resource are required,Sestanek in vir sta obvezna
Appointment name is required,Ime sestanka je obvezno
Appointment not found,Sestanek ni najden
Appointment {0} not found,Sestanek {0} ni najden
Apps,Aplikacije
Archive,Arhiviraj
Archive Activity,Arhiviraj dejavnost
Archived,Arhivirano
Are you sure you want to delete this activity data? This cannot be undone.,"Ali ste prepričani, da želite izbrisati te podatke o dejavnosti? Tega ni mogoče razveljaviti."
Are you sure you want to delete this comment?,Ali ste prepričani
Are you sure you want to delete this project?,Ali ste prepričani
Are you sure?,Ali ste prepričani?
Ascending -- click to reverse,Naraščajoče -- kliknite za obratno
Assign To,Dodeli
Assign to Me,Dodeli meni
Assigned Contact,Dodeljeni stik
Assigned To,Dodeljeno
Assigned to,Dodeljeno
Assigned to Me,Dodeljeno meni
Assignee,Dodeljenec
Assignment,Dodelitev
Assignment History,Zgodovina dodelitev
Assignment name is required,Ime dodelitve je obvezno
Assignment {0} not found,Dodelitev {0} ni najdena
Assignments,Dodelitve
At least one action is required,Zahtevano je vsaj eno dejanje
At least one event is required,Zahtevan je vsaj en dogodek
At least one event must be selected,Izbran mora biti vsaj en dogodek
Attachment,Priloga
Attachments,Priloge
Attendees,Udeleženci
"Audit trail, assignments, version history","Revizijska sled, dodelitve, zgodovina različic"
Auto,Samodejno
Auto Calculate Progress,Samodejno izračunaj napredek
Auto Set Missed Milestones,Samodejno označi zamujene mejnike
Auto-shift dependents when dates change,Samodejno premakni odvisne ob spremembi datumov
Auto-Trail Start,Samodejni drsni začetek
Auto-Trail updated,Samodejni drsni začetek posodobljen
Automatically calculate project progress from task completion,Samodejno izračunaj napredek projekta iz dokončanja nalog
Automatically mark milestones as missed when overdue,Samodejno označi mejnike kot zamujene ob zamudi
Automation rule {0} not found,Pravilo avtomatizacije {0} ni najdeno
Automation: {0},Avtomatizacija: {0}
Availability,Razpoložljivost
Available,Na voljo
Avatar updated successfully,Slika profila uspešno posodobljena
Avg Progress,Povprečni napredek
Back,Nazaj
Back to Portal,Nazaj na portal
Back to Projects,Nazaj na projekte
Beginner,Začetnik
Best regards,Lep pozdrav
Billable,Zaračunljivo
Billable Amount,Zaračunljiv znesek
Billable Hours,Zaračunljive ure
Billable Rate,Zaračunljiva postavka
Billing Rate,Postavka za zaračunavanje
Blocked,Blokirano
Both dates are needed to display task as a bar in Gantt chart,Oba datuma sta potrebna za prikaz naloge kot vrstice v Gantt diagramu
Both doctype and docname are required,Oba podatka doctype in docname sta obvezna
Both proposed start and end times are required,Oba predlagana časa začetka in konca sta obvezna
Both task_name and depends_on are required,Oba podatka task_name in depends_on sta obvezna
Breadcrumb,Drobtine
Brief description of the defect or damage,Kratek opis napake ali poškodbe
Brief description of this template,Kratek opis te predloge
Brief description of your request,Kratek opis vaše zahteve
Brief project description,Kratek opis projekta
Budget,Proračun
Budget at risk,Proračun ogrožen
Budget Burn Rate,Stopnja porabe proračuna
Budget Status,Stanje proračuna
Budget updated,Proračun posodobljen
Budget:,Proračun:
Bug,Napaka
Burn Rate,Stopnja porabe
Busy,Zaseden
By,Od
By Assignee,Po dodeljencu
By Group,Po skupini
By Milestone,Po mejniku
By Priority,Po prioriteti
By Status,Po stanju
Cancel,Prekliči
Cancelled,Preklicano
cannot be undone,ni mogoče razveljaviti
Cannot delete client with {0} linked projects. Unlink projects first.,Stranke s {0} povezanimi projekti ni mogoče izbrisati. Najprej odpovežite projekte.
Cannot delete project with {0} linked tasks. Delete tasks first.,Projekta s {0} povezanimi nalogami ni mogoče izbrisati. Najprej izbrišite naloge.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Vira s {0} aktivnimi dodelitvami ni mogoče izbrisati. Najprej jih dokončajte ali prekličite.
Cannot delete task with {0} subtasks. Delete subtasks first.,Naloge s {0} podnaloge ni mogoče izbrisati. Najprej izbrišite podnaloge.
Capacity,Zmogljivost
capacity,zmogljivost
Capacity & Rates,Zmogljivost in postavke
Capture project structure for reuse,Zajemite strukturo projekta za ponovno uporabo
Cascade,Kaskada
Cascade Preview,Predogled kaskade
Category,Kategorija
Celebrate,Proslavi
Change,Spremeni
Change History,Zgodovina sprememb
Change Priority,Spremeni prioriteto
Change Status,Spremeni stanje
Changes,Spremembe
Changes appear when fields are modified.,Spremembe se prikažejo ob spremembi polj.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Kontrolni seznam
Checklist item name is required,Ime elementa kontrolnega seznama je obvezno
Checklist item not found,Element kontrolnega seznama ni najden
Checklist item title is required,Naslov elementa kontrolnega seznama je obvezen
Checklist item {0} not found,Element kontrolnega seznama {0} ni najden
Checklist item {0} not found in task,Element kontrolnega seznama {0} ni najden v nalogi
Child,Podrejeni
Choose file to upload,Izberite datoteko za nalaganje
Circular dependency detected: {0},Zaznana krožna odvisnost: {0}
Circular parent-child relationship detected,Zaznano krožno razmerje nadrejeni-podrejeni
Clear,Počisti
Clear all read,Počisti vse prebrane
Clear date,Počisti datum
Click on an activity from the list to view and manage its details.,Kliknite na dejavnost s seznama za ogled in upravljanje podrobnosti.
Click the avatar to upload a new photo,Kliknite na sliko profila za nalaganje nove fotografije
Click to add description...,Kliknite za dodajanje opisa...
Click to add notes...,Kliknite za dodajanje opomb...
Click to assign contact,Kliknite za dodelitev stika
Click to change status,Kliknite za spremembo stanja
Click to change type,Kliknite za spremembo vrste
Click to edit,Kliknite za urejanje
Click to edit budget,Kliknite za urejanje proračuna
Click to edit description,Kliknite za urejanje opisa
Click to edit end date,Kliknite za urejanje datuma konca
Click to edit milestone name,Kliknite za urejanje imena mejnika
Click to edit rate,Kliknite za urejanje postavke
Click to edit start date,Kliknite za urejanje datuma začetka
Click to edit title,Kliknite za urejanje naslova
Click to load,Kliknite za nalaganje
Click to set group dependency...,Kliknite za nastavitev odvisnosti skupine...
Click to set group...,Kliknite za nastavitev skupine...
Click to view,Kliknite za ogled
Click to view at-risk projects,Kliknite za ogled ogroženih projektov
Click to view critical projects,Kliknite za ogled kritičnih projektov
Click to view healthy projects,Kliknite za ogled zdravih projektov
Client,Stranka
Client already has a portal user: {0},Stranka že ima uporabnika portala: {0}
Client already has portal access,Stranka že ima dostop do portala
Client has no portal user to revoke,Stranka nima uporabnika portala za preklic
Client link removed from project {0},Povezava stranke odstranjena iz projekta {0}
Client Portal,Portal za stranke
Client {0} deleted successfully,Stranka {0} uspešno izbrisana
Close,Zapri
Close (Esc),Zapri (Esc)
Comment,Komentar
comment,komentar
Comment added,Komentar dodan
Comment content is required,Vsebina komentarja je obvezna
Comment name is required,Ime komentarja je obvezno
Comment not found,Komentar ni najden
Comment removed,Komentar odstranjen
Comment {0} not found in task,Komentar {0} ni najden v nalogi
Comments,Komentarji
comments,komentarji
Community Edition,Community Edition
Company,Podjetje
Company name...,Ime podjetja...
Complete,Dokončaj
Completed,Dokončano
completed,dokončano
Completed Tasks,Dokončane naloge
Compliance,Skladnost
Configure default values for new projects and tasks,Nastavite privzete vrednosti za nove projekte in naloge
Configure email notification settings,Nastavite nastavitve e-poštnih obvestil
Confirm,Potrdi
Contact deleted,Stik izbrisan
Contact Details,Podrobnosti stika
Contact Information,Kontaktni podatki
Contact name is required,Ime stika je obvezno
Contact Support,Obrnite se na podporo
Contact your project manager for more information.,Za več informacij se obrnite na vodjo projekta.
Contact:,Stik:
Contacts,Stiki
Context,Kontekst
Contractor,Izvajalec
Cost estimate cannot be negative,Ocena stroškov ne more biti negativna
Cost Impact,Vpliv na stroške
Cost Summary,Povzetek stroškov
Could not apply the template. Please try again.,Predloge ni bilo mogoče uporabiti. Poskusite znova.
Could not attach file to project,Datoteke ni bilo mogoče priložiti projektu
Could not change task priority,Prioritete naloge ni bilo mogoče spremeniti
Could not change task status,Stanja naloge ni bilo mogoče spremeniti
Could not delete the project. Please try again.,Projekta ni bilo mogoče izbrisati. Poskusite znova.
Could not delete the task. Please try again.,Naloge ni bilo mogoče izbrisati. Poskusite znova.
Could not delete the template.,Predloge ni bilo mogoče izbrisati.
Could not duplicate the task. Please try again.,Naloge ni bilo mogoče podvojiti. Poskusite znova.
Could not export the template.,Predloge ni bilo mogoče izvoziti.
Could not import the template. Please check the file format.,Predloge ni bilo mogoče uvoziti. Preverite obliko datoteke.
Could not link task to milestone,Naloge ni bilo mogoče povezati z mejnikom
Could not load document details.,Podrobnosti dokumenta ni bilo mogoče naložiti.
Could not load task details,Podrobnosti naloge ni bilo mogoče naložiti
Could not promote checklist item to task.,Elementa kontrolnega seznama ni bilo mogoče povišati v nalogo.
Could not remove task from milestone,Naloge ni bilo mogoče odstraniti iz mejnika
Could not save budget.,Proračuna ni bilo mogoče shraniti.
Could not save changes to the milestone,Sprememb mejnika ni bilo mogoče shraniti
Could not save changes to the task,Sprememb naloge ni bilo mogoče shraniti
Could not save description.,Opisa ni bilo mogoče shraniti.
Could not save end date.,Datuma konca ni bilo mogoče shraniti.
Could not save milestone name.,Imena mejnika ni bilo mogoče shraniti.
Could not save start date.,Datuma začetka ni bilo mogoče shraniti.
Could not save the template. Please try again.,Predloge ni bilo mogoče shraniti. Poskusite znova.
Could not save title.,Naslova ni bilo mogoče shraniti.
Could not update dependency mode.,Načina odvisnosti ni bilo mogoče posodobiti.
Could not update milestone date,Datuma mejnika ni bilo mogoče posodobiti
Could not update project status.,Stanja projekta ni bilo mogoče posodobiti.
Could not update project type.,Vrste projekta ni bilo mogoče posodobiti.
Could not update setting.,Nastavitve ni bilo mogoče posodobiti.
Could not update task dates,Datumov naloge ni bilo mogoče posodobiti
Could not update task status,Stanja naloge ni bilo mogoče posodobiti
Could not update the template.,Predloge ni bilo mogoče posodobiti.
Create a copy of this task,Ustvari kopijo te naloge
Create Contact,Ustvari stik
Create Event,Ustvari dogodek
Create Milestone,Ustvari mejnik
Create New Milestone,Ustvari nov mejnik
Create New Task,Ustvari novo nalogo
Create Project,Ustvari projekt
Create Task,Ustvari nalogo
Create tasks and milestones from a template,Ustvari naloge in mejnike iz predloge
Create your first project to get started.,Ustvarite svoj prvi projekt za začetek.
