+ Add Milestone,+ Shto pikë referimi
+ Create Task,+ Krijo detyrë
+ Log Time,+ Regjistro kohën
-- Select a project --,-- Zgjidhni një projekt --
0m,0m
1 day,1 ditë
1 day ago,1 ditë më parë
1 dependency,1 varësi
1 entry,1 zë
1 file,1 skedar
1 hour ago,1 orë më parë
1 member,1 anëtar
1 milestone,1 pikë referimi
1 month,1 muaj
1 task,1 detyrë
< 1m,< 1m
"A clear, actionable title for the task",Një titull i qartë dhe i zbatueshëm për detyrën
A client with email {0} already exists: {1},Një klient me adresë emaili {0} ekziston tashmë: {1}
A key deliverable or checkpoint for the project,Një rezultat kyç ose pikë kontrolli për projektin
Accept,Prano
Accepted,Pranuar
Acknowledge,Konfirmo marrjen
across,në
Action,Veprim
Actions,Veprime
Active,Aktiv
Active Assignments,Caktime aktive
Active Projects,Projekte aktive
Activity,Aktivitet
Activity data deleted successfully,Të dhënat e aktivitetit u fshinë me sukses
Activity Info,Informacione mbi aktivitetin
Activity Stats,Statistika aktiviteti
Activity will appear here as you work on tasks and projects.,Aktiviteti do të shfaqet këtu ndërsa punoni në detyra dhe projekte.
Actual,Aktual
Actual Cost,Kosto aktuale
Actual cost cannot be negative,Kostoja aktuale nuk mund të jetë negative
Actual end date cannot be before actual start date,Data aktuale e mbarimit nuk mund të jetë përpara datës aktuale të fillimit
Actual Hours,Orë aktuale
Add,Shto
Add a checklist item...,Shto një zë në listën e kontrollit...
Add a comment...,Shto një koment...
Add a comment... (Ctrl+Enter to send),Shto një koment... (Ctrl+Enter për të dërguar)
Add a description...,Shto një përshkrim...
Add a milestone description...,Shto një përshkrim të pikës së referimit...
Add a note below to annotate this activity.,Shtoni një shënim më poshtë për të shënuar këtë aktivitet.
Add a note...,Shto një shënim...
Add a project description...,Shto një përshkrim projekti...
Add a task description...,Shto një përshkrim detyre...
Add checklist item...,Shto zë në listën e kontrollit...
Add Contact,Shto kontakt
Add contacts via the Desk interface or clear filters,Shtoni kontakte nëpërmjet ndërfaqes Desk ose pastroni filtrat
Add Dependency,Shto varësi
Add details about this event...,Shto detaje rreth këtij eventi...
Add details about this milestone...,Shto detaje rreth kësaj pike referimi...
Add details about this task...,Shto detaje rreth kësaj detyre...
Add details or acceptance criteria for this milestone,Shto detaje ose kritere pranimi për këtë pikë referimi
"Add details, context, or acceptance criteria","Shto detaje, kontekst ose kritere pranimi"
Add first dependency,Shto varësinë e parë
Add item,Shto zë
Add items below to track progress.,Shtoni zëra më poshtë për të ndjekur progresin.
Add items below to track subtasks,Shtoni zëra më poshtë për të ndjekur nëndetyrat
Add Milestone,Shto pikë referimi
Add Milestone (Shift+M),Shto pikë referimi (Shift+M)
Add milestones to track key deliverables.,Shtoni pika referimi për të ndjekur rezultatet kyçe.
Add New Contact,Shto kontakt të ri
Add Note,Shto shënim
Add note,Shto shënim
Add notes about this contact...,Shto shënime rreth këtij kontakti...
Add reaction,Shto reagim
Add Skill,Shto aftësi
Add start and due dates to tasks to see them on the Gantt chart,Shtoni datat e fillimit dhe afatit në detyra për t'i parë në grafikun Gantt
Add Task,Shto detyrë
Add Task (Shift+T),Shto detyrë (Shift+T)
Added Finish-to-Start dependency,Varësi Fund-në-Fillim e shtuar
Adding this dependency would create a circular reference: {0},Shtimi i kësaj varësie do të krijonte një referencë rrethore: {0}
Adding...,Duke shtuar...
Address,Adresë
Advanced,Avancuar
All,Të gjitha
All Active,Të gjitha aktive
All Assignees,Të gjithë të caktuarit
All Categories,Të gjitha kategoritë
All caught up!,Gjithçka është e përditësuar!
All Contexts,Të gjitha kontekstet
All day,Gjithë ditën
All day event,Event gjithëditor
All fields,Të gjitha fushat
All Priorities,Të gjitha prioritetet
All Projects,Të gjitha projektet
All Status,Të gjitha statuset
All Statuses,Të gjitha statuset
All task dependencies & relative dates,Të gjitha varësitë e detyrave dhe datat relative
All Tasks,Të gjitha detyrat
All tasks across all projects.,Të gjitha detyrat në të gjitha projektet.
All tasks are already linked,Të gjitha detyrat janë tashmë të lidhura
All team members,Të gjithë anëtarët e ekipit
All Types,Të gjitha llojet
All Users,Të gjithë përdoruesit
Allocated,Ndarë
allocated,ndarë
Allow users to log time against tasks,Lejo përdoruesit të regjistrojnë kohë për detyrat
