+ Add Milestone,+ Додај прекретницу
+ Create Task,+ Направи задатак
+ Log Time,+ Забележи време
-- Select a project --,-- Изаберите пројекат --
0m,0м
1 day,1 дан
1 day ago,пре 1 дана
1 dependency,1 зависност
1 entry,1 унос
1 file,1 фајл
1 hour ago,пре 1 сата
1 member,1 члан
1 milestone,1 прекретница
1 month,1 месец
1 task,1 задатак
< 1m,< 1м
"A clear, actionable title for the task","Јасан, разумљив назив задатка"
A client with email {0} already exists: {1},Клијент са адресом е-поште {0} већ постоји: {1}
A key deliverable or checkpoint for the project,Кључни резултат или контролна тачка пројекта
Accept,Прихвати
Accepted,Прихваћено
Acknowledge,Потврди
across,у свим
Action,Радња
Actions,Радње
Active,Активан
Active Assignments,Активна задужења
Active Projects,Активни пројекти
Activity,Активност
Activity data deleted successfully,Подаци о активности су успешно обрисани
Activity Info,Подаци о активности
Activity Stats,Статистика активности
Activity will appear here as you work on tasks and projects.,Активност ће се приказивати овде док радите на задацима и пројектима.
Actual,Стварни
Actual Cost,Стварна цена
Actual cost cannot be negative,Стварна цена не може бити негативна
Actual end date cannot be before actual start date,Стварни датум завршетка не може бити пре стварног датума почетка
Actual Hours,Стварни сати
Add,Додај
Add a checklist item...,Додај ставку на листу...
Add a comment...,Додај коментар...
Add a comment... (Ctrl+Enter to send),Додај коментар... (Ctrl+Enter за слање)
Add a description...,Додај опис...
Add a milestone description...,Додај опис прекретнице...
Add a note below to annotate this activity.,Додајте белешку испод за појашњење ове активности.
Add a note...,Додај белешку...
Add a project description...,Додај опис пројекта...
Add a task description...,Додај опис задатка...
Add checklist item...,Додај ставку на листу...
Add Contact,Додај контакт
Add contacts via the Desk interface or clear filters,Додајте контакте преко Desk интерфејса или обришите филтере
Add Dependency,Додај зависност
Add details about this event...,Додај детаље о овом догађају...
Add details about this milestone...,Додај детаље о овој прекретници...
Add details about this task...,Додај детаље о овом задатку...
Add details or acceptance criteria for this milestone,Додај детаље или критеријуме прихватања за ову прекретницу
"Add details, context, or acceptance criteria","Додај детаље, контекст или критеријуме прихватања"
Add first dependency,Додај прву зависност
Add item,Додај ставку
Add items below to track progress.,Додајте ставке испод за праћење напретка.
Add items below to track subtasks,Додајте ставке испод за праћење подзадатака
Add Milestone,Додај прекретницу
Add Milestone (Shift+M),Додај прекретницу (Shift+M)
Add milestones to track key deliverables.,Додајте прекретнице за праћење кључних резултата.
Add New Contact,Додај нови контакт
Add Note,Додај белешку
Add note,Додај белешку
Add notes about this contact...,Додај белешке о овом контакту...
Add reaction,Додај реакцију
Add Skill,Додај вештину
Add start and due dates to tasks to see them on the Gantt chart,Додајте датуме почетка и завршетка задацима за приказ на Gantt дијаграму
Add Task,Додај задатак
Add Task (Shift+T),Додај задатак (Shift+T)
Added Finish-to-Start dependency,Додата зависност «Крај-Почетак»
Adding this dependency would create a circular reference: {0},Додавање ове зависности би створило кружну референцу: {0}
Adding...,Додавање...
Address,Адреса
Advanced,Напредно
All,Сви
All Active,Сви активни
All Assignees,Сви задужени
All Categories,Све категорије
All caught up!,Све је ажурно!
All Contexts,Сви контексти
All day,Цео дан
All day event,Целодневни догађај
All fields,Сва поља
All Priorities,Сви приоритети
All Projects,Сви пројекти
All Status,Сви статуси
All Statuses,Сви статуси
All task dependencies & relative dates,Све зависности задатака и релативни датуми
All Tasks,Сви задаци
All tasks across all projects.,Сви задаци из свих пројеката.
All tasks are already linked,Сви задаци су већ повезани
All team members,Сви чланови тима
All Types,Сви типови
All Users,Сви корисници
Allocated,Распоређено
allocated,распоређено
Allow users to log time against tasks,Дозволи корисницима да бележе време по задацима
Already exported to timesheet {0},Већ извезено у табелу {0}
Already Migrated,Већ пренесено
Anyone with access,Свако ко има приступ
