+ Add Milestone,+ Lagg till milstolpe
+ Create Task,+ Skapa uppgift
+ Log Time,+ Registrera tid
-- Select a project --,-- Valj ett projekt --
0m,0m
1 day,1 dag
1 day ago,for 1 dag sedan
1 dependency,1 beroende
1 entry,1 post
1 file,1 fil
1 hour ago,for 1 timme sedan
1 member,1 medlem
1 milestone,1 milstolpe
1 month,1 manad
1 task,1 uppgift
< 1m,< 1m
"A clear, actionable title for the task","En tydlig, handlingsbar titel for uppgiften"
A client with email {0} already exists: {1},En klient med e-post {0} finns redan: {1}
A key deliverable or checkpoint for the project,En viktig leverans eller kontrollpunkt for projektet
Accept,Acceptera
Accepted,Accepterad
Acknowledge,Bekrafta mottagande
across,i
Action,Atgard
Actions,Atgarder
Active,Aktiv
Active Assignments,Aktiva tilldelningar
Active Projects,Aktiva projekt
Activity,Aktivitet
Activity data deleted successfully,Aktivitetsdata raderades
Activity Info,Aktivitetsinformation
Activity Stats,Aktivitetsstatistik
Activity will appear here as you work on tasks and projects.,Aktivitet visas har nar du arbetar med uppgifter och projekt.
Actual,Faktisk
Actual Cost,Faktisk kostnad
Actual cost cannot be negative,Faktisk kostnad kan inte vara negativ
Actual end date cannot be before actual start date,Faktiskt slutdatum kan inte vara fore faktiskt startdatum
Actual Hours,Faktiska timmar
Add,Lagg till
Add a checklist item...,Lagg till ett kontrollpunkt...
Add a comment...,Lagg till en kommentar...
Add a comment... (Ctrl+Enter to send),Lagg till en kommentar... (Ctrl+Enter for att skicka)
Add a description...,Lagg till en beskrivning...
Add a milestone description...,Lagg till en milstolpebeskrivning...
Add a note below to annotate this activity.,Lagg till en anteckning nedan for att kommentera denna aktivitet.
Add a note...,Lagg till en anteckning...
Add a project description...,Lagg till en projektbeskrivning...
Add a task description...,Lagg till en uppgiftsbeskrivning...
Add checklist item...,Lagg till kontrollpunkt...
Add Contact,Lagg till kontakt
Add contacts via the Desk interface or clear filters,Lagg till kontakter via Desk-granssnittet eller rensa filtren
Add Dependency,Lagg till beroende
Add details about this event...,Lagg till detaljer om detta evenemang...
Add details about this milestone...,Lagg till detaljer om denna milstolpe...
Add details about this task...,Lagg till detaljer om denna uppgift...
Add details or acceptance criteria for this milestone,Lagg till detaljer eller godkannandekriterier for denna milstolpe
"Add details, context, or acceptance criteria","Lagg till detaljer, sammanhang eller godkannandekriterier"
Add first dependency,Lagg till forsta beroende
Add item,Lagg till element
Add items below to track progress.,Lagg till element nedan for att folja framstegen.
Add items below to track subtasks,Lagg till element nedan for att folja deluppgifter
Add Milestone,Lagg till milstolpe
Add Milestone (Shift+M),Lagg till milstolpe (Shift+M)
Add milestones to track key deliverables.,Lagg till milstolpar for att folja viktiga leveranser.
Add New Contact,Lagg till ny kontakt
Add Note,Lagg till anteckning
Add note,Lagg till anteckning
Add notes about this contact...,Lagg till anteckningar om denna kontakt...
Add reaction,Lagg till reaktion
Add Skill,Lagg till kompetens
Add start and due dates to tasks to see them on the Gantt chart,Lagg till start- och forfallodatum pa uppgifter for att se dem i Gantt-schemat
Add Task,Lagg till uppgift
Add Task (Shift+T),Lagg till uppgift (Shift+T)
Added Finish-to-Start dependency,Slut-till-start-beroende tillagt
Adding this dependency would create a circular reference: {0},Att lagga till detta beroende skulle skapa en cirkelreferens: {0}
Adding...,Lagger till...
Address,Adress
Advanced,Avancerat
All,Alla
All Active,Alla aktiva
All Assignees,Alla tilldelade
All Categories,Alla kategorier
All caught up!,Allt ar uppdaterat!
All Contexts,Alla sammanhang
All day,Hela dagen
All day event,Heldagsevenemang
All fields,Alla falt
All Priorities,Alla prioriteter
All Projects,Alla projekt
All Status,Alla statusar
All Statuses,Alla statusar
All task dependencies & relative dates,Alla uppgiftsberoenden och relativa datum
All Tasks,Alla uppgifter
All tasks across all projects.,Alla uppgifter i alla projekt.
All tasks are already linked,Alla uppgifter ar redan lankade
All team members,Alla teammedlemmar
All Types,Alla typer
All Users,Alla anvandare
Allocated,Tilldelad
allocated,tilldelad
Allow users to log time against tasks,Tillat anvandare att registrera tid pa uppgifter
Already exported to timesheet {0},Redan exporterad till tidrapport {0}
Already Migrated,Redan migrerad
Anyone with access,Alla med atkomst
anytime to show this help,nar som helst for att visa denna hjalp
App Updates,App Updates
Appearance,Utseende
Apply,Tillampa
Apply cascade?,Tillampa kaskad?
Apply Changes,Tillampa andringar
Apply failed,Tillampa misslyckades
Apply Template,Tillampa mall
Applying...,Tillampar...
Appointment,Mote
Appointment and resource are required,Mote och resurs kravs
Appointment name is required,Motesnamn kravs
Appointment not found,Mote hittades inte
Appointment {0} not found,Mote {0} hittades inte
Apps,Appar
Archive,Arkivera
Archive Activity,Arkivera aktivitet
Archived,Arkiverad
Are you sure you want to delete this activity data? This cannot be undone.,Ar du saker pa att du vill radera dessa aktivitetsdata? Detta kan inte angras.
Are you sure you want to delete this comment?,Ar du saker pa att du vill radera denna kommentar?
Are you sure you want to delete this project?,Ar du saker pa att du vill radera detta projekt?
Are you sure?,Ar du saker?
Ascending -- click to reverse,Stigande -- klicka for att kasta om
Assign To,Tilldela till
Assign to Me,Tilldela till mig
Assigned Contact,Tilldelad kontakt
Assigned To,Tilldelad till
Assigned to,Tilldelad till
Assigned to Me,Tilldelad till mig
Assignee,Tilldelad
Assignment,Tilldelning
Assignment History,Tilldelningshistorik
Assignment name is required,Tilldelningsnamn kravs
