+ Add Milestone,+ Ongeza Hatua Muhimu
+ Create Task,+ Unda Kazi
+ Log Time,+ Rekodi Muda
-- Select a project --,-- Chagua mradi --
0m,0d
1 day,siku 1
1 day ago,siku 1 iliyopita
1 dependency,tegemezi 1
1 entry,ingizo 1
1 file,faili 1
1 hour ago,saa 1 iliyopita
1 member,mwanachama 1
1 milestone,hatua muhimu 1
1 month,mwezi 1
1 task,kazi 1
< 1m,< 1d
"A clear, actionable title for the task",Kichwa wazi na chenye hatua kwa kazi
A client with email {0} already exists: {1},Mteja mwenye barua pepe {0} tayari yupo: {1}
A key deliverable or checkpoint for the project,Matokeo muhimu au kituo cha ukaguzi kwa mradi
Accept,Kubali
Accepted,Imekubaliwa
Acknowledge,Thibitisha
across,katika
Action,Hatua
Actions,Hatua
Active,Inafanya kazi
Active Assignments,Mgawanyo unaofanya kazi
Active Projects,Miradi inayofanya kazi
Activity,Shughuli
Activity data deleted successfully,Data ya shughuli imefutwa kwa mafanikio
Activity Info,Taarifa za shughuli
Activity Stats,Takwimu za shughuli
Activity will appear here as you work on tasks and projects.,Shughuli zitaonekana hapa unapofanya kazi kwenye kazi na miradi.
Actual,Halisi
Actual Cost,Gharama halisi
Actual cost cannot be negative,Gharama halisi haiwezi kuwa hasi
Actual end date cannot be before actual start date,Tarehe ya mwisho halisi haiwezi kuwa kabla ya tarehe ya kuanza halisi
Actual Hours,Masaa halisi
Add,Ongeza
Add a checklist item...,Ongeza kipengee cha orodha ya ukaguzi...
Add a comment...,Ongeza maoni...
Add a comment... (Ctrl+Enter to send),Ongeza maoni... (Ctrl+Enter kutuma)
Add a description...,Ongeza maelezo...
Add a milestone description...,Ongeza maelezo ya hatua muhimu...
Add a note below to annotate this activity.,Ongeza dokezo hapa chini kuandikia shughuli hii.
Add a note...,Ongeza dokezo...
Add a project description...,Ongeza maelezo ya mradi...
Add a task description...,Ongeza maelezo ya kazi...
Add checklist item...,Ongeza kipengee cha orodha ya ukaguzi...
Add Contact,Ongeza Mawasiliano
Add contacts via the Desk interface or clear filters,Ongeza mawasiliano kupitia Desk au ondoa vichujio
Add Dependency,Ongeza Tegemezi
Add details about this event...,Ongeza maelezo kuhusu tukio hili...
Add details about this milestone...,Ongeza maelezo kuhusu hatua hii muhimu...
Add details about this task...,Ongeza maelezo kuhusu kazi hii...
Add details or acceptance criteria for this milestone,Ongeza maelezo au vigezo vya kukubalika kwa hatua hii muhimu
"Add details, context, or acceptance criteria","Ongeza maelezo, muktadha, au vigezo vya kukubalika"
Add first dependency,Ongeza tegemezi ya kwanza
Add item,Ongeza kipengee
Add items below to track progress.,Ongeza vipengee hapa chini kufuatilia maendeleo.
Add items below to track subtasks,Ongeza vipengee hapa chini kufuatilia kazi ndogo
Add Milestone,Ongeza Hatua Muhimu
Add Milestone (Shift+M),Ongeza Hatua Muhimu (Shift+M)
Add milestones to track key deliverables.,Ongeza hatua muhimu kufuatilia matokeo muhimu.
Add New Contact,Ongeza Mawasiliano Mapya
Add Note,Ongeza Dokezo
Add note,Ongeza dokezo
Add notes about this contact...,Ongeza madokezo kuhusu mawasiliano haya...
Add reaction,Ongeza mwitikio
Add Skill,Ongeza Ujuzi
Add start and due dates to tasks to see them on the Gantt chart,Ongeza tarehe za kuanza na za mwisho kwenye kazi kuziona kwenye chati ya Gantt
Add Task,Ongeza Kazi
Add Task (Shift+T),Ongeza Kazi (Shift+T)
Added Finish-to-Start dependency,Tegemezi ya Mwisho-hadi-Mwanzo imeongezwa
Adding this dependency would create a circular reference: {0},Kuongeza tegemezi hii kutaunda rejea ya mzunguko: {0}
Adding...,Inaongeza...
Address,Anwani
Advanced,Kwa kina zaidi
All,Zote
All Active,Zote zinazofanya kazi
All Assignees,Waliopewa wote
All Categories,Kategoria zote
All caught up!,Umesoma kila kitu!
All Contexts,Muktadha wote
All day,Siku nzima
All day event,Tukio la siku nzima
All fields,Sehemu zote
All Priorities,Vipaumbele vyote
All Projects,Miradi yote
All Status,Hali zote
All Statuses,Hali zote
All task dependencies & relative dates,Tegemezi zote za kazi na tarehe husika
All Tasks,Kazi zote
All tasks across all projects.,Kazi zote katika miradi yote.
All tasks are already linked,Kazi zote tayari zimeunganishwa
All team members,Wanachama wote wa timu
All Types,Aina zote
All Users,Watumiaji wote
Allocated,Imegawanywa
allocated,imegawanywa
Allow users to log time against tasks,Ruhusu watumiaji kurekodi muda kwenye kazi
Already exported to timesheet {0},Tayari imehamishiwa kwenye karatasi ya muda {0}
Already Migrated,Tayari imehamishwa
Anyone with access,Yeyote mwenye ruhusa
anytime to show this help,wakati wowote kuonyesha msaada huu
App Updates,App Updates
Appearance,Muonekano
Apply,Tekeleza
Apply cascade?,Tekeleza msururu?
Apply Changes,Tekeleza Mabadiliko
Apply failed,Utekelezaji umeshindikana
Apply Template,Tekeleza Kiolezo
Applying...,Inatekeleza...
Appointment,Miadi
Appointment and resource are required,Miadi na rasilimali zinahitajika
Appointment name is required,Jina la miadi linahitajika
Appointment not found,Miadi haijapatikana
Appointment {0} not found,Miadi {0} haijapatikana
Apps,Programu
Archive,Hifadhi kumbukumbu
Archive Activity,Hifadhi Shughuli
Archived,Imehifadhiwa
Are you sure you want to delete this activity data? This cannot be undone.,Una uhakika unataka kufuta data hii ya shughuli? Hii haiwezi kurudishwa.
Are you sure you want to delete this comment?,Una uhakika unataka kufuta maoni haya?
Are you sure you want to delete this project?,Una uhakika unataka kufuta mradi huu?
Are you sure?,Una uhakika?
