+ Add Milestone,+ மைல்கல் சேர்
+ Create Task,+ பணி உருவாக்கு
+ Log Time,+ நேரம் பதிவு செய்
-- Select a project --,-- ஒரு திட்டத்தைத் தேர்ந்தெடுக்கவும் --
0m,0நி
1 day,1 நாள்
1 day ago,1 நாளுக்கு முன்
1 dependency,1 சார்பு
1 entry,1 பதிவு
1 file,1 கோப்பு
1 hour ago,1 மணி நேரத்திற்கு முன்
1 member,1 உறுப்பினர்
1 milestone,1 மைல்கல்
1 month,1 மாதம்
1 task,1 பணி
< 1m,< 1நி
"A clear, actionable title for the task","பணிக்கான தெளிவான, செயல்படுத்தக்கூடிய தலைப்பு"
A client with email {0} already exists: {1},மின்னஞ்சல் {0} கொண்ட வாடிக்கையாளர் ஏற்கனவே உள்ளார்: {1}
A key deliverable or checkpoint for the project,திட்டத்திற்கான முக்கிய வழங்கல் அல்லது சோதனைப்புள்ளி
Accept,ஏற்றுக்கொள்
Accepted,ஏற்றுக்கொள்ளப்பட்டது
Acknowledge,ஒப்புக்கொள்
across,முழுவதும்
Action,செயல்
Actions,செயல்கள்
Active,செயலில்
Active Assignments,செயலில் உள்ள ஒதுக்கீடுகள்
Active Projects,செயலில் உள்ள திட்டங்கள்
Activity,நடவடிக்கை
Activity data deleted successfully,செயல்பாட்டுத் தரவு வெற்றிகரமாக நீக்கப்பட்டது
Activity Info,செயல்பாட்டுத் தகவல்
Activity Stats,செயல்பாட்டு புள்ளிவிவரங்கள்
Activity will appear here as you work on tasks and projects.,நீங்கள் பணிகள் மற்றும் திட்டங்களில் பணிபுரியும்போது செயல்பாடுகள் இங்கே தோன்றும்.
Actual,உண்மையான
Actual Cost,உண்மையான செலவு
Actual cost cannot be negative,உண்மையான செலவு எதிர்மறையாக இருக்க முடியாது
Actual end date cannot be before actual start date,உண்மையான முடிவு தேதி உண்மையான தொடக்க தேதிக்கு முன்னதாக இருக்க முடியாது
Actual Hours,உண்மையான மணி நேரம்
Add,சேர்
Add a checklist item...,சரிபார்ப்புப் பட்டியல் உருப்படியைச் சேர்க்கவும்...
Add a comment...,கருத்தைச் சேர்க்கவும்...
Add a comment... (Ctrl+Enter to send),கருத்தைச் சேர்க்கவும்... (அனுப்ப Ctrl+Enter)
Add a description...,விளக்கத்தைச் சேர்க்கவும்...
Add a milestone description...,மைல்கல் விளக்கத்தைச் சேர்க்கவும்...
Add a note below to annotate this activity.,இந்தச் செயல்பாட்டிற்கு குறிப்பிட கீழே ஒரு குறிப்பைச் சேர்க்கவும்.
Add a note...,குறிப்பைச் சேர்க்கவும்...
Add a project description...,திட்ட விளக்கத்தைச் சேர்க்கவும்...
Add a task description...,பணி விளக்கத்தைச் சேர்க்கவும்...
Add checklist item...,சரிபார்ப்புப் பட்டியல் உருப்படியைச் சேர்...
Add Contact,தொடர்பு சேர்
Add contacts via the Desk interface or clear filters,Desk இடைமுகம் வழியாக தொடர்புகளைச் சேர்க்கவும் அல்லது வடிகட்டிகளை அழிக்கவும்
Add Dependency,சார்பு சேர்
Add details about this event...,இந்த நிகழ்வு பற்றிய விவரங்களைச் சேர்க்கவும்...
Add details about this milestone...,இந்த மைல்கல் பற்றிய விவரங்களைச் சேர்க்கவும்...
Add details about this task...,இந்தப் பணி பற்றிய விவரங்களைச் சேர்க்கவும்...
Add details or acceptance criteria for this milestone,இந்த மைல்கல்லுக்கான விவரங்கள் அல்லது ஏற்பு அளவுகோல்களைச் சேர்க்கவும்
"Add details, context, or acceptance criteria","விவரங்கள், சூழல் அல்லது ஏற்பு அளவுகோல்களைச் சேர்க்கவும்"
Add first dependency,முதல் சார்பைச் சேர்
Add item,உருப்படியைச் சேர்
Add items below to track progress.,முன்னேற்றத்தைக் கண்காணிக்க கீழே உருப்படிகளைச் சேர்க்கவும்.
Add items below to track subtasks,துணைப் பணிகளைக் கண்காணிக்க கீழே உருப்படிகளைச் சேர்க்கவும்
Add Milestone,மைல்கல் சேர்
Add Milestone (Shift+M),மைல்கல் சேர் (Shift+M)
Add milestones to track key deliverables.,முக்கிய வழங்கல்களைக் கண்காணிக்க மைல்கல்களைச் சேர்க்கவும்.
Add New Contact,புதிய தொடர்பைச் சேர்
Add Note,குறிப்பு சேர்
Add note,குறிப்பு சேர்
Add notes about this contact...,இந்தத் தொடர்பு பற்றிய குறிப்புகளைச் சேர்க்கவும்...
Add reaction,எதிர்வினை சேர்
Add Skill,திறன் சேர்
Add start and due dates to tasks to see them on the Gantt chart,Gantt விளக்கப்படத்தில் பார்க்க பணிகளுக்கு தொடக்க மற்றும் நிலுவைத் தேதிகளைச் சேர்க்கவும்
Add Task,பணி சேர்
