+ Add Milestone,+ మైలురాయి జోడించు
+ Create Task,+ పని సృష్టించు
+ Log Time,+ సమయం నమోదు చేయి
-- Select a project --,-- ప్రాజెక్టు ఎంచుకోండి --
0m,0ని
1 day,1 రోజు
1 day ago,1 రోజు క్రితం
1 dependency,1 ఆధారం
1 entry,1 నమోదు
1 file,1 ఫైల్
1 hour ago,1 గంట క్రితం
1 member,1 సభ్యుడు
1 milestone,1 మైలురాయి
1 month,1 నెల
1 task,1 పని
< 1m,< 1ని
"A clear, actionable title for the task","పనికి స్పష్టమైన, చేయదగిన శీర్షిక"
A client with email {0} already exists: {1},{0} ఇమెయిల్ ఉన్న క్లయింట్ ఇప్పటికే ఉంది: {1}
A key deliverable or checkpoint for the project,ప్రాజెక్టుకు కీలకమైన డెలివరబుల్ లేదా చెక్‌పాయింట్
Accept,అంగీకరించు
Accepted,అంగీకరించబడింది
Acknowledge,గుర్తించు
across,అంతటా
Action,చర్య
Actions,చర్యలు
Active,సక్రియం
Active Assignments,సక్రియ కేటాయింపులు
Active Projects,సక్రియ ప్రాజెక్టులు
Activity,కార్యకలాపం
Activity data deleted successfully,కార్యకలాప డేటా విజయవంతంగా తొలగించబడింది
Activity Info,కార్యకలాప సమాచారం
Activity Stats,కార్యకలాప గణాంకాలు
Activity will appear here as you work on tasks and projects.,మీరు పనులు మరియు ప్రాజెక్టులపై పని చేస్తున్నప్పుడు కార్యకలాపం ఇక్కడ కనిపిస్తుంది.
Actual,వాస్తవ
Actual Cost,వాస్తవ ఖర్చు
Actual cost cannot be negative,వాస్తవ ఖర్చు ఋణాత్మకంగా ఉండకూడదు
Actual end date cannot be before actual start date,వాస్తవ ముగింపు తేదీ వాస్తవ ప్రారంభ తేదీకి ముందు ఉండకూడదు
Actual Hours,వాస్తవ గంటలు
Add,జోడించు
Add a checklist item...,చెక్‌లిస్ట్ అంశం జోడించు...
Add a comment...,వ్యాఖ్య జోడించు...
Add a comment... (Ctrl+Enter to send),వ్యాఖ్య జోడించు... (పంపడానికి Ctrl+Enter)
Add a description...,వివరణ జోడించు...
Add a milestone description...,మైలురాయి వివరణ జోడించు...
Add a note below to annotate this activity.,ఈ కార్యకలాపానికి గమనిక జోడించడానికి క్రింద రాయండి.
Add a note...,గమనిక జోడించు...
Add a project description...,ప్రాజెక్టు వివరణ జోడించు...
Add a task description...,పని వివరణ జోడించు...
Add checklist item...,చెక్‌లిస్ట్ అంశం జోడించు...
Add Contact,పరిచయం జోడించు
Add contacts via the Desk interface or clear filters,Desk ఇంటర్‌ఫేస్ ద్వారా పరిచయాలు జోడించండి లేదా ఫిల్టర్లు తొలగించండి
Add Dependency,ఆధారం జోడించు
Add details about this event...,ఈ ఈవెంట్ గురించి వివరాలు జోడించు...
Add details about this milestone...,ఈ మైలురాయి గురించి వివరాలు జోడించు...
Add details about this task...,ఈ పని గురించి వివరాలు జోడించు...
Add details or acceptance criteria for this milestone,ఈ మైలురాయికి వివరాలు లేదా ఆమోద ప్రమాణాలు జోడించు
"Add details, context, or acceptance criteria","వివరాలు, సందర్భం లేదా ఆమోద ప్రమాణాలు జోడించు"
Add first dependency,మొదటి ఆధారం జోడించు
Add item,అంశం జోడించు
Add items below to track progress.,పురోగతిని ట్రాక్ చేయడానికి క్రింద అంశాలు జోడించండి.
Add items below to track subtasks,ఉపపనులను ట్రాక్ చేయడానికి క్రింద అంశాలు జోడించండి
Add Milestone,మైలురాయి జోడించు
Add Milestone (Shift+M),మైలురాయి జోడించు (Shift+M)
Add milestones to track key deliverables.,కీలక డెలివరబుల్స్ ట్రాక్ చేయడానికి మైలురాళ్లు జోడించండి.
Add New Contact,కొత్త పరిచయం జోడించు
Add Note,గమనిక జోడించు
Add note,గమనిక జోడించు
Add notes about this contact...,ఈ పరిచయం గురించి గమనికలు జోడించు...
Add reaction,స్పందన జోడించు
Add Skill,నైపుణ్యం జోడించు
Add start and due dates to tasks to see them on the Gantt chart,Gantt చార్ట్‌లో చూడటానికి పనులకు ప్రారంభ మరియు గడువు తేదీలు జోడించండి
Add Task,పని జోడించు
Add Task (Shift+T),పని జోడించు (Shift+T)
Added Finish-to-Start dependency,ముగింపు-నుండి-ప్రారంభం ఆధారం జోడించబడింది
Adding this dependency would create a circular reference: {0},ఈ ఆధారాన్ని జోడిస్తే వృత్తాకార సూచన ఏర్పడుతుంది: {0}
Adding...,జోడిస్తోంది...
Address,చిరునామా
Advanced,ఆధునికం
