+ Add Milestone,+ เพิ่มเป้าหมาย
+ Create Task,+ สร้างงาน
+ Log Time,+ บันทึกเวลา
-- Select a project --,-- เลือกโปรเจกต์ --
0m,0น.
1 day,1 วัน
1 day ago,1 วันที่แล้ว
1 dependency,1 การพึ่งพา
1 entry,1 รายการ
1 file,1 ไฟล์
1 hour ago,1 ชั่วโมงที่แล้ว
1 member,1 สมาชิก
1 milestone,1 เป้าหมาย
1 month,1 เดือน
1 task,1 งาน
< 1m,< 1น.
"A clear, actionable title for the task",หัวข้องานที่ชัดเจนและปฏิบัติได้
A client with email {0} already exists: {1},มีลูกค้าที่ใช้อีเมล {0} อยู่แล้ว: {1}
A key deliverable or checkpoint for the project,ผลลัพธ์สำคัญหรือจุดตรวจสอบของโปรเจกต์
Accept,ยอมรับ
Accepted,ยอมรับแล้ว
Acknowledge,รับทราบ
across,ทั้งหมด
Action,การดำเนินการ
Actions,การดำเนินการ
Active,ใช้งาน
Active Assignments,การมอบหมายที่ใช้งาน
Active Projects,โปรเจกต์ที่ใช้งาน
Activity,กิจกรรม
Activity data deleted successfully,ลบข้อมูลกิจกรรมสำเร็จ
Activity Info,ข้อมูลกิจกรรม
Activity Stats,สถิติกิจกรรม
Activity will appear here as you work on tasks and projects.,กิจกรรมจะปรากฏที่นี่เมื่อคุณทำงานในงานและโปรเจกต์
Actual,จริง
Actual Cost,ต้นทุนจริง
Actual cost cannot be negative,ต้นทุนจริงต้องไม่เป็นค่าลบ
Actual end date cannot be before actual start date,วันที่สิ้นสุดจริงต้องไม่อยู่ก่อนวันที่เริ่มต้นจริง
Actual Hours,ชั่วโมงจริง
Add,เพิ่ม
Add a checklist item...,เพิ่มรายการตรวจสอบ...
Add a comment...,เพิ่มความคิดเห็น...
Add a comment... (Ctrl+Enter to send),เพิ่มความคิดเห็น... (Ctrl+Enter เพื่อส่ง)
Add a description...,เพิ่มคำอธิบาย...
Add a milestone description...,เพิ่มคำอธิบายเป้าหมาย...
Add a note below to annotate this activity.,เพิ่มบันทึกด้านล่างเพื่ออธิบายกิจกรรมนี้
Add a note...,เพิ่มบันทึก...
Add a project description...,เพิ่มคำอธิบายโปรเจกต์...
Add a task description...,เพิ่มคำอธิบายงาน...
Add checklist item...,เพิ่มรายการตรวจสอบ...
Add Contact,เพิ่มผู้ติดต่อ
Add contacts via the Desk interface or clear filters,เพิ่มผู้ติดต่อผ่านหน้า Desk หรือล้างตัวกรอง
Add Dependency,เพิ่มการพึ่งพา
Add details about this event...,เพิ่มรายละเอียดเกี่ยวกับกิจกรรมนี้...
Add details about this milestone...,เพิ่มรายละเอียดเกี่ยวกับเป้าหมายนี้...
Add details about this task...,เพิ่มรายละเอียดเกี่ยวกับงานนี้...
Add details or acceptance criteria for this milestone,เพิ่มรายละเอียดหรือเกณฑ์การยอมรับสำหรับเป้าหมายนี้
"Add details, context, or acceptance criteria",เพิ่มรายละเอียด บริบท หรือเกณฑ์การยอมรับ
Add first dependency,เพิ่มการพึ่งพาแรก
Add item,เพิ่มรายการ
Add items below to track progress.,เพิ่มรายการด้านล่างเพื่อติดตามความคืบหน้า
Add items below to track subtasks,เพิ่มรายการด้านล่างเพื่อติดตามงานย่อย
Add Milestone,เพิ่มเป้าหมาย
Add Milestone (Shift+M),เพิ่มเป้าหมาย (Shift+M)
Add milestones to track key deliverables.,เพิ่มเป้าหมายเพื่อติดตามผลลัพธ์สำคัญ
Add New Contact,เพิ่มผู้ติดต่อใหม่
Add Note,เพิ่มบันทึก
Add note,เพิ่มบันทึก
Add notes about this contact...,เพิ่มบันทึกเกี่ยวกับผู้ติดต่อนี้...
Add reaction,เพิ่มปฏิกิริยา
Add Skill,เพิ่มทักษะ
Add start and due dates to tasks to see them on the Gantt chart,เพิ่มวันที่เริ่มต้นและวันครบกำหนดให้กับงานเพื่อแสดงบนแผนภูมิแกนต์
Add Task,เพิ่มงาน
Add Task (Shift+T),เพิ่มงาน (Shift+T)
Added Finish-to-Start dependency,เพิ่มการพึ่งพาแบบเสร็จ-ถึง-เริ่มแล้ว
Adding this dependency would create a circular reference: {0},การเพิ่มการพึ่งพานี้จะสร้างการอ้างอิงวนรอบ: {0}
Adding...,กำลังเพิ่ม...
Address,ที่อยู่
Advanced,ขั้นสูง
All,ทั้งหมด
All Active,ใช้งานทั้งหมด
All Assignees,ผู้รับมอบหมายทั้งหมด
All Categories,หมวดหมู่ทั้งหมด
All caught up!,ไม่มีรายการใหม่แล้ว!
