+ Add Milestone,+ Додати віху
+ Create Task,+ Створити завдання
+ Log Time,+ Записати час
-- Select a project --,-- Оберіть проєкт --
0m,0хв
1 day,1 день
1 day ago,1 день тому
1 dependency,1 залежність
1 entry,1 запис
1 file,1 файл
1 hour ago,1 годину тому
1 member,1 учасник
1 milestone,1 віха
1 month,1 місяць
1 task,1 завдання
< 1m,< 1хв
"A clear, actionable title for the task","Зрозумілий, чіткий заголовок завдання"
A client with email {0} already exists: {1},Клієнт з електронною адресою {0} вже існує: {1}
A key deliverable or checkpoint for the project,Ключовий результат або контрольна точка проєкту
Accept,Прийняти
Accepted,Прийнято
Acknowledge,Підтвердити
across,в усіх
Action,Дія
Actions,Дії
Active,Активний
Active Assignments,Активні призначення
Active Projects,Активні проєкти
Activity,Активність
Activity data deleted successfully,Дані активності успішно видалено
Activity Info,Відомості про активність
Activity Stats,Статистика активності
Activity will appear here as you work on tasks and projects.,Активність з'являтиметься тут у міру роботи над завданнями та проєктами.
Actual,Фактичний
Actual Cost,Фактична вартість
Actual cost cannot be negative,Фактична вартість не може бути від'ємною
Actual end date cannot be before actual start date,Фактична дата завершення не може бути раніше фактичної дати початку
Actual Hours,Фактичні години
Add,Додати
Add a checklist item...,Додати пункт списку...
Add a comment...,Додати коментар...
Add a comment... (Ctrl+Enter to send),Додати коментар... (Ctrl+Enter для надсилання)
Add a description...,Додати опис...
Add a milestone description...,Додати опис віхи...
Add a note below to annotate this activity.,Додайте нотатку нижче для пояснення цієї активності.
Add a note...,Додати нотатку...
Add a project description...,Додати опис проєкту...
Add a task description...,Додати опис завдання...
Add checklist item...,Додати пункт списку...
Add Contact,Додати контакт
Add contacts via the Desk interface or clear filters,Додайте контакти через інтерфейс Desk або скиньте фільтри
Add Dependency,Додати залежність
Add details about this event...,Додати подробиці про цю подію...
Add details about this milestone...,Додати подробиці про цю віху...
Add details about this task...,Додати подробиці про це завдання...
Add details or acceptance criteria for this milestone,Додати подробиці або критерії приймання для цієї віхи
"Add details, context, or acceptance criteria","Додати подробиці, контекст або критерії приймання"
Add first dependency,Додати першу залежність
Add item,Додати елемент
Add items below to track progress.,Додайте елементи нижче для відстеження прогресу.
Add items below to track subtasks,Додайте елементи нижче для відстеження підзавдань
Add Milestone,Додати віху
Add Milestone (Shift+M),Додати віху (Shift+M)
Add milestones to track key deliverables.,Додайте віхи для відстеження ключових результатів.
Add New Contact,Додати новий контакт
Add Note,Додати нотатку
Add note,Додати нотатку
Add notes about this contact...,Додати нотатки про цей контакт...
Add reaction,Додати реакцію
Add Skill,Додати навичку
Add start and due dates to tasks to see them on the Gantt chart,Додайте дати початку та завершення до завдань для відображення на діаграмі Gantt
Add Task,Додати завдання
Add Task (Shift+T),Додати завдання (Shift+T)
Added Finish-to-Start dependency,Додано залежність «Фініш-Старт»
Adding this dependency would create a circular reference: {0},Додавання цієї залежності створить циклічне посилання: {0}
Adding...,Додавання...
Address,Адреса
Advanced,Розширені
All,Усі
All Active,Усі активні
All Assignees,Усі виконавці
All Categories,Усі категорії
All caught up!,Все актуально!
All Contexts,Усі контексти
All day,Увесь день
All day event,Подія на увесь день
All fields,Усі поля
All Priorities,Усі пріоритети
All Projects,Усі проєкти
All Status,Усі статуси
All Statuses,Усі статуси
All task dependencies & relative dates,Усі залежності завдань і відносні дати
All Tasks,Усі завдання
All tasks across all projects.,Усі завдання з усіх проєктів.
All tasks are already linked,Усі завдання вже пов'язані
All team members,Усі учасники команди
All Types,Усі типи
All Users,Усі користувачі
Allocated,Розподілено
allocated,розподілено
Allow users to log time against tasks,Дозволити користувачам записувати час за завданнями
Already exported to timesheet {0},Вже експортовано до табелю {0}
Already Migrated,Вже перенесено
Anyone with access,Будь-хто з доступом
anytime to show this help,будь-коли для показу цієї довідки
App Updates,App Updates
Appearance,Зовнішній вигляд
Apply,Застосувати
Apply cascade?,Застосувати каскад?
Apply Changes,Застосувати зміни
Apply failed,Не вдалося застосувати
Apply Template,Застосувати шаблон
Applying...,Застосування...
Appointment,Зустріч
