+ Add Milestone,+ سنگ میل شامل کریں
+ Create Task,+ ٹاسک بنائیں
+ Log Time,+ وقت درج کریں
-- Select a project --,-- پروجیکٹ منتخب کریں --
0m,0م
1 day,1 دن
1 day ago,1 دن پہلے
1 dependency,1 انحصار
1 entry,1 اندراج
1 file,1 فائل
1 hour ago,1 گھنٹہ پہلے
1 member,1 رکن
1 milestone,1 سنگ میل
1 month,1 مہینہ
1 task,1 ٹاسک
< 1m,< 1م
"A clear, actionable title for the task",ٹاسک کے لیے واضح، قابل عمل عنوان
A client with email {0} already exists: {1},ای میل {0} والا کلائنٹ پہلے سے موجود ہے: {1}
A key deliverable or checkpoint for the project,پروجیکٹ کے لیے ایک اہم حاصلات یا چیک پوائنٹ
Accept,قبول کریں
Accepted,قبول شدہ
Acknowledge,تصدیق کریں
across,بھر میں
Action,عمل
Actions,اعمال
Active,فعال
Active Assignments,فعال تفویضات
Active Projects,فعال پروجیکٹس
Activity,سرگرمی
Activity data deleted successfully,سرگرمی کا ڈیٹا کامیابی سے حذف ہو گیا
Activity Info,سرگرمی کی معلومات
Activity Stats,سرگرمی کے اعداد و شمار
Activity will appear here as you work on tasks and projects.,جب آپ ٹاسکس اور پروجیکٹس پر کام کریں گے تو سرگرمی یہاں ظاہر ہوگی۔
Actual,اصل
Actual Cost,اصل لاگت
Actual cost cannot be negative,اصل لاگت منفی نہیں ہو سکتی
Actual end date cannot be before actual start date,اصل اختتامی تاریخ اصل آغاز کی تاریخ سے پہلے نہیں ہو سکتی
Actual Hours,اصل اوقات
Add,شامل کریں
Add a checklist item...,چیک لسٹ آئٹم شامل کریں...
Add a comment...,تبصرہ شامل کریں...
Add a comment... (Ctrl+Enter to send),تبصرہ شامل کریں... (بھیجنے کے لیے Ctrl+Enter)
Add a description...,تفصیل شامل کریں...
Add a milestone description...,سنگ میل کی تفصیل شامل کریں...
Add a note below to annotate this activity.,اس سرگرمی پر نوٹ لگانے کے لیے نیچے نوٹ شامل کریں۔
Add a note...,نوٹ شامل کریں...
Add a project description...,پروجیکٹ کی تفصیل شامل کریں...
Add a task description...,ٹاسک کی تفصیل شامل کریں...
Add checklist item...,چیک لسٹ آئٹم شامل کریں...
Add Contact,رابطہ شامل کریں
Add contacts via the Desk interface or clear filters,ڈیسک انٹرفیس کے ذریعے رابطے شامل کریں یا فلٹرز صاف کریں
Add Dependency,انحصار شامل کریں
Add details about this event...,اس تقریب کے بارے میں تفصیلات شامل کریں...
Add details about this milestone...,اس سنگ میل کے بارے میں تفصیلات شامل کریں...
Add details about this task...,اس ٹاسک کے بارے میں تفصیلات شامل کریں...
Add details or acceptance criteria for this milestone,اس سنگ میل کے لیے تفصیلات یا قبولیت کے معیار شامل کریں
"Add details, context, or acceptance criteria",تفصیلات، سیاق و سباق، یا قبولیت کے معیار شامل کریں
Add first dependency,پہلا انحصار شامل کریں
Add item,آئٹم شامل کریں
Add items below to track progress.,پیشرفت کو ٹریک کرنے کے لیے نیچے آئٹمز شامل کریں۔
Add items below to track subtasks,ذیلی ٹاسکس کو ٹریک کرنے کے لیے نیچے آئٹمز شامل کریں
Add Milestone,سنگ میل شامل کریں
Add Milestone (Shift+M),سنگ میل شامل کریں (Shift+M)
Add milestones to track key deliverables.,اہم حاصلات کو ٹریک کرنے کے لیے سنگ میل شامل کریں۔
Add New Contact,نیا رابطہ شامل کریں
Add Note,نوٹ شامل کریں
Add note,نوٹ شامل کریں
Add notes about this contact...,اس رابطے کے بارے میں نوٹس شامل کریں...
Add reaction,ردعمل شامل کریں
Add Skill,مہارت شامل کریں
Add start and due dates to tasks to see them on the Gantt chart,گینٹ چارٹ پر دیکھنے کے لیے ٹاسکس میں آغاز اور مقررہ تاریخیں شامل کریں
Add Task,ٹاسک شامل کریں
Add Task (Shift+T),ٹاسک شامل کریں (Shift+T)
Added Finish-to-Start dependency,ختم سے شروع انحصار شامل کیا گیا
Adding this dependency would create a circular reference: {0},یہ انحصار شامل کرنے سے گردشی حوالہ بنے گا: {0}
Adding...,شامل ہو رہا ہے...
