+ Add Milestone,+ Bosqich qo'shish
+ Create Task,+ Vazifa yaratish
+ Log Time,+ Vaqt yozish
-- Select a project --,-- Loyiha tanlang --
0m,0d
1 day,1 kun
1 day ago,1 kun oldin
1 dependency,1 bog'liqlik
1 entry,1 yozuv
1 file,1 fayl
1 hour ago,1 soat oldin
1 member,1 a'zo
1 milestone,1 bosqich
1 month,1 oy
1 task,1 vazifa
< 1m,< 1d
"A clear, actionable title for the task",Vazifa uchun aniq va tushunarli sarlavha
A client with email {0} already exists: {1},{0} elektron pochtali mijoz allaqachon mavjud: {1}
A key deliverable or checkpoint for the project,Loyihaning muhim natijasi yoki tekshiruv nuqtasi
Accept,Qabul qilish
Accepted,Qabul qilingan
Acknowledge,Tasdiqlash
across,bo'ylab
Action,Harakat
Actions,Harakatlar
Active,Faol
Active Assignments,Faol topshiriqlar
Active Projects,Faol loyihalar
Activity,Faoliyat
Activity data deleted successfully,Faoliyat ma'lumotlari muvaffaqiyatli o'chirildi
Activity Info,Faoliyat haqida
Activity Stats,Faoliyat ko'rsatkichlari
Activity will appear here as you work on tasks and projects.,Vazifalar va loyihalar ustida ishlagan sari faoliyat shu yerda ko'rinadi.
Actual,Haqiqiy
Actual Cost,Haqiqiy narx
Actual cost cannot be negative,Haqiqiy narx manfiy bo'lishi mumkin emas
Actual end date cannot be before actual start date,Haqiqiy tugash sanasi haqiqiy boshlanish sanasidan oldin bo'lishi mumkin emas
Actual Hours,Haqiqiy soatlar
Add,Qo'shish
Add a checklist item...,Tekshiruv ro'yxatiga qo'shish...
Add a comment...,Izoh qo'shish...
Add a comment... (Ctrl+Enter to send),Izoh qo'shish... (Ctrl+Enter yuborish uchun)
Add a description...,Tavsif qo'shish...
Add a milestone description...,Bosqich tavsifini qo'shish...
Add a note below to annotate this activity.,Ushbu faoliyatga izoh qo'shish uchun pastda eslatma yozing.
Add a note...,Eslatma qo'shish...
Add a project description...,Loyiha tavsifini qo'shish...
Add a task description...,Vazifa tavsifini qo'shish...
Add checklist item...,Tekshiruv ro'yxatiga qo'shish...
Add Contact,Kontakt qo'shish
Add contacts via the Desk interface or clear filters,Desk orqali kontaktlar qo'shing yoki filtrlarni tozalang
Add Dependency,Bog'liqlik qo'shish
Add details about this event...,Ushbu tadbir haqida batafsil yozing...
Add details about this milestone...,Ushbu bosqich haqida batafsil yozing...
Add details about this task...,Ushbu vazifa haqida batafsil yozing...
Add details or acceptance criteria for this milestone,Ushbu bosqich uchun batafsil yoki qabul mezonlarini qo'shing
"Add details, context, or acceptance criteria","Batafsil, kontekst yoki qabul mezonlarini qo'shing"
Add first dependency,Birinchi bog'liqlikni qo'shish
Add item,Element qo'shish
Add items below to track progress.,Jarayonni kuzatish uchun pastda elementlar qo'shing.
Add items below to track subtasks,Kichik vazifalarni kuzatish uchun pastda elementlar qo'shing
Add Milestone,Bosqich qo'shish
