+ Add Milestone,+ Thêm mốc quan trọng
+ Create Task,+ Tạo công việc
+ Log Time,+ Ghi nhận thời gian
-- Select a project --,-- Chọn dự án --
0m,0p
1 day,1 ngày
1 day ago,1 ngày trước
1 dependency,1 phụ thuộc
1 entry,1 mục
1 file,1 tệp
1 hour ago,1 giờ trước
1 member,1 thành viên
1 milestone,1 mốc quan trọng
1 month,1 tháng
1 task,1 công việc
< 1m,< 1p
"A clear, actionable title for the task","Tiêu đề rõ ràng, dễ thực hiện cho công việc"
A client with email {0} already exists: {1},Đã có khách hàng với email {0}: {1}
A key deliverable or checkpoint for the project,Một sản phẩm bàn giao hoặc điểm kiểm tra quan trọng cho dự án
Accept,Chấp nhận
Accepted,Đã chấp nhận
Acknowledge,Xác nhận
across,trong
Action,Hành động
Actions,Hành động
Active,Đang hoạt động
Active Assignments,Phân công đang hoạt động
Active Projects,Dự án đang hoạt động
Activity,Hoạt động
Activity data deleted successfully,Đã xóa dữ liệu hoạt động thành công
Activity Info,Thông tin hoạt động
Activity Stats,Thống kê hoạt động
Activity will appear here as you work on tasks and projects.,Hoạt động sẽ hiển thị ở đây khi bạn làm việc trên các công việc và dự án.
Actual,Thực tế
Actual Cost,Chi phí thực tế
Actual cost cannot be negative,Chi phí thực tế không được âm
Actual end date cannot be before actual start date,Ngày kết thúc thực tế không được trước ngày bắt đầu thực tế
Actual Hours,Giờ thực tế
Add,Thêm
Add a checklist item...,Thêm một mục kiểm tra...
Add a comment...,Thêm bình luận...
Add a comment... (Ctrl+Enter to send),Thêm bình luận... (Ctrl+Enter để gửi)
Add a description...,Thêm mô tả...
Add a milestone description...,Thêm mô tả mốc quan trọng...
Add a note below to annotate this activity.,Thêm ghi chú bên dưới để chú thích hoạt động này.
Add a note...,Thêm ghi chú...
Add a project description...,Thêm mô tả dự án...
Add a task description...,Thêm mô tả công việc...
Add checklist item...,Thêm mục kiểm tra...
Add Contact,Thêm liên hệ
Add contacts via the Desk interface or clear filters,Thêm liên hệ qua giao diện Desk hoặc xóa bộ lọc
Add Dependency,Thêm phụ thuộc
