+ Add Milestone,+ 新增里程碑
+ Create Task,+ 建立工作
+ Log Time,+ 記錄時間
-- Select a project --,-- 選擇專案 --
0m,0 分
1 day,1 天
1 day ago,1 天前
1 dependency,1 個相依項目
1 entry,1 筆記錄
1 file,1 個檔案
1 hour ago,1 小時前
1 member,1 位成員
1 milestone,1 個里程碑
1 month,1 個月
1 task,1 項工作
< 1m,< 1 分
"A clear, actionable title for the task",為工作設定一個清楚、可執行的標題
A client with email {0} already exists: {1},已存在使用電子郵件 {0} 的客戶：{1}
A key deliverable or checkpoint for the project,專案的重要交付成果或檢核點
Accept,接受
Accepted,已接受
Acknowledge,確認收到
across,跨
Action,動作
Actions,動作
Active,進行中
Active Assignments,進行中的指派
Active Projects,進行中的專案
Activity,活動
Activity data deleted successfully,活動資料已成功刪除
Activity Info,活動資訊
Activity Stats,活動統計
Activity will appear here as you work on tasks and projects.,當您在工作和專案上活動時，記錄會顯示在這裡。
Actual,實際
Actual Cost,實際成本
Actual cost cannot be negative,實際成本不能為負數
Actual end date cannot be before actual start date,實際結束日期不能早於實際開始日期
Actual Hours,實際時數
Add,新增
Add a checklist item...,新增檢核清單項目...
Add a comment...,新增留言...
Add a comment... (Ctrl+Enter to send),新增留言... (Ctrl+Enter 送出)
Add a description...,新增說明...
Add a milestone description...,新增里程碑說明...
Add a note below to annotate this activity.,在下方新增備註來為此活動加上註解。
Add a note...,新增備註...
Add a project description...,新增專案說明...
Add a task description...,新增工作說明...
Add checklist item...,新增檢核清單項目...
Add Contact,新增聯絡人
Add contacts via the Desk interface or clear filters,透過 Desk 介面新增聯絡人或清除篩選條件
Add Dependency,新增相依項目
Add details about this event...,新增此活動的詳細資訊...
Add details about this milestone...,新增此里程碑的詳細資訊...
Add details about this task...,新增此工作的詳細資訊...
Add details or acceptance criteria for this milestone,新增此里程碑的詳細資訊或驗收條件
"Add details, context, or acceptance criteria",新增詳細資訊、背景說明或驗收條件
Add first dependency,新增第一個相依項目
Add item,新增項目
Add items below to track progress.,在下方新增項目以追蹤進度。
Add items below to track subtasks,在下方新增項目以追蹤子工作
Add Milestone,新增里程碑
Add Milestone (Shift+M),新增里程碑 (Shift+M)
Add milestones to track key deliverables.,新增里程碑以追蹤重要交付成果。
Add New Contact,新增聯絡人
Add Note,新增備註
Add note,新增備註
Add notes about this contact...,新增此聯絡人的備註...
Add reaction,新增回應
Add Skill,新增技能
Add start and due dates to tasks to see them on the Gantt chart,為工作新增開始日期和截止日期以在 Gantt 圖上顯示
Add Task,新增工作
Add Task (Shift+T),新增工作 (Shift+T)
Added Finish-to-Start dependency,已新增完成-開始相依關係
Adding this dependency would create a circular reference: {0},新增此相依項目會產生循環參照：{0}
Adding...,新增中...
Address,地址
Advanced,進階
All,全部
All Active,全部進行中
All Assignees,全部被指派者
All Categories,全部類別
All caught up!,全部已處理完畢！
All Contexts,全部情境
All day,全天
All day event,全天活動
All fields,全部欄位
All Priorities,全部優先順序
All Projects,全部專案
All Status,全部狀態
All Statuses,全部狀態
All task dependencies & relative dates,全部工作相依項目和相對日期
All Tasks,全部工作
All tasks across all projects.,所有專案中的全部工作。
All tasks are already linked,全部工作已經關聯
All team members,全部團隊成員
All Types,全部類型
All Users,全部使用者
Allocated,已分配
allocated,已分配
Allow users to log time against tasks,允許使用者記錄工作時間
Already exported to timesheet {0},已匯出至時間表 {0}
Already Migrated,已移轉
Anyone with access,任何有存取權限的人
anytime to show this help,隨時顯示此說明
App Updates,App Updates
Appearance,外觀
Apply,套用
Apply cascade?,套用連鎖效果？
Apply Changes,套用變更
Apply failed,套用失敗
Apply Template,套用範本
Applying...,套用中...
Appointment,約會
Appointment and resource are required,約會和資源為必填
Appointment name is required,約會名稱為必填
Appointment not found,找不到約會
Appointment {0} not found,找不到約會 {0}
Apps,應用程式
Archive,封存
Archive Activity,封存活動
Archived,已封存
Are you sure you want to delete this activity data? This cannot be undone.,您確定要刪除這些活動資料嗎？此操作無法復原。
Are you sure you want to delete this comment?,您確定要刪除這則留言嗎？
Are you sure you want to delete this project?,您確定要刪除這個專案嗎？
Are you sure?,您確定嗎？
Ascending -- click to reverse,升冪排列 -- 點擊以反轉
Assign To,指派給
Assign to Me,指派給我
Assigned Contact,已指派的聯絡人
Assigned To,指派給
Assigned to,指派給
Assigned to Me,指派給我
Assignee,被指派者
Assignment,指派
Assignment History,指派紀錄
Assignment name is required,指派名稱為必填
Assignment {0} not found,找不到指派 {0}
Assignments,指派
At least one action is required,至少需要一個動作
At least one event is required,至少需要一個事件
At least one event must be selected,至少需要選擇一個事件
Attachment,附件
Attachments,附件
Attendees,出席者
"Audit trail, assignments, version history",稽核紀錄、指派、版本歷程
Auto,自動
Auto Calculate Progress,自動計算進度
Auto Set Missed Milestones,自動標記錯過的里程碑
Auto-shift dependents when dates change,日期變更時自動調整相依項目
Auto-Trail Start,自動延伸開始日期
Auto-Trail updated,自動延伸已更新
Automatically calculate project progress from task completion,依據工作完成度自動計算專案進度
Automatically mark milestones as missed when overdue,里程碑逾期時自動標記為錯過
Automation rule {0} not found,找不到自動化規則 {0}
Automation: {0},自動化：{0}
Availability,可用性
Available,可用
Avatar updated successfully,頭像已成功更新
Avg Progress,平均進度
Back,返回
Back to Portal,返回入口網站
Back to Projects,返回專案列表
Beginner,初學者
Best regards,敬祝安好
Billable,可計費
Billable Amount,可計費金額
Billable Hours,可計費時數
Billable Rate,計費費率
Billing Rate,帳單費率
Blocked,已封鎖
Both dates are needed to display task as a bar in Gantt chart,需要兩個日期才能在 Gantt 圖上將工作顯示為長條
Both doctype and docname are required,doctype 和 docname 皆為必填
Both proposed start and end times are required,建議的開始和結束時間皆為必填
Both task_name and depends_on are required,task_name 和 depends_on 皆為必填
Breadcrumb,導覽路徑
Brief description of the defect or damage,缺陷或損壞的簡要說明
Brief description of this template,此範本的簡要說明
Brief description of your request,您的請求的簡要說明
Brief project description,專案簡要說明
Budget,預算
Budget at risk,預算有風險
Budget Burn Rate,預算消耗速率
Budget Status,預算狀態
Budget updated,預算已更新
Budget:,預算：
Bug,臭蟲
Burn Rate,消耗速率
Busy,忙碌
By,依
By Assignee,依被指派者
By Group,依群組
By Milestone,依里程碑
By Priority,依優先順序
By Status,依狀態
Cancel,取消
Cancelled,已取消
cannot be undone,無法復原
Cannot delete client with {0} linked projects. Unlink projects first.,無法刪除擁有 {0} 個關聯專案的客戶。請先取消關聯專案。
Cannot delete project with {0} linked tasks. Delete tasks first.,無法刪除擁有 {0} 項關聯工作的專案。請先刪除工作。
Cannot delete resource with {0} active assignments. Complete or cancel them first.,無法刪除擁有 {0} 項進行中指派的資源。請先完成或取消這些指派。
Cannot delete task with {0} subtasks. Delete subtasks first.,無法刪除擁有 {0} 項子工作的工作。請先刪除子工作。
Capacity,容量
capacity,容量
Capacity & Rates,容量與費率
Capture project structure for reuse,擷取專案結構以便重複使用
Cascade,連鎖
Cascade Preview,連鎖效果預覽
Category,類別
Celebrate,慶祝
Change,變更
Change History,變更紀錄
Change Priority,變更優先順序
Change Status,變更狀態
Changes,變更
Changes appear when fields are modified.,欄位被修改時會顯示變更記錄。
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,檢核清單
Checklist item name is required,檢核清單項目名稱為必填
Checklist item not found,找不到檢核清單項目
Checklist item title is required,檢核清單項目標題為必填
Checklist item {0} not found,找不到檢核清單項目 {0}
Checklist item {0} not found in task,在工作中找不到檢核清單項目 {0}
Child,子項目
Choose file to upload,選擇要上傳的檔案
Circular dependency detected: {0},偵測到循環相依：{0}
Circular parent-child relationship detected,偵測到循環的父子關係
Clear,清除
Clear all read,清除所有已讀
Clear date,清除日期
Click on an activity from the list to view and manage its details.,從清單中點擊一項活動以檢視和管理其詳細資訊。
Click the avatar to upload a new photo,點擊頭像以上傳新照片
Click to add description...,點擊以新增說明...
Click to add notes...,點擊以新增備註...
Click to assign contact,點擊以指派聯絡人
Click to change status,點擊以變更狀態
Click to change type,點擊以變更類型
Click to edit,點擊以編輯
Click to edit budget,點擊以編輯預算
Click to edit description,點擊以編輯說明
Click to edit end date,點擊以編輯結束日期
Click to edit milestone name,點擊以編輯里程碑名稱
Click to edit rate,點擊以編輯費率
Click to edit start date,點擊以編輯開始日期
Click to edit title,點擊以編輯標題
Click to load,點擊以載入
Click to set group dependency...,點擊以設定群組相依...
Click to set group...,點擊以設定群組...
Click to view,點擊以檢視
Click to view at-risk projects,點擊以檢視有風險的專案
Click to view critical projects,點擊以檢視關鍵專案
Click to view healthy projects,點擊以檢視健康的專案
Client,客戶
Client already has a portal user: {0},客戶已有入口網站使用者：{0}
Client already has portal access,客戶已有入口網站存取權限
Client has no portal user to revoke,此客戶沒有可撤銷的入口網站使用者
Client link removed from project {0},已從專案 {0} 移除客戶關聯
Client Portal,客戶入口網站
Client {0} deleted successfully,客戶 {0} 已成功刪除
Close,關閉
Close (Esc),關閉 (Esc)
Comment,留言
comment,留言
Comment added,留言已新增
Comment content is required,留言內容為必填
Comment name is required,留言名稱為必填
Comment not found,找不到留言
Comment removed,留言已移除
Comment {0} not found in task,在工作中找不到留言 {0}
Comments,留言
comments,留言
Community Edition,Community Edition
Company,公司
Company name...,公司名稱...
Complete,完成
Completed,已完成
completed,已完成
Completed Tasks,已完成的工作
Compliance,合規
Configure default values for new projects and tasks,設定新專案和工作的預設值
Configure email notification settings,設定電子郵件通知設定
Confirm,確認
Contact deleted,聯絡人已刪除
Contact Details,聯絡人詳細資訊
Contact Information,聯絡資訊
Contact name is required,聯絡人名稱為必填
Contact Support,聯繫客服
Contact your project manager for more information.,如需更多資訊，請聯繫您的專案負責人。
Contact:,聯絡人：
Contacts,聯絡人
Context,情境
Contractor,承包商
Cost estimate cannot be negative,成本估算不能為負數
Cost Impact,成本影響
Cost Summary,成本摘要
Could not apply the template. Please try again.,無法套用範本，請重試。
Could not attach file to project,無法將檔案附加到專案
Could not change task priority,無法變更工作優先順序
Could not change task status,無法變更工作狀態
Could not delete the project. Please try again.,無法刪除專案，請重試。
Could not delete the task. Please try again.,無法刪除工作，請重試。
Could not delete the template.,無法刪除範本。
Could not duplicate the task. Please try again.,無法複製工作，請重試。
Could not export the template.,無法匯出範本。
